name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Independence Dam State Park	Park		State Park	Active	State of Ohio	Ohio Department of Natural Resources, Division of Parks and Watercraft			Located on the banks of the Maumee River, the park features ruins of the Miami and Erie Canal and a three-mile hiking trail following the historic canal towpath that meanders between the old canal and the river through a dense hardwood forest. Over 200 bird species have been recorded. The park is along the Maumee State Scenic River.	27722 County Rd 424, Defiance, Ohio 43512; approximately 3 miles east of Defiance on the Maumee River	591.0	Defiance	Richland	Richland	41.268	-84.311	86HQ7M9Q+6H	Camping;Boat Ramp;Marina;Pavilion;Hiking Trail;Restrooms;Fire Ring;Picnic Area;Historic Lock	NCT/Buckeye Trail routes through park along canal towpath. CONFIRM: 25 vs 40 primitive campsites (sources conflict). NID baseline seed 'Independence Dam (NID)' resolves to park infrastructure, not separate entity.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/independence-dam-state-park-campground	https://www.stateparks.com/independence_dam_state_park_in_ohio.html;https://en.wikipedia.org/wiki/Independence_Dam_State_Park;https://dam.assets.ohio.gov/image/upload/ohiodnr.gov/documents/parks/parkmaps/independenceparkmap.pdf		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Oxbow Lake Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Located in the glaciated lake plain of northwestern Ohio with slightly rolling topography. Mud Creek bisects the area, featuring large cottonwoods and sycamores along its banks, while upland woods consist mostly of oaks and hickories. Substantial areas of brushland and meadow are maintained for upland game habitat. Ohio purchased the originally forested land in 1948 after it had been cleared for farming in the previous century.	Defiance County, Ohio; near Defiance, Bryan, and Napoleon	416.0	Defiance	Noble	Noble	41.33	-84.395	86HQ8JH4+X2	Boat Ramp;Parking Lot;Hiking Trail;Fishing Area;ADA Accessible	Contains Big Oxbow Lake (38 ac) and Little Oxbow Lake (4.5 ac). Flag DEF-F-06: 'western agreement parcel' — no evidence found; UNRESOLVED. NID 'Oxbow Lake Dam' resolves to infrastructure, not separate entity. Fishing: northern pike, largemouth bass, bluegills, bullheads.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/oxbow-lake-fishing-area	https://dam.assets.ohio.gov/image/upload/ohiodnr.gov/documents/wildlife/wildlife-area-maps/oxbow.pdf;https://www.stateparks.com/oxbow_lake_wildlife_area_in_ohio.html		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Winchester's Camp No. 3 / Fort Starvation	Historic Site	Historic Landmark		Active	State of Ohio	Ohio Department of Natural Resources			War of 1812 winter encampment site (Nov. 2, 1812 – Jan. 1, 1813) for three Kentucky Militia Regiments and one regiment of US Regulars under Colonel Wells, stationed approximately six miles below Fort Winchester on the north bank of the Maumee River. Nicknamed 'Fort Starvation' by soldiers due to supply shortages. Believed burial site of approximately 300 Kentucky soldiers; thousands of bones were disturbed when the Miami and Erie Canal was dug through the burial ground (1837–1848) and reinterred. Historical marker erected 2010 by Defiance County Chapter Ohio Genealogical Society and other organizations.	Four miles east of the City of Defiance on US Route 424 on the bank of the Maumee River, within Independence Dam State Park		Defiance	Richland	Richland	41.268	-84.311	86HQ7M9Q+6H	Historic Marker	ODNR Historic Site #24. Also known as 'Old Kentucky Burial Grounds.' Child site within Independence Dam State Park (DEF-S-001). GPS propagated from parent site.	https://www.hmdb.org/m.asp?m=37924	https://www.defiancecountygenealogy.org/Military/Kentucky.html	OH-DEF-S-001	2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Penney Nature Center	Nature Preserve	County Nature Preserve		Active	Defiance County	Defiance Soil and Water Conservation District			A 78-acre nature preserve featuring wetlands, prairie lands, and woodlands, promoting conservation through education for all to enjoy. Land was gifted by the Penney family to Defiance County and is managed by the Defiance Soil and Water Conservation District.	08855 Ashpacher Road, Defiance, OH 43512	78.0	Defiance	Defiance	Defiance	41.225	-84.36	86HQ6JFR+X2	Hiking Trail;Pavilion;Bridge;Interpretive Sign;Kiosk;Parking Lot	Managed by Defiance SWCD per ORC Chapter 1515. Open dawn to dusk. ADDRESS: 'Aschpacher Road' vs 'Ashpacher Road' — spelling discrepancy between sources; verify. Storybook Trail (seasonal) is a separate Trail entity (DEF-T-004).	https://www.defianceswcd.org/penney-nature-center.html	https://visitdefianceohio.com/business-directory/penney-nature-center/		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Auglaize Village	Cultural Facility	Heritage Center		Active	Defiance County	Defiance County Historical Society			A living history village founded in 1966 by the Defiance County Historical Society that preserves the history of the men and women who carved a community out of the Great Black Swamp, featuring restored and reconstructed 19th-century buildings, farm museums, and multiple specialty museums.	12296 Krouse Road, Defiance, OH 43512	120.0	Defiance	Defiance	Defiance	41.264989	-84.440761	86HQ7H75+XM	Historic Structure;Museum Building;Guided Tours	County-owned; managed by Defiance County Historical Society (501c3 nonprofit). VERIFY_GOVERNANCE: confirm county ownership vs. long-term lease/deed (flag DEF-F-05). Open during events + volunteer work days (Tue 8am-2pm); tours by appointment. Also known as 'AuGlaize Village'.	https://www.auglaizevillage.org/	https://visitdefianceohio.com/explore/auglaize-village/;https://ohio.org/things-to-do/destinations/auglaize-village		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Fort Grounds	Park	Historic Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			The Fort Grounds occupy the site of Fort Defiance, erected by General Anthony Wayne in 1794 at the confluence of the Maumee and Auglaize Rivers during his campaign leading to the Battle of Fallen Timbers. Points in the sidewalk memorialize the corners of the fort. The grounds have been preserved for over a century since the city's incorporation. The Defiance Public Library (Carnegie Library) is also located on the grounds.	320 Fort Street, Defiance, OH 43512; at the confluence of the Maumee and Auglaize Rivers		Defiance	Defiance	Defiance	41.2874974	-84.3572446	86HQ7JPV+X4	Hiking Trail;Bridge;Historic Marker;Picnic Area	Fort Defiance (1794) is listed on the NRHP (listed 1980) — NRHP designation not in vocabulary constants; designation left blank. Also known as 'Fort Defiance Park' and 'Old Fort Defiance Park'. Adjacent to Pontiac Metro Park at same confluence — distinct sites. NCT/Buckeye Trail routes through or adjacent to this area.	https://cityofdefiance.com/Facilities/Facility/Details/Fort-Grounds-5	https://visitdefianceohio.com/explore/history/		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Diehl Park	Park	Sports Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A large community park on the northwest side of Defiance featuring athletic fields and the Kids Creation Playground, a community-built playground from 2000. The park received updated playground equipment in 2017 and lighting upgrades for ball fields in 2001.	909 Wemor Drive, Defiance, OH 43512; northwest side of the city	39.77	Defiance	Noble	Noble	41.2982509	-84.367467	86HQ7JXM+82	Ball Diamond;Pavilion;Playground;Basketball Court;Restrooms;Parking Lot;ADA Accessible	Kids Creation Playground (community-built 2000) is a named feature. Updated playground equipment 2017; lighting upgrades 2001.	https://cityofdefiance.com/Facilities/Facility/Details/Diehl-Park-3			2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Kingsbury Riverfront Park, Pool, and Pickleball Facilities	Park	Waterfront Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A riverfront community park on the Auglaize River featuring a public pool, pickleball courts, and waterfront green space. The pool underwent a major $750,000 renovation beginning in 1999, adding a new water slide and expanded deck area.	102 Auglaize Street, Defiance, OH 43512	15.49	Defiance	Defiance	Defiance	41.2859503	-84.3559868	86HQ7JPV+9J	Swimming Pool;Waterslide;Restrooms;Pickleball Court;Parking Lot	DEF-F-01 RESOLVED: two baseline rows confirmed as single entity. 15.49 acres. Pool season: first week of June through mid-August. Formally 'Kingsbury Park'; full official name per city facilities page used here.	https://cityofdefiance.com/Facilities/Facility/Details/Kingsbury-Park-Pool-and-Pickleball-10			2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Bronson Park	Park	Neighborhood Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department	Defiance Public Library System	Defiance Public Library System (StoryWalk program)	A 25-acre multi-purpose community park that underwent significant renovations including new playground equipment, river swings, updated shelter houses, ADA-compliant sidewalks, and a new multi-use path connecting to Splash Park. The park hosts the StoryWalk Trail (Defiance Public Library program) and is adjacent to the Splash Park facility.	2104 Power Dam Road, Defiance, OH 43512	25.0	Defiance	Defiance	Defiance	41.257992	-84.390629	86HQ7J55+5P	Volleyball Court;Ball Diamond;Pavilion;Basketball Court;Playground;ADA Accessible;Multi-use Trail	DEF-F-07 RESOLVED: parent of Splash Park (DEF-S-010). Splash Park replaced former Bronson Pool (opened July 4, 2018). StoryWalk Trail (DEF-T-005) is a child trail. Power Dam Road named after Auglaize Hydro dam (Bryan Municipal Utilities) — park is NOT at the dam.	https://cityofdefiance.com/Facilities/Facility/Details/Bronson-Park-2	https://cityofdefiance.com/183/Bronson-Park;https://visitdefianceohio.com/business-directory/bronson-park/		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Splash Park	Recreation Facility			Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			The Defiance Splash Park opened July 4, 2018, repurposing the former Bronson Pool facility into a free, ADA-compliant splash pad open to the public. The facility won 3rd place in the 2019 Ohio Parks and Recreation Association Capital Improvement Project category. Total project cost: $1.6 million. Open May 1 through October, 9 a.m. to 9 p.m.	2104 Power Dam Road, Defiance, OH 43512 (within Bronson Park complex)		Defiance	Defiance	Defiance	41.2583791	-84.3901891	86HQ7J55+9W	Spray Park;Playground;Picnic Area;Restrooms;ADA Accessible	Child of Bronson Park (DEF-S-009). Replaced former Bronson Pool. Opened July 4, 2018; $1.6M project; 2019 OPRA award (3rd place, Capital Improvement). Connected to Bronson Park via walkway added 2021.	https://www.cityofdefiance.com/223/Splash-Park		OH-DEF-S-009	2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Canal Park	Park	Historic Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A public historic park featuring the partially renovated remains of the Miami and Erie Canal Lock No. 37, which survived the devastating 1913 floods. The north end of the lock structure was left exposed after the canal's decline and partially renovated in 1997. The site includes an adjacent amphitheater used for community events.	310 Clinton Street (behind the building), Defiance, OH 43512		Defiance	Defiance	Defiance	41.2864106	-84.3630635	86HQ7JPP+HQ	Amphitheater;Historic Lock	Contains north end of Miami and Erie Canal Lock No. 37. Partially renovated 1997. Google Maps shows entity named 'Amphitheater' at this address rather than 'Canal Park'.	https://cityofdefiance.com/Facilities/Facility/Details/Canal-Park-40			2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Eastside Park	Park	Neighborhood Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A neighborhood park revitalized as part of the Eastside Neighborhood Revitalization Project, featuring new playground equipment, athletic courts, and a shelter house. Formerly known as Compo Park.	1185 Karnes Avenue, Defiance, OH 43512		Defiance	Defiance	Defiance	41.2724894	-84.3535072	86HQ7JCW+XH	Ball Diamond;Basketball Court;Playground;Pavilion;Picnic Area;Grill;Parking Lot;ADA Accessible	Formerly known as 'Compo Park.' Revitalized through Eastside Neighborhood Revitalization Project.	https://cityofdefiance.com/Facilities/Facility/Details/Eastside-Park-4			2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Riverside Park	Park	Sports Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A 30-acre community park along the Maumee River featuring athletic fields including four soccer fields managed by the Optimist Club. Optimist Soccer fields were redesigned, regraded, and reseeded in 2021.	849 Riverside Avenue, Defiance, OH 43512; along the Maumee River	30.0	Defiance	Defiance	Defiance	41.2768669	-84.3616889	86HQ7JGQ+P8	Ball Diamond;Soccer Pitch;Playground;Pavilion;Picnic Area;Grill;Restrooms;Parking Lot	Soccer fields associated with Optimist Club program (redesigned 2021). Maumee River frontage noted.	https://cityofdefiance.com/Facilities/Facility/Details/Riverside-Park-13	https://visitdefianceohio.com/business-directory/riverside-park/		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Reservoir and Disc Golf	Park	Greenspace		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A municipal recreation area centered on the City of Defiance upground water supply reservoir. Features a 9-hole disc golf course, a 1.25-mile stone walkway around the top of the reservoir, the Reservoir Nature Trail (boardwalk through north-side woods), a boat ramp and dock, and a sledding hill. The trail system connects to the Buckeye Trail / North Country NST along Canal Road.	1261 Precision Way, Defiance, OH 43512		Defiance	Defiance	Defiance	41.2707967	-84.3920288	86HQ7JC5+85	Disc Golf Course;Hiking Trail;Parking Lot;Boat Ramp;Sledding Hill;Multi-use Trail;Canal Structure	NID seed 'Defiance Upground Reservoir (NID)' resolves to infrastructure, not separate entity. Reservoir Nature Trail (DEF-T-006) is child trail. Trail connects to Buckeye Trail/NCT along Canal Road. Bark & Run Dog Park (11795 Precision Way) is a separate T8 entity.	https://cityofdefiance.com/Facilities/Facility/Details/Reservoir-Disc-Golf-11	https://visitdefianceohio.com/business-directory/reservoir-and-disc-golf/;https://www.alltrails.com/trail/us/ohio/defiance-reservoir;https://ohio.org/wps/portal/gov/tourism/things-to-do/destinations/defiance-reservoir-walking-trails		2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
Palmer Park	Park	Sports Park		Active	City of Defiance, Ohio	City of Defiance, Parks & Recreation Department			A small community park near Defiance High School and the YMCA, featuring tennis courts and a playground area. Serves both the high school and the general public.	1755 Palmer Drive, Defiance, OH 43512; near Defiance High School and the YMCA		Defiance	Defiance	Defiance	41.2657975	-84.3605872	86HQ7J8Q+8Q	Tennis Court;Playground	MINIMAL_DATA — acreage not documented.	https://cityofdefiance.com/Facilities/Facility/Details/Palmer-Park-41			2026-04-21T02:09:13Z	2026-04-21T02:09:13Z
