Access Point ID	Name	AP Type	Status	Parent Entity Type	Parent Entity ID	County	Township	Municipality	Address	GPS Lat	GPS Lon	Plus Code	Features	Identity Notes	Notes	URL
OH-FR-AP-0001	Broad Meadows Pedestrian Bridge Water Trail Access	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	End of Broad Meadows Blvd, Columbus, OH (southeast side of pedestrian bridge)	40.07405	-83.03478	86GR3XF8+J3	Parking; Informational kiosk; Bike path trailhead; East bank	Site 2 on CRPD brochure. Start of Olentangy River Water Trail. Section A begin.	Park on the street and access the water trail from the southeast side of the pedestrian bridge. Located along the Olentangy Greenways Trail on the east bank.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0002	Northmoor Park Water Trail Access	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	Northmoor Place and Olentangy Blvd, Columbus, OH	40.03404	-83.02649	86GR2XMF+JC	Parking; Informational kiosk; Bike path trailhead; Picnic tables; Limestone steps to river; East bank	Site 5 on CRPD brochure. Mid-trail access. Section A end / Section B begin.	Access to park is off Northmoor Place and Olentangy Boulevard. Access water trail from nearby limestone steps. Features access to Olentangy Greenways Trail.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0003	Tuttle Park Water Trail Access	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	240 W. Oakland Ave., Columbus, OH	40.0042	-83.01	86GR2X3Q+MX	Parking; Restroom; Recreation center; Swimming pool; Bike path access; Picnic tables; East bank	Site 12 on CRPD brochure. Mid-trail access. Section B end / Section C begin.	Park on the north side of the recreation center near the playground and access the river via the Olentangy Greenways Trail.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0004	Lower Olentangy Boat Launch	Boat Launch	Active	Trail	OH-FR-T-0001	Franklin		Columbus	End of Nationwide Blvd, Columbus, OH	39.96702	-83.0193	86FRXX8J+R7	Parking; Concrete boat ramp; Access to Scioto Greenways Trail; East bank	Site 14 on CRPD brochure. End of Olentangy River Water Trail. Section C end.	Take out on east bank of the river. Ample parking and concrete ramp. Located at the end of Nationwide Blvd at the confluence with the Scioto River.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0005	North Broadway Dam Portage	Hazard Portage	Active	Trail Segment	OH-FR-TS-0002	Franklin		Columbus	North Broadway Bridge, Columbus, OH	40.02945	-83.02409	86GR2XHG+Q9	Lowhead dam; West bank portage	Site 6 on CRPD brochure. First of three dams in Section B.	Portage just downstream from the North Broadway bridge on the west bank to avoid lowhead dam.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0006	Union Cemetery Dam Portage	Hazard Portage	Active	Trail Segment	OH-FR-TS-0002	Franklin		Columbus	Union Cemetery pedestrian bridge, Columbus, OH	40.02205	-83.01962	86GR2XCJ+R5	Lowhead dam; East bank take-out; Cross to west bank via pedestrian bridge; West bank put-in downstream of dam	Site 9 on CRPD brochure. Second of three dams in Section B.	Take out on east bank at north end of the pedestrian bridge. Cross the river via the bridge and put in at the access site on the west bank downstream of the dam.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0007	Dodridge Street Dam Portage	Hazard Portage	Active	Trail Segment	OH-FR-TS-0002	Franklin		Columbus	Dodridge Street, Columbus, OH	40.01744	-83.01602	86GR2X8M+XH	Lowhead dam; West bank portage	Site 11 on CRPD brochure. Third of three dams in Section B.	Portage on the west bank of the river to avoid this lowhead dam.	https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/
OH-FR-AP-0008	Glick Park	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Glick Park, Columbus, OH	40.153186	-83.126227	86GR5V3F+7G	Parking; No restroom; Picnic area	MORPC Central Ohio Blueways facility ID: S1	City of Columbus park with paved service road (no vehicles) down to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0009	Amberleigh Community Park	River Access	Active	Trail	OH-FR-T-0116	Franklin		Dublin	Amberleigh Community Park, Dublin, OH	40.13915	-83.120333	86GR4VQH+MV	Parking; Seasonal restroom; Picnic area; Dual rail boat slide	MORPC Central Ohio Blueways facility ID: S2	City of Dublin park. Steps from parking to river with double rail for boat to slide down.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0010	Scioto Park	River Access	Active	Trail	OH-FR-T-0116	Franklin		Dublin	Scioto Park, Dublin, OH	40.116765	-83.11212	86GR4V8Q+P5	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: S3	City of Dublin park. Easy walk to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0011	I-270 Riverside Drive Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Dublin	I-270 Riverside Drive, Dublin, OH	40.108898	-83.111403	86GR4V5Q+HC	Parking; Steep hill access	MORPC Central Ohio Blueways facility ID: S4	City of Dublin access under I-270 Bridge. Steep hill to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0012	Dublin Springs Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Dublin	Dublin Springs Park, Dublin, OH	40.100854	-83.111865	86GR4V2Q+87	Parking; Picnic area	MORPC Central Ohio Blueways facility ID: S5	City of Dublin park.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0013	Fishinger Road Boat Ramp	Boat Launch	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Fishinger Road, Columbus, OH	40.029439	-83.093009	86GR2WH4+QQ	Parking; Restroom; Picnic area; Boat ramp	MORPC Central Ohio Blueways facility ID: S7		https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0014	Griggs Reservoir Marina Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Griggs Reservoir, Columbus, OH	40.016946	-83.09435	86GR2W84+Q7	Parking; Restroom; Picnic area; Gravel access; Portage option for Griggs Dam	MORPC Central Ohio Blueways facility ID: S8	Gravel access north of Griggs Dam; can be used to portage.	https://www.morpc.org/central-ohio-blueways/
