site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-FR-S-0001	Gahanna Woods State Nature Preserve	Nature Preserve				State of Ohio (ODNR)	Ohio Department of Natural Resources, Division of Natural Areas & Preserves; leased to City of Gahanna Parks for management	City of Gahanna Parks		Mature oak-hickory and beech-maple forest; buttonbush swamps; vernal pools; Ohio's only known cypress-knee sedge population; ponds; creeks; hiking trails; picnic areas	11699 Taylor Station Rd, Gahanna, OH 43230 (1.5 miles east of Gahanna on Havens Corners Rd, then 0.5 mile south)	27.24	Franklin	New Albany		40.0864502	-82.8210418	86GV35PH+G2		Source: Gahanna Facilities page and Parks & Trails Guide PDF. Dual designation: City of Gahanna park AND Ohio State Nature Preserve (~99 acres). State preserve status noted.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/gahanna-woods-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/gahanna-woods-state-nature-preserve;http://naturepreserves.ohiodnr.gov/gahannawoods;https://gahanna.gov/395/Gahanna-Woods-State-Nature-Preserve;https://www.gahanna.gov/Facilities;https://oh-gahanna.civicplus.com/DocumentCenter/View/278/Parks-and-Trails-Guide-PDF	
OH-FR-S-0002	Sawmill Wetlands Education Area	Natural Area				State of Ohio (donated to state with permanent preservation requirement)	Ohio Department of Natural Resources, Division of Wildlife; City of Columbus Recreation and Parks Department	Friends of Sawmill Wetlands; Friend of the Lower Olentangy Watershed (FLOW)		Wetlands; woodland vernal pools; urban natural area; educational programming; ~17.32 acres	2650 Starford Dr., Dublin, OH 43016	17.91	Franklin	Dublin	Washington Township	40.0996061	-83.0846007	86GR3WX8+R2			https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/sawmill-wetlands-education-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/sawmill-wetlands-education-area;https://columbusrecparks.com/parks/sawmill-nature-preserve/;https://sites.google.com/a/olentangywatershed.org/wiki/wetlands/sawmill-wetlands	
OH-FR-S-0003	Olentangy River State Wildlife Access Area	Natural Area				State of Ohio (ODNR Division of Wildlife)	Ohio Department of Natural Resources, Division of Wildlife			The site provides access to the Olentangy River for fishing, wildlife observation, and nature recreation, managed by the Ohio Department of Natural Resources.	Northwest Columbus area, Franklin County		Franklin			40.1111743	-83.0318515	86GR4X69+F2	Fishing Area; Watercraft Access	ODNR-managed public fishing and wildlife access area along the Olentangy River; acreage per ODNR GIS approximately 113 ac (needs verification from ODNR directly)	https://www.topozone.com/ohio/franklin-oh/park/olentangy-river-state-wildlife-access-area/	https://www.topozone.com/ohio/franklin-oh/park/olentangy-river-state-wildlife-access-area/	
OH-MC-S-0004	Big Darby Creek State and National Scenic River	Water Site				Mixed — private landowners along corridor; some parcels acquired by ODNR, Metro Parks, and conservation partners	Ohio Department of Natural Resources, Division of Natural Areas & Preserves — Scenic Rivers Program	Metro Parks Serving Franklin County; Darby Creek Association; The Nature Conservancy	Darby Creek Association; Big Darby Accord (Franklin County political subdivisions)	High-quality warmwater stream; exceptional mussel and fish diversity; floodplain forest; prairie remnants; state and national scenic designation corridor; ~20 miles (Franklin County segment of state/national scenic river designation, from county line near Georgesville to Darbydale area)	Flows from Champaign-Union County line south through Logan, Union, Madison, Franklin, and Pickaway counties; confluence with Scioto River near Circleville		Champaign;Franklin;Logan;Madison;Pickaway;Union			39.945	-83.185	86FRWRV8+X2		GPS approx: Representative point — linear feature, Franklin County midpoint of scenic river segment	https://www.rivers.gov/rivers/big-darby.php	https://www.rivers.gov/rivers/big-darby.php;https://www.nationalriversproject.com/oh/big-darby-creek-big-darby-creek-scenic-river;https://theoec.org/campaign/protect-big-and-little-darby-creeks/;https://www.ohiosportsman.com/threads/big-darby-creek-state-and-national-scenic-river.572/	
OH-MC-S-0005	Little Darby Creek State Scenic River	Water Site				Mixed — private landowners along corridor; some parcels acquired by ODNR and conservation partners	Ohio Department of Natural Resources, Division of Natural Areas & Preserves — Scenic Rivers Program	Metro Parks Serving Franklin County; Darby Creek Association	Darby Creek Association; local watershed organizations	High-quality warmwater stream; mussel and fish diversity; agricultural bottomland corridor; ~10 miles (Franklin County segment of state scenic river designation)	From Lafayette-Plain City Road Bridge downstream to confluence with Big Darby Creek in Franklin County (Battelle Darby Creek area)		Franklin;Madison;Pickaway;Union			39.978	-83.22	86FRXQHJ+92		GPS approx: Representative point — linear feature, Franklin County segment midpoint	https://www.nationalriversproject.com/oh/little-darby-creek-little-darby-creek-scenic-river	https://www.nationalriversproject.com/oh/little-darby-creek-little-darby-creek-scenic-river;https://www.unioncountydailydigital.com/articles/odnr-looks-to-protect-little-darby-creek-scenic-river/	
OH-MC-S-0006	Olentangy River State Scenic River	Water Site				Mixed — private landowners; corridor management by ODNR; some parcels acquired by ODNR and partners	Ohio Department of Natural Resources, Division of Natural Areas & Preserves — Scenic Rivers Program		Olentangy Scenic River Advisory Council; Friends of the Lower Olentangy Watershed (FLOW); Ohio Scenic Rivers Association	Riparian corridor; scenic river designation; wildlife habitat; ~22 miles (Franklin County segment of state scenic designation)	22-mile segment from below Delaware Dam downstream to Worthington; spans Delaware and Franklin counties		Delaware;Franklin			40.07	-83.025	86GR3X9G+X2		GPS approx: Representative point — 22-mile linear feature; Franklin County portion midpoint	https://www.olentangywatershed.org/?page_id=4331	https://www.olentangywatershed.org/?page_id=4331	
OH-MC-S-0007	Battelle Darby Creek Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County	Battelle Memorial Institute (historic — park named in their honor); ODNR (scenic river corridor coordination)	Darby Creek Association; Big Darby Accord partners	Big Darby Creek and Little Darby Creek corridor; 7,358 acres; ~34 miles of trails; restored prairies and wetlands (1,600+ acres); bison pastures; nature center (53-ft living stream exhibit); public hunting area (~800 acres, small game/deer/waterfowl); Camp Chase Trail; Darby Creek Greenway Trail; Dyer Mill Trail; picnic shelters; river access	Southwest Franklin County and northern Pickaway County; main entrance via OH-665	7001.57	Franklin;Pickaway			39.883247	-83.2122884	86FRVQMQ+62			https://www.metroparks.net/parks-and-trails/battelle-darby-creek/	https://www.metroparks.net/parks-and-trails/battelle-darby-creek/;https://en.wikipedia.org/wiki/Battelle_Darby_Creek_Metro_Park	
OH-FR-S-0008	Big Darby Public Hunting Area	Hunting Area				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County		Ohio DNR Division of Wildlife (hunting regulations)	~800-acre public hunting zone; small game, deer, and waterfowl hunting; regulated per ODNR and Metro Parks rules	Within Battelle Darby Creek Metro Park; access areas along SR 665, Harrisburg-Georgesville Road, and Biggart Road	800	Franklin			39.97	-83.19	86FRXRC6+R2		GPS approx: Representative point — within Battelle Darby Creek Metro Park corridor	https://www.metroparks.net/wp-content/uploads/2022/10/BDC-Public-Hunting-map-and-rules.pdf	https://www.metroparks.net/wp-content/uploads/2022/10/BDC-Public-Hunting-map-and-rules.pdf	
OH-MC-S-0009	Blacklick Woods Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			first Metro Park (opened 1948); beech-maple forest; buttonbush swamp; six trails; Blacklick Creek Nature Center; golf course; National Natural Landmark (designated 1974); State Nature Preserve designation; seasonal swamp ponds; small prairie	Eastern Franklin County / northwestern Fairfield County	152.77	Fairfield;Franklin	Reynoldsburg		39.9389346	-82.8126551	86FVW5QP+H2		Full metro park had no independent baseline entry. Was incorrectly tagged B067 (Blodwen Park, Grove City).	https://www.metroparks.net/blog/20-in-23-the-first-metro-park-blacklick-woods/	https://www.metroparks.net/blog/20-in-23-the-first-metro-park-blacklick-woods/;https://en.wikipedia.org/wiki/Blacklick_Woods_Metro_Park	
OH-FR-S-0010	Blendon Woods Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			nature center; disc golf course; trails; ponds; picnic areas; wildlife viewing	Northeast Columbus near Westerville, Franklin County	649.11	Franklin	Columbus		40.0722516	-82.8791364	86GV34CC+V2		Was incorrectly tagged B067 (Blodwen Park, Grove City).	https://www.metroparks.net/parks-and-trails/blendon-woods/	https://www.metroparks.net/parks-and-trails/blendon-woods/	
