OBJECTID,Name,Jurisdiction,County,Type,Sub_Type,Status,Acres,Source,centroid_lat,centroid_lon
21913,Heather Glen North Park,Dublin,FRA,PARK,C,Public,18.42533399,Dublin,40.0886190,-83.1468407
21914,Scioto Run Nature Trail,Hilliard,FRA,PARK,C,Public,11.52702412,Hilliard,40.0372910,-83.1128027
21915,Northwest Park,Upper Arlington,FRA,PARK,C,Public,21.22576066,,40.0555619,-83.0840409
21916,Mccord Park,Worthington,FRA,PARK,C,Public,26.1919388,FCA,40.1071708,-83.0048205
21917,Fryer Park,Grove City,FRA,PARK,R,Public,111.45110107,Grove City,39.8566883,-83.1002103
21918,Nafzger Park,Columbus,FRA,PARK,C,Public,70.53450868,Columbus,39.9175455,-82.8673024
21919,Mccorkle Park,Gahanna,FRA,PARK,C,Public,21.99700841,Gahanna,40.0306816,-82.8792858
21920,J.F. Kennedy Park,Reynoldsburg,FRA,PARK,C,Public,27.27789711,,39.9576350,-82.8059842
21921,The Homestead,Hilliard,FRA,PARK,M,Public,40.43058784,Hilliard,40.0525018,-83.1838663
21922,Topiary Garden/Deaf School Park,Columbus,FRA,PARK,N,Public,6.94712773,FCA,39.9611571,-82.9876213
21923,John Bishop Park,Whitehall,FRA,PARK,C,Public,38.15717604,FCEO,39.9630892,-82.8692442
21924,Darree Fields Park,Dublin,FRA,PARK,C,Public,152.3804012,Dublin,40.0961866,-83.1954571
21925,Roger A. Reynolds Municipal Park,Hilliard,FRA,PARK,R,Public,131.19931688,Hilliard,40.0287628,-83.1727675
21926,Thompson Park,Upper Arlington,FRA,PARK,C,Public,46.54887055,FCA,40.0436637,-83.0723144
21927,Memorial Park,Obetz,FRA,PARK,R,Public,84.29462872,,39.8836656,-82.9407940
21928,Perry Park,Worthington,FRA,PARK,C,Public,19.11935071,,40.1009455,-83.0536552
21929,Pine Quarry Park,Reynoldsburg,FRA,PARK,C,Public,40.78513421,,39.9628313,-82.7882889
21930,Scioto Park,Dublin,FRA,PARK,C,Public,14.36790367,Dublin,40.1169271,-83.1110234
