name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Goll Woods State Nature Preserve	Nature Preserve	State Nature Preserve	State Nature Preserve	Active	State of Ohio	Ohio Department of Natural Resources, Division of Natural Areas and Preserves			A 321-acre state nature preserve in northwestern Ohio containing a remnant of the historic Great Black Swamp. Features old-growth forest with trees up to 400 years old and 4-foot diameters. Renowned for number and variety of spring wildflowers including large-flowered trillium (Ohio's state wildflower), bloodroot, columbine, marsh marigold, spotted coral-root, and three-birds-orchid. Approximately 100 acres designated old-growth forest. National Natural Landmark.	5800 County Road 26, Archbold, Ohio 43502	320.64	Fulton			41.554461	-84.36137	86HQHJ3Q+QF	Boardwalk; Restrooms; Parking Lot; Kiosk; Observation Deck; Vernal Pool	National Natural Landmark. Baseline seed confirmed. Acreage: 320.64 (Wikipedia/baseline).	http://naturepreserves.ohiodnr.gov/gollwoods	https://trekohio.com/2017/03/12/goll-woods-state-nature-preserve/; https://en.wikipedia.org/wiki/Goll_Woods_State_Nature_Preserve		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Harrison Lake State Park	Park	Waterfront Park	State Park	Active	State of Ohio	Ohio Department of Natural Resources, Division of Parks and Watercraft			A 142-acre public recreation area established 1950, surrounding 95-acre Harrison Lake (created 1939 by damming Mill Creek, a tributary of the Tiffin River). The lake has a maximum depth of fifteen feet near the dam. Popular for swimming, fishing, camping, canoeing, and hiking.	26246 Harrison Lake Road, Fayette, Ohio 43521	142	Fulton			41.64361	-84.37222	86HQJJVH+C4	Hiking Trail; Boat Ramp; Watercraft Access; Swimming Beach; Picnic Area; Disc Golf Course; Playground; Horseshoe Pitch; Restrooms; Camping; Cabin Rentals	Baseline seed confirmed. Established 1950. Lake: 95 acres. Fish species: bluegill, largemouth bass, channel catfish, white crappie, bullhead, northern pike.	https://en.wikipedia.org/wiki/Harrison_Lake_State_Park	https://stateparks.com/harrison_lake_state_park_in_ohio.html		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Maumee State Forest	Conservation Area		State Forest	Active	State of Ohio	Ohio Department of Natural Resources, Division of Forestry			A 3,452-acre state forest occupying largely flat land formerly cleared for farming, spanning Fulton, Henry, and Lucas counties. Represents a remnant example of oak openings habitat that once covered much of Northwest Ohio and Southeast Michigan. A patchwork of non-contiguous parcels. One of only four Ohio State Forests with all-terrain vehicle trails and the only one in Northwest Ohio.	3390 County Rd. D, Swanton, OH 43558	3452	Fulton; Henry; Lucas			41.52056	-83.90194	86HRG3CX+66	Hiking Trail; Interpretive Sign; Bridle Trail; Hunting Area	HELD — cross-county entity (Fulton, Henry, Lucas). Fulton County portion not specifically delineated by source; GIS verification needed. Acreage: 3,452 (Wikipedia). GPS at forest HQ (3390 County Rd. D, Swanton). Baseline seed. GPS from address geocode — verify precision.	https://en.wikipedia.org/wiki/Maumee_State_Forest	https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/see-the-sights/lake-erie-birding-trail/oak-openings-loop/maumee-state-forest		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Tiffin River Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			A non-contiguous 465-acre State Wildlife Management Area in western Fulton County on State Route 66, between Fayette and Archbold. Pheasant releases by Ohio DNR for hunting purposes. Named after the Tiffin River.	Ohio State Route 66, between Fayette and Archbold, Ohio; parking via County Road 23	465	Fulton			41.60556	-84.31167	86HQJM4Q+68	Parking Lot; Hunting Area	"NEW DISCOVERY — not in baseline. Non-contiguous parcels. GPS from Wikipedia infobox (41°36'20""N 84°18'42""W). GPS from address geocode — verify precision."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/tiffin-river-wildlife-area	https://en.wikipedia.org/wiki/Tiffin_River_Wildlife_Area		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Fulton Pond Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			A 35-acre state wildlife area located 2 miles northwest of Swanton, Ohio, adjacent to the Ohio Turnpike. Contains a 13-acre fishing pond with 0.7 miles of shoreline.	8529 Co Rd 3, Swanton, OH 43558; entrance on Township Road 3	35	Fulton			41.5972	-83.9278	86HRH3WC+VV	Fishing Area; Pond	Baseline seed confirmed. GPS from ODNR fishing map (approximate centroid). 13-acre pond. GPS from address geocode — verify precision.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/fulton-pond-wildlife-area			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Oak Openings Corridor (Metroparks Toledo — Fulton County parcels)	Conservation Area			Active	Metroparks Toledo	Metroparks Toledo	Green Ribbon Initiative partners; The Nature Conservancy; ODNR Division of Forestry	Green Ribbon Initiative — multi-agency effort to preserve Oak Openings Region	Conservation land acquired by Metroparks Toledo in Swan Creek Township, Fulton County, as part of the Oak Openings Corridor connecting Secor and Oak Openings Preserve Metroparks. Part of approximately 1,900 total acres in western Lucas County and Fulton County. Goal is to reduce habitat fragmentation in the globally significant Oak Openings Region.	Swan Creek Township, Fulton County, Ohio		Fulton; Lucas							HELD — cross-county entity (Lucas + Fulton). Fulton County portion is undeveloped conservation land parcels in Swan Creek Township. Public access status uncertain. Individual parcel identities unknown. GIS parcel resolution needed. NEW DISCOVERY. GPS needed — Oak Openings Corridor (Metroparks Toledo — Fulton County parcels) location unconfirmed.	https://metroparkstoledo.com/conservation/highlights/oak-openings-corridor/			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Biddle Park	Recreation Facility	Sports Complex		Active	City of Wauseon	City of Wauseon Parks & Recreation			Large athletic complex serving as the primary sports facility for the City of Wauseon. Named in honor of Dorothy B. and Clark O. Biddle. Wauseon's largest park at 73.4 acres, opened May 2009. Located on the east side of Wauseon on Glenwood Avenue.	900 North Glenwood Avenue, Wauseon, OH 43567	73.4	Fulton			41.5581	-84.1428	86HQHV54+6V	Ball Diamond; Basketball Court; Volleyball Court; Soccer Pitch; Football Field	Baseline seed confirmed. Address from search: 900 N Glenwood Ave. GPS approximate — needs field verification. GPS from address geocode — verify precision.	https://www.cityofwauseon.com/our-parks	https://wauseon.recdesk.com/Community/Facility		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Depot Park	Park	Historic Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			A small historic park featuring a preserved train depot and caboose in Wauseon. Opened July 15, 1970. 1.9 acres.	Wauseon, OH 43567	1.9	Fulton			41.5448	-84.1387	86HQGVV6+WG	Playground; Historic Structure	Baseline seed confirmed. Opened 1970. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Rotary Park & Goodwin Preserve	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			Combined park and natural area along Wood Street in Wauseon. Rotary Park offers a fishing pond and playground. Goodwin Preserve, established 2004, is a wooded area with grills, picnic spots, and walking trail adjacent to Rotary Park. Parking off Wood Street.	Wood Street, Wauseon, OH 43567	4.5	Fulton			41.5462	-84.144	86HQGVW4+F9	Hiking Trail; Fishing Area; Pond; Pavilion; Picnic Area; Playground; Parking Lot	Baseline had separate entries for 'Rotary Park' and 'Goodwin Preserve' — confirmed as contiguous/connected. Merged as single entity; Goodwin Preserve may warrant independent identity in future. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Homecoming Park	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			A 34.3-acre municipal park in Wauseon offering a variety of recreational amenities including a wooded walking path and sledding hill.	715 Lawrence Ave, Wauseon, OH 43567	34.3	Fulton			41.5411	-84.1507	86HQGRRX+CP	Hiking Trail; Pavilion; Gazebo; Pickleball Court; Playground; Sledding Hill; Restrooms	Baseline seed confirmed. Address: 715 Lawrence Ave. GPS confirmed from mypacer.com.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Memorial Park (Wauseon)	Park	Historic Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			A small neighborhood park opened June 19, 1924, located on West Elm Street just outside downtown Wauseon. Features a war memorial statue. Also referred to as North Park in some sources.	202 Madison St (also: West Elm Street area), Wauseon, OH 43567	2.4	Fulton			41.5492	-84.1449	86HQGVX4+M2	Basketball Court; Playground; Monument	Baseline lists as 'North Park/Memorial Park'. City parks page confirms this is Memorial Park, opened 1924. Also called North Park. Address confirmed: 202 Madison St. GPS confirmed from mypacer.com.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Reighard Park	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			An 18.5-acre park opened April 3, 1940, featuring Imagination Kingdom playground, the City Pool, three shelter houses, restroom facilities, tennis courts, disc golf course, and winding trails.	615 Oak St, Wauseon, OH 43567	18.5	Fulton			41.5528	-84.1314	86HQHV39+4C	Hiking Trail; Swimming Pool; Pavilion; Tennis Court; Disc Golf Course; Playground; Restrooms	Baseline seed confirmed. Opened 1940. Address: 615 Oak St. GPS confirmed from mypacer.com.	https://www.cityofwauseon.com/our-parks	https://udisc.com/courses/reighard-park-cRDL		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
South Park (Wauseon)	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			A neighborhood park in Wauseon with playground equipment and lighted basketball courts.	405 E Park St, Wauseon, OH 43567		Fulton			41.5437	-84.1401	86HQGVV5+FX	Basketball Court; Playground	Baseline seed confirmed. Address: 405 E Park St. GPS confirmed from mypacer.com.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Wabash Park (Wauseon)	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			A neighborhood park in Wauseon featuring a skate park and basic recreational amenities. Became a City park November 20, 1951.	Wauseon, OH 43567		Fulton			41.546	-84.1395	86HQGVW6+96	Basketball Court; Skate Park; Playground	Baseline seed confirmed. Established 1951. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.cityofwauseon.com/our-parks			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
