name	counties	governance	length_mi	surface_type	segment_type	status	difficulty	accessibility	description	identity_notes	notes	url_primary	maps	geometry	created_at	updated_at
Green Trail	Hancock	ODNR Division of Parks & Watercraft	1.0		Loop	Active	Easy			Shared treadway with MTB Green Trail loop. Parallel segment created under MTB parent per §7.3 single-parent rule. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Blue Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active	Moderate			Shared treadway with MTB Blue Trail loop. Parallel segment created under MTB parent per §7.3 single-parent rule. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Orange Trail	Hancock	ODNR Division of Parks & Watercraft	1.0		Loop	Active	Moderate			Hiking-only loop; not listed under MTB or bridle use types. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Haiku Trail	Hancock	ODNR Division of Parks & Watercraft	0.2		Loop	Active	Easy			Short interpretive/accessible loop. Hiking-only. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Sensory Trail	Hancock	ODNR Division of Parks & Watercraft	0.2		Loop	Active	Easy			Shortest loop; designed as sensory/accessible experience. Hiking-only. Map (10/2025) shows unnamed 0.2mi Easy trail that corresponds to Sensory Trail location; length discrepancy with ODNR web page (0.1mi) — map value used.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Pink Trail	Hancock	ODNR Division of Parks & Watercraft	2.6		Loop	Active	Moderate			Shared treadway with Bridle Pink Trail loop. Parallel segment created under Bridle parent per §7.3. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Red Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active	Moderate			Shared treadway with Bridle Red Trail loop. Parallel segment created under Bridle parent per §7.3. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
White Trail	Hancock	ODNR Division of Parks & Watercraft	1.5		Loop	Active	Moderate			Shared treadway with Bridle White Trail loop. Parallel segment created under Bridle parent per §7.3. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Yellow Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active	Easy			Shared treadway with Bridle Yellow Trail loop. Parallel segment created under Bridle parent per §7.3. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Green Trail	Hancock	ODNR Division of Parks & Watercraft	1.0		Loop	Active	Easy			Shared treadway with Hiking Green Trail. Parallel segment under Hiking parent created per §7.3. Difficulty implied from aggregate MTB trail description (novice and intermediate). Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Blue Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active	Moderate			Shared treadway with Hiking Blue Trail. Parallel segment under Hiking parent created per §7.3. Difficulty implied from aggregate MTB description. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Red Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active				Shared treadway with Hiking Red Trail. Parallel segment under Hiking parent created per §7.3.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Pink Trail	Hancock	ODNR Division of Parks & Watercraft	2.6		Loop	Active				Shared treadway with Hiking Pink Trail. Parallel segment under Hiking parent created per §7.3. Longest bridle loop. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
White Trail	Hancock	ODNR Division of Parks & Watercraft	1.5		Loop	Active				Shared treadway with Hiking White Trail. Parallel segment under Hiking parent created per §7.3. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Yellow Trail	Hancock	ODNR Division of Parks & Watercraft	2.0		Loop	Active				Shared treadway with Hiking Yellow Trail. Parallel segment under Hiking parent created per §7.3.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Purple Trail	Hancock	ODNR Division of Parks & Watercraft	0.3		Loop	Active	Easy			Documented on official park map rev. 10/2025 with purple blaze. Not listed on ODNR web page — map is authoritative. Short easy loop.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Campground Connector	Hancock	ODNR Division of Parks & Watercraft	0.1		Connector	Active	Moderate			Connecting trail between campground and main trail system per park map rev. 10/2025. No blaze color listed.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Day Use Connector	Hancock	ODNR Division of Parks & Watercraft	0.1		Connector	Active	Easy			Connecting trail between day use area and main trail system per park map rev. 10/2025. No blaze color listed.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Cable Line Road Trail	Hancock	ODNR Division of Parks & Watercraft			Linear	Active				Named on park map rev. 10/2025 but length not clearly extractable from map text. Follows utility corridor through park. Verify length from map or ODNR source.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 1	Hancock	Hancock Park District	0.9			Active				Heritage Trail Segment 1 of 16. Route: Litzenberg Memorial Woods (south of U.S. Route 224 West) to Indian Green Cemetery.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 2	Hancock	Hancock Park District	0.25			Active				Heritage Trail Segment 2 of 16. Route: Indian Green Cemetery to County Road 128.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 3	Hancock	Hancock Park District	1.21			Active				Heritage Trail Segment 3 of 16. Route: County Road 128 to Township Road 89. NOTE: Segments 3 and 4 show identical text on HPD website (likely rendering error) — verify distinct routing via brochure/map.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 4	Hancock	Hancock Park District	1.21			Active				Heritage Trail Segment 4 of 16. Route: County Road 128 to Township Road 89. NOTE: Segments 3 and 4 show identical text on HPD website (likely rendering error) — verify distinct routing via brochure/map.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 5	Hancock	Hancock Park District	1.57			Active				Heritage Trail Segment 5 of 16. Route: Liberty Landing to Blanchard River Greenway Trail via Township Road 89.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 6	Hancock	Hancock Park District	0.69			Active				Heritage Trail Segment 6 of 16. Route: Blanchard River Greenway Trail to Great Karg Well Historical Site.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 7	Hancock	Hancock Park District	0.59			Active				Heritage Trail Segment 7 of 16. Route: Great Karg Well Historical Site to Main Street via Liberty Street, Washington Street, and Riverwalk.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 8	Hancock	Hancock Park District	1.25			Active				Heritage Trail Segment 8 of 16. Route: Main Street to Riverside Park via Blanchard River Greenway Trail (BRGT), Taylor Street, Clinton Court, and BRGT.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 9	Hancock	Hancock Park District	1.13			Active				Heritage Trail Segment 9 of 16. Route: Riverside Park to Eastpoint Area via McManness Avenue and East Main Cross Street.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 10	Hancock	Hancock Park District	0.79			Active				Heritage Trail Segment 10 of 16. Route: Eastpoint Area to Township Road 234 via State Route 568.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 11	Hancock	Hancock Park District	1.74			Active				Heritage Trail Segment 11 of 16. Route: Township Road 234 to Township Road 241 via Township Road 208. NOTE: Segments 11 and 12 show identical text on HPD website (likely rendering error) — verify distinct routing via brochure/map.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 12	Hancock	Hancock Park District	1.74			Active				Heritage Trail Segment 12 of 16. Route: Township Road 234 to Township Road 241 via Township Road 208. NOTE: Segments 11 and 12 show identical text on HPD website (likely rendering error) — verify distinct routing via brochure/map.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 13	Hancock	Hancock Park District	2.35			Active				Heritage Trail Segment 13 of 16. Route: Riverbend Recreation Area to Township Road 244 via Township Road 208, Township Road 207, Reservoir, and County Road 205.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 14	Hancock	Hancock Park District	1.02			Active				Heritage Trail Segment 14 of 16. Route: Township Road 244 to Township Road 173.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 15	Hancock	Hancock Park District	1.4			Active				Heritage Trail Segment 15 of 16. Route: Township Road 173 to State Route 15.		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Segment 16	Hancock	Hancock Park District	0.61			Active				"Heritage Trail Segment 16 of 16. Route: State Route 15 to Van Horn Cemetery. NOTE: HPD page shows "".61 mile"" — interpreted as 0.61 miles (likely typo for missing leading zero)."		https://hancockparks.com/trails/heritage-trail/			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
