name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Big Creek Park	Park			Active	Village of McClure	Village of McClure				McClure, OH 43534		Henry	Damascus	Damascus	41.368215	-83.93994	86HR9396+72	Ball Diamond;Pickleball Court;Playground		https://www.facebook.com/pages/Big-Creek-Park-Mcclure-Ohio/143710152892303	https://www.facebook.com/pages/Big-Creek-Park-Mcclure-Ohio/143710152892303;https://www.northwestsignal.net/news/article_3441b3ee-9598-11ef-844e-270c4ceb73c3.html		2026-04-26	2026-04-26
Deshler Crossroads Park	Park			Active	Village of Deshler	Village of Deshler			Railfan park at the intersection of two major CSX Transportation rail lines, offering prime train-watching opportunities with approximately 50-70 trains passing through daily.	Deshler, OH 43516 (at intersection of CSX rail lines)		Henry	Bartlow	Bartlow	41.217095	-83.893776	86HR6484+RF	Camping;Historic Marker;Pavilion;Picnic Area		https://www.facebook.com/DeshlerCrossroadsPark/	https://www.facebook.com/DeshlerCrossroadsPark/;https://villageofdeshler.com/		2026-04-26	2026-04-26
Deshler Reservoir Park	Park			Active	Village of Deshler	Village of Deshler				Deshler, OH 43516		Henry	Bartlow	Bartlow	41.20304	-83.901743	86HR633X+68	Picnic Area		https://villageofdeshler.com/	https://villageofdeshler.com/		2026-04-26	2026-04-26
East Riverdowns Park	Park			Active	City of Napoleon	City of Napoleon Parks and Recreation				E. Front St & Jefferson St, Napoleon, OH 43545		Henry	Napoleon	Napoleon	41.392628	-84.117267	86HQ9VVM+33	Ball Diamond;Horseshoe Pitch;Playground		https://www.napoleonohio.com/departments/parks-and-recreation/parks	https://www.napoleonohio.com/departments/parks-and-recreation/parks		2026-04-26	2026-04-26
Fredrick Steward Memorial Park	Park			Active	Village of Liberty Center	Village of Liberty Center	Arbor Day Foundation			Liberty Center, OH 43532		Henry	Liberty	Liberty	41.443713	-84.004747	86HQCXVW+F4	Tennis Court		https://lcvillage.com/	https://lcvillage.com/		2026-04-26	2026-04-26
Glenwood Park	Park			Active	City of Napoleon	City of Napoleon Parks and Recreation				521 Glenwood Ave, Napoleon, OH 43545		Henry	Napoleon	Napoleon	41.386553	-84.142184	86HQ9VP5+J4	Ball Diamond;Basketball Court;Playground;Swimming Pool		https://www.napoleonohio.com/departments/parks-and-recreation/parks	https://www.napoleonohio.com/departments/parks-and-recreation/parks;https://napoleongolfclub.com/		2026-04-26	2026-04-26
Hamler Memorial Park	Park			Active	Village of Hamler	Village of Hamler				Hamler, OH 43524		Henry	Marion	Marion	41.230605	-84.036733	86HQ6XJ7+68			https://hamlerohio.com/	https://hamlerohio.com/;https://birdinghotspots.org/hotspot/L3680027		2026-04-26	2026-04-26
Holgate Village Park	Park			Active	Village of Holgate	Village of Holgate				Holgate, OH 43527		Henry	Pleasant	Pleasant	41.250101	-84.127079	86HQ7V2F+25	Basketball Court		https://www.holgateohio.com/	https://www.holgateohio.com/		2026-04-26	2026-04-26
Meyerholtz Wildlife Park	Park			Active	City of Napoleon	City of Napoleon Parks and Recreation				1781-1799 W. Riverview Ave, Napoleon, OH 43545	21.5	Henry	Napoleon	Napoleon	41.370975	-84.152449	86HQ9RCX+92	Parking Lot;Picnic Area		https://birdinghotspots.org/hotspot/L3683369	https://birdinghotspots.org/hotspot/L3683369		2026-04-26	2026-04-26
Napoleon Dog Park	Park	Dog Park		Active	City of Napoleon	City of Napoleon Parks and Recreation	Girl Scouts (original construction)			E. Front St & Jefferson St, Napoleon, OH 43545 (within East Riverdowns Park)		Henry	Napoleon	Napoleon	41.390001	-84.119848	86HQ9VRJ+23	Dog Park		https://www.napoleonohio.com/departments/parks-and-recreation/dog-park	https://www.napoleonohio.com/departments/parks-and-recreation/dog-park		2026-04-26	2026-04-26
