name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Cedar Point National Wildlife Refuge	Wildlife Area	Federal Wildlife Area	National Wildlife Refuge	Active	U.S. Fish and Wildlife Service	U.S. Fish and Wildlife Service	Ottawa National Wildlife Refuge (administers)	Administered by Ottawa National Wildlife Refuge staff	"Cedar Point National Wildlife Refuge has a fascinating history. From a famous hunt club to a refuge in 1964, it has provided habitat for a variety of waterfowl, bald eagles and plants for many years. The nearly 2,500 acres protect rare plants and habitats that aren't found in other areas of Ohio."	"Off Yondota Road, State Route 2, three miles east of Oregon, Ohio; Lucas County, northwest Ohio"		Lucas	Jerusalem	Jerusalem	41.685901	-83.319691	86HRMMPJ+94	Fishing Area;Parking Lot;Wildlife Observation Area	"Refuge established 1964 (formerly a famous hunt club). Administered by Ottawa National Wildlife Refuge staff at 14000 West State Route 2, Oak Harbor, OH 43449-9485. Phone: (419) 898-0014. Access open May 1-Aug 31 daylight hours for fishing/paddling. Confirmed in Lucas County by USFWS page. Baseline seed confirmed. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source."	https://www.fws.gov/refuge/cedar-point	https://www.fws.gov/refuge/cedar-point;https://www.fws.gov/refuge/cedar-point/visit-us		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
West Sister Island National Wildlife Refuge	Wildlife Area	Federal Wildlife Area	National Wildlife Refuge	Active	U.S. Fish and Wildlife Service	U.S. Fish and Wildlife Service	Ottawa National Wildlife Refuge (administers)	Managed by Ottawa National Wildlife Refuge staff	"Declared a refuge in 1938 and a wilderness area in 1975, West Sister Island National Wildlife Refuge is located nine miles from shore in the Lake Erie Western Basin. This 82 acre island is closed to all access to protect the largest nesting colony of wading birds in the United States Great Lakes. Tall hackberry trees provide nesting sites for great blue herons, great egrets, black-crowned night-herons, double-crested cormorants and more."	"Lake Erie Western Basin, nine miles from shore"	82	Lucas			41.769	-83.127	86HRQV9F+J6		"CLOSED to all public use — limited research permits only. Boaters may view from water only. Wilderness Area designation since 1975. Administered by Ottawa NWR staff (14000 West State Route 2, Oak Harbor, OH 43449-9485; 419-898-0014). County assignment: baseline lists as Lucas County; island is in Lake Erie and county attribution may warrant verification at normalization. Baseline seed confirmed."	https://www.fws.gov/refuge/west-sister-island	https://www.fws.gov/refuge/west-sister-island;https://www.fws.gov/refuge/west-sister-island/visit-us		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Maumee Bay State Park	Park		State Park	Active	State of Ohio	ODNR Division of Parks & Watercraft			"Maumee Bay State Park features a 57-acre inland lake, Lake Erie shoreline, marina managed by the Lodge, campground, and Trautman Nature Center (opened 1993). The park offers archery range, disc golf (18-hole), golf course, two beaches, and multiple trails. Mallard Club Marsh Wildlife Area is adjacent to the park."	"1400 State Park Road, Oregon, OH 43616; Lake Erie shoreline and inland lake, northwest Lucas County"		Lucas	Oregon		41.681408	-83.376536	86HRMJJF+H9	Hiking Trail;Boardwalk;Multi-use Trail;Marina;Beach;Disc Golf Course;Archery Range;Nature Center	Phone: (419) 836-7758. Baseline seed confirmed. Adjacent to Mallard Club Marsh Wildlife Area. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Irwin Prairie State Nature Preserve	Nature Preserve	State Nature Preserve	State Nature Preserve	Active	State of Ohio	ODNR Division of Natural Areas & Preserves			"Irwin Prairie State Nature Preserve contains the finest sedge meadow in the state of Ohio, featuring a mosaic of wet prairie, sedge meadow, shrub swamp, and swamp forest habitats. The preserve supports dozens of rare and state-listed plant species."	"Lucas County, Ohio"	207	Lucas	Spencer	Spencer	41.65454	-83.776837	86HRM63F+R7	Boardwalk;Prairie	ODNR page reports 207 acres; baseline records 226.467 acres. Discrepancy flagged for normalization review — GIS verification needed. Baseline seed confirmed. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/irwin-prairie-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/irwin-prairie-state-nature-preserve		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Campbell State Nature Preserve	Nature Preserve	State Nature Preserve	State Nature Preserve	Active	State of Ohio	ODNR Division of Natural Areas & Preserves			"Campbell State Nature Preserve honors Louis W. (Lou) Campbell, a well-known Toledo naturalist and outdoor writer. High quality habitats include wet sedge meadows, swamp forest, sand dunes, sand barrens, mesic sand prairie and oak openings. These habitats support endangered wildlife including the frosted elfin and harvester butterflies. Rare wildflowers seen here include wild lupine, grass-pink orchid, spathulate-leaved sundew, soapwort gentian, plains puccoon and Missouri ironweed."	"Lucas County, Ohio"		Lucas			41.574	-83.718	86HRH7FJ+JQ	Hiking Trail;Restrooms;Prairie	"ODNR page uses ""Campbell State Nature Preserve"" (not ""Louis W. Campbell State Nature Preserve""). Baseline lists as ""Louis W. Campbell State Nature Preserve"" — name normalization needed. Baseline acreage: 74.9 acres (not confirmed on ODNR page). Hours: 1/2 hour before sunrise to 1/2 hour after sunset. Baseline seed confirmed."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/campbell-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/campbell-state-nature-preserve		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Mallard Club Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			Mallard Club Wildlife Area is a 402-acre state wildlife area located 9 miles east of Toledo. Acquisition began in 1992 using multiple state funds and Fish Restoration federal funding.	"9 miles east of Toledo; Lucas County, Ohio"	402	Lucas	Jerusalem	Jerusalem	41.679836	-83.343337	86HRMMH4+WM	Parking Lot;Wildlife Observation Area	"Phone: (419) 424-5000. ODNR map file named ""mallardclub.pdf"". Note: ODNR page title is ""Mallard Club Wildlife Area"" while hunting maps list as ""Mallard Club Marsh."" Name normalization needed. Adjacent to Maumee Bay State Park. Baseline seed confirmed. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/mallard-club-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/mallard-club-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/mallardclub.pdf		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Metzger Marsh Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife	U.S. Fish and Wildlife Service (cooperative management); Ducks Unlimited; local conservation groups	Managed cooperatively with U.S. Fish and Wildlife Service as a high-quality wetland	"Metzger Marsh Wildlife Area is a 558-acre wildlife area that adjoins 182 acres of Ottawa National Wildlife Refuge, creating a 740-acre wetland adjacent to Lake Erie. A remnant of the 300,000-acre marsh once bordering western Lake Erie, the area was purchased by the Division of Wildlife in 1955 after years as a private hunting club. The outer dike was restored in 1995. Today it attracts thousands of migrating waterfowl, songbirds, and shorebirds annually."	"20 miles east of Toledo, just off State Route 2; Lake Erie shoreline; Lucas County, Ohio"	558	Lucas	Jerusalem	Jerusalem	41.642865	-83.240018	86HRJQV5+4X	Boat Ramp;Fishing Area;Parking Lot;Wildlife Observation Area	"Phone: (419) 424-5000. Managed cooperatively with USFWS (Ottawa NWR). Yellow perch, channel catfish, freshwater drum, white bass, largemouth bass, northern pike present. Baseline seed confirmed. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/metzger-marsh-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/metzger-marsh-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/metzgermarsh.pdf		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Meilke Road Savanna Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife				"Lucas County, Ohio"		Lucas	Spencer	Spencer	41.639215	-83.766025	86HRJ6QM+MH		"ODNR property page has minimal content (dynamically rendered). Map file named ""Meilke_Road.pdf"". Hunting maps list as ""Meilke Road Savanna"" (Lucas County). ODNR map download uses alternate spelling ""Meilke Road Savannah Wildlife Area."" Acreage not confirmed from source — baseline lists no acreage. Baseline seed confirmed. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/meilke-road-savanna-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/meilke-road-savanna-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Meilke_Road.pdf		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Lanker Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			Lanker Wildlife Area is a 26-acre state wildlife area located 1 mile northeast of Grand Rapids. Acquisition began in 1996 using multiple state funds.	"1 mile northeast of Grand Rapids; Lucas County, Ohio"	26	Lucas			41.436	-83.858	86HRC4PR+CQ		Discovered via mandatory ODNR Hunting Area Maps enumeration (§3.3) — not in baseline or prior ODNR property page searches. Not in baseline; new discovery.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/lanker-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/lanker-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Lanker.pdf		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Magee Marsh Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			"Magee Marsh Wildlife Area is a 2,202-acre controlled hunting area containing some of Ohio's finest remaining wetlands. Originally private hunting clubs from the late 1800s, the area was purchased by the Ohio Division of Wildlife in August 1951. The marsh complex is renowned for its waterfowl, waterbirds, shorebirds, and songbirds. A forested beach ridge provides critical habitat for over 150 migrating songbird species including 36 species of warblers. More than 300 bird species have been recorded on the area."	17 miles west of Port Clinton on State Route 2; 10 miles north of Oak Harbor on State Route 19; Lake Erie Western Basin marshes	2202	Lucas;Ottawa	Jerusalem	Jerusalem	41.626809	-83.183527	86HRJRG8+PH	Boardwalk;Boat Ramp;Fishing Area;Beach;Parking Lot;Visitor Center	"GIS_VERIFY_COUNTY: ODNR hunting area maps list as ""Lucas & Ottawa."" Location description places property primarily near Ottawa County (Port Clinton, Oak Harbor area). County_primary set to Ottawa based on HQ address proximity; Lucas County portion requires GIS verification. Boardwalk and trails open year-round sunrise to sunset; restricted hours Oct-mid Dec during controlled waterfowl hunt. Discovered via mandatory ODNR Hunting Area Maps enumeration (§3.3). Not in baseline. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source."	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/magee-marsh-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/magee-marsh-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/mageemarsh.pdf;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/mageemarshwildlifearea_trailmap.pdf		2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
