Ottawa National Wildlife Refuge	Wildlife Area	Federal Wildlife Area	National Wildlife Refuge	Active	Federal	U.S. Fish & Wildlife Service			Established in 1961, Ottawa National Wildlife Refuge protects a network of wetlands, grasslands and forests to provide habitat for a variety of migratory birds, resident wildlife and threatened and endangered species. This network of land covers more than 8,000 acres and when combined with the other refuges in the complex, protects more than 10,000 acres. It has been recognized with global significance for its value to wildlife.	14000 West State Route 2, Oak Harbor, Ohio 43449; 15 miles east of Toledo, 16 miles west of Port Clinton on State Route 2		Lucas;Ottawa	Benton	Benton Township	41.607498	-83.209608	86HRJQ4R+X5	Hiking Trail; Hunting Area	KNOWN_MC: No existing DB ID — multi-county entity spanning Ottawa and Lucas. Main unit in Ottawa County. Metzger Marsh Unit (182 ac) is in Lucas County — co-managed with Ohio Division of Wildlife. Complex also manages Cedar Point NWR (Lucas) and West Sister Island NWR (Lucas). Ottawa NWR itself is primarily Ottawa County; CROSS_COUNTY_CANDIDATE for Ottawa/Lucas due to Metzger Marsh co-management. Baseline seed confirmed. | photography	https://www.fws.gov/refuge/ottawa	https://www.fws.gov/refuge/ottawa/visit-us/trails;https://www.fws.gov/refuge/ottawa/visit-us/locations;https://www.fws.gov/refuge/ottawa/map		2026-05-20	2026-05-20
Ottawa National Wildlife Refuge — Navarre Marsh Unit	Wildlife Area	Federal Wildlife Area	National Wildlife Refuge	Active	Federal — complex land exchange history; managed by USFWS	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge			Navarre Marsh unit is managed by Ottawa National Wildlife Refuge staff. The original Navarre Marsh land was traded to Toledo Edison Power Company in 1966 in exchange for Darby Marsh; the 820-acre marsh area became the site of the Davis-Besse Nuclear Power Station. The unit is not open to the public and is accessible by permit only or during special tours.	Approximately 5 miles east of the main Ottawa NWR refuge, near Davis-Besse Nuclear Power Station, Ottawa County, Ohio		Ottawa	Carroll	Carroll Township	41.618	-83.177	86HRJR9F+55		Unit of Ottawa NWR. Restricted access — permit or special tour only. Land exchange with Toledo Edison 1966 means ownership is complex; USFWS manages under agreement. Baseline seed listed as 'Navarre Marsh National Wildlife Refuge' — this is the same entity; the NWR designation applies to the managed unit. Not the same as Navarre Marsh GNIS swamp feature. Verify governance/ownership details at normalization. | Restricted access; birding tours by special arrangement	https://www.fws.gov/refuge/ottawa	https://birdinghotspots.org/hotspot/L679575		2026-05-20	2026-05-20
Ottawa National Wildlife Refuge — West Harbor Landing	Wildlife Area	Federal Wildlife Area	National Wildlife Refuge	Active	Federal	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge			West Harbor Landing is a unit of Ottawa National Wildlife Refuge located on Catawba Island, east of the main refuge complex. It provides public access to refuge lands on the Catawba Island peninsula, including the West Harbor Landing Trail (1.61 mi, seasonal April 1 - September 15).	231 N Hickory Ridge Dr, Port Clinton, OH 43452; east of the main refuge on Catawba Island		Ottawa	Portage	Portage Township	41.579	-82.894	86HVH4H4+J9		Child Site of Ottawa National Wildlife Refuge (main unit). Listed as a distinct location on FWS refuge locations page. Has its own named trail (West Harbor Landing Trail). Baseline seed address confirmed. | Trail access; seasonal access April 1 through September 15	https://www.fws.gov/refuge/ottawa/visit-us/locations/ottawa-national-wildlife-refuge	https://www.fws.gov/refuge/ottawa/map?trail=west-harbor-landing-trail		2026-05-20	2026-05-20
Perry's Victory and International Peace Memorial	Historic Site	Historic Landmark	National Monument; National Memorial	Active	Federal	National Park Service			Perry's Victory and International Peace Memorial is located on South Bass Island in Ohio. It features a 352-foot Doric column that is the only international peace memorial in the National Park System. The Memorial was established to honor those who fought in the Battle of Lake Erie during the War of 1812, and to celebrate the long-lasting peace among Great Britain, Canada and the U.S. The plaza, rotunda, and observation deck are inaccessible for the 2026 and 2027 seasons due to Upper Plaza Rehabilitation.	South Bass Island, Put-in-Bay, OH 43456; mailing address PO Box 549, Put-in-Bay, OH 43456	25.0	Ottawa	Put-in-Bay	Put-in-Bay Township	41.654	-82.818	86HVM53J+HR	Observation Deck	NPS national memorial unit on South Bass Island (Put-in-Bay). Island location — accessible by ferry, plane, or boat. Observation deck fee: $10 for ages 16+, free 15 and under; closed 2026-2027 for rehabilitation. Phone: 419-285-2184. No hiking trails documented at this unit. | 352-foot Doric column; memorial rotunda; ranger programs; exhibits; 15-minute orientation video	https://www.nps.gov/pevi/index.htm	https://www.nps.gov/pevi/planyourvisit/basicinfo.htm;https://www.nps.gov/pevi/planyourvisit/fees.htm		2026-05-20	2026-05-20
Confederate Stockade Cemetery	Cemetery	Public Cemetery		Active	Federal	U.S. Department of Veterans Affairs / National Cemetery Administration			The Confederate Stockade Cemetery is located on Johnson's Island in Sandusky Bay, approximately 3 miles from the city of Sandusky. Johnson's Island was the site of a prisoner-of-war camp for Confederate officers captured during the American Civil War. The cemetery contains 206 graves of Confederate prisoners who died during their captivity. In 1910, the United Daughters of the Confederacy erected a bronze statue, approximately 19 feet tall, titled 'The Lookout,' sculpted by Moses Ezekiel. The cemetery is listed in the VA National Cemetery Administration directory as a national cemetery. Burial space is closed (no new interments).	Johnson's Island, Danbury Township, Ottawa County, Ohio; mailing address: Johnson's Island, Sandusky, OH 44870		Ottawa	Danbury	Danbury Township	41.527	-82.738	86HVG7G6+QR	Fence	VA NCA-managed national cemetery on Johnson's Island, Ottawa County (Danbury Township). Address uses 'Sandusky, OH 44870' mailing but the island is physically in Ottawa County, not Erie County. Phone: 330-335-3069. Burial space closed. (v5.5) mandated source. | 206 graves; marble headstones; 19-ft bronze statue 'The Lookout' (UDC; 1910); historically significant Civil War POW site	https://www.cem.va.gov/cems/lots/Confederate_Stockade.asp	https://www.cem.va.gov/find-cemetery/state.asp?STATE=OH;http://johnsonsisland.org/history-pows/civil-war-era/confederate-cemetery/		2026-05-20	2026-05-20
East Harbor State Park	Park		State Park	Active	State	Ohio Department of Natural Resources / Division of Parks and Watercraft			Features sandy beaches, wooded areas, East and Middle harbors (wetland marshes). Middle Harbor is a game sanctuary. Offers 11 hiking trails plus multi-use trail totaling more than 10 miles, 571-site campground with amphitheater and nature center, two boat launches (marina and campground ramp), ADA accessible beach areas, fishing, swimming, birding, boating. Campground has glacial grooves. Lockwood (Marshall) Cemetery (Ohio Historic Site #37) is located within the park. Marina provides seasonal dockage on West Harbor.	1169 North Buck Road (State Route 269), Danbury Township, Ottawa County, Ohio	1831.0	Ottawa	Danbury	Danbury Township	41.5452	-82.8176	86HVG5WJ+3X	Amphitheater; Boat Ramp; Fishing Area; Multi-use Trail; Nature Center; Picnic Area	Primary large state park in Ottawa County. Historic site: Lockwood (Marshall) Cemetery (Ohio Historic Site #37) is within park grounds — not a separate NAP entity. Marina (East Harbor State Park Marina) staged as separate AP. Crane Creek SP dissolution confirmed — absorbed into Magee Marsh WA (KNOWN_MC:OH-MC-S-010); do not create Crane Creek SP entity. | 571-site campground; glacial grooves in campground; Ohio Historic Site #37	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/east-harbor-state-park	https://dam.assets.ohio.gov/image/upload/ohiodnr.gov/documents/coastal/public-access/pag-le-02-ottawa-county.pdf		2026-05-20	2026-05-20
South Bass Island State Park	Park		State Park	Active	State	Ohio Department of Natural Resources / Division of Parks and Watercraft			Park is perched atop white dolomite bluffs up to 40 feet high. Amenities include cobble beach, boat ramp, fishing pier, campground (59 electric, 10 full-service, 57 non-electric sites, 3 cabents), picnic facilities, and playground. Park property was the site of Hotel Victory (opened 1892, destroyed by fire 1919; remnants in campground). Small glacial grooves in campground. Hotel Victory Site (Ohio Historic Site #11) within park. Island accessible by ferry from Port Clinton, Catawba Island, Sandusky, and Kelleys Island.	1523 Catawba Avenue, Put-in-Bay Township, South Bass Island, Ottawa County, Ohio	33.0	Ottawa	Put-in-Bay	Put-in-Bay Township	41.6423	-82.8373	86HVJ5R7+W3	Beach; Boat Ramp; Picnic Table Cluster; Playground	South Bass Island is 1,523 acres total; state park is 33 acres. Baseline listed 677 ac — INCORRECT (island size != park size). Hotel Victory Site (Ohio Historic Site #11) is a feature within this park — not a separate NAP entity. On Lake Erie Islands Water Trail. | fishing pier; campground (126 sites; 3 cabents); Hotel Victory ruins; glacial grooves; Ohio Historic Site #11	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/south-bass-island-state-park	https://dam.assets.ohio.gov/image/upload/odnr/coastal/ocmp/CH3_LakeErieIslands_04142026_web.pdf		2026-05-20	2026-05-20
Oak Point State Park	Park		State Park	Active	State	Ohio Department of Natural Resources / Division of Parks and Watercraft			Triangle-shaped park juts into Put-in-Bay Harbor toward Gibraltar Island. Offers daily and overnight dockage, fishing access, small picnic area, restrooms, and scenic views of the harbor. On the Lake Erie Islands Water Trail (South Bass Island loop).	Bayview Avenue (State Route 357) at Portsmouth Avenue, Put-in-Bay Township, South Bass Island, Ottawa County, Ohio	1.5	Ottawa	Put-in-Bay	Put-in-Bay Township	41.6539	-82.8174	86HVM53M+H2	Boat Dock; Picnic Area; Restrooms	Smallest state park in Ohio (1.5 ac). Baseline listed 677 ac — INCORRECT. Day-use only. On Lake Erie Islands Water Trail (South Bass Island loop; T3 entity). | fishing access; scenic harbor views; water trail access	https://dam.assets.ohio.gov/image/upload/odnr/coastal/ocmp/CH3_LakeErieIslands_04142026_web.pdf			2026-05-20	2026-05-20
Middle Bass Island State Park	Park		State Park	Active	State	Ohio Department of Natural Resources / Division of Parks and Watercraft			Middle Bass Island State Park is located in the southern portion of Middle Bass Island. Features a 184-slip marina with seasonal and transient dockage, boat ramp, electric/water hookup, shower house. 10 primitive campsites (no electric or potable water). Lonz Mansion (renovated 2024) available for seasonal overnight stays. Historic Lonz Winery grounds (Ohio Historic Site #12) are incorporated into the park. The renovated Lonz Winery building includes a patio overlooking Lake Erie and winemaking exhibits. 4 trails including the ADA Lonz Trail (1.3-mi paved multiuse) connecting marina, glacial grooves, and Lonz Winery. Glacial grooves visible within park. On the Lake Erie Islands Water Trail (Middle Bass Island loop).	1719 Fox Road, Put-in-Bay Township, Middle Bass Island, Ottawa County, Ohio	124.0	Ottawa	Put-in-Bay	Put-in-Bay Township	41.6761	-82.811	86HVM5GQ+CH	Boat Ramp; Marina	Baseline listed 124 ac — using as estimate pending verification. Lonz Winery (Ohio Historic Site #12) and Lonz Mansion are features within this park — not separate entities. Lake Erie Islands Water Trail (Middle Bass Island loop; T3 entity). | 10 primitive campsites; Lonz Mansion; historic Lonz Winery; glacial grooves; water trail access	https://dam.assets.ohio.gov/image/upload/odnr/coastal/ocmp/CH3_LakeErieIslands_04142026_web.pdf			2026-05-20	2026-05-20
North Bass Island State Park	Park		State Park	Active	State	Ohio Department of Natural Resources / Division of Parks and Watercraft			North Bass Island State Park occupies 593 acres (67% of North Bass Island / Isle St. George) in Put-in-Bay Township. State of Ohio purchased 589 acres of the island in 2004 to preserve it from development. Park offers primitive camping (3 sites, first-come first-served), Lake House (4-bedroom seasonal accommodation), fishing (3.5 miles of shore), limited hunting (designated areas), hiking, bicycling, and wildlife viewing. Four public mooring buoys on the south side (first-come). Accessible only by private boat, charter, and airplane. On the Lake Erie Islands Water Trail (North Bass Island loop).	North Bass Island (Isle St. George), Put-in-Bay Township, Ottawa County, Ohio; 18 miles north of Ohio mainland	593.0	Ottawa	Put-in-Bay	Put-in-Bay Township	41.7074	-82.8162	86HVP54M+XG	Camping; Fishing Area; Hunting Area; Lake	Northernmost state park in Ottawa County; less than 2 miles from Canadian border. Baseline listed as 'North Bass Island' (no park designation). Fox's Marsh WA and Honey Point WA are adjacent state wildlife areas also on North Bass Island. Lake Erie Islands Water Trail (North Bass Island loop) links 5 paddling locations — T3 entity per water trail sub-procedure §4.6. | 593 ac state park; 4 mooring buoys; water trail access	https://dam.assets.ohio.gov/image/upload/odnr/coastal/ocmp/CH3_LakeErieIslands_04142026_web.pdf			2026-05-20	2026-05-20
