name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Whitey Case Wildlife Production Area	Wildlife Area	State Wildlife Area	State Hunting Area	Active	State of Ohio	ODNR Division of Wildlife			Nine-acre state wildlife production area managed by ODNR Division of Wildlife for wildlife habitat and public hunting.	Van Wert County, OH	9.29	Van Wert			40.8	-84.79	86GQR625+2X	Hunting Area	GPS_VERIFY_NEEDED: toposports source only (2 decimal places); authoritative ODNR GIS coords needed.				2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Van Wert Rest Area — Eastbound (US 30 MM9)	Recreation Facility			Active	State of Ohio	Ohio Department of Transportation (ODOT)	Dolly Parton's Imagination Library of Ohio		Eastbound US 30 rest area at mile marker 9 in Van Wert County. Reopened March 2025 after renovation. Features storybook trail created in partnership with Dolly Parton's Imagination Library of Ohio.	US 30 Eastbound, Mile Marker 9, Van Wert County, OH		Van Wert			40.8655	-84.594	86GQVC84+5C	ADA Accessible; Interpretive Sign; Lodge; Picnic Area; Restrooms	Parent of VNW-T-001 (Convoy Rest Area Storybook Trail). GPS not acquired — highway rest area; no street address.	https://hometownstations.com/van-wert/2025/07/governor-dewine-dedicates-renovated-us-30-van-wert-eastbound-rest-area/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Van Wert Rest Area — Westbound (US 30 MM9)	Recreation Facility			Active	State of Ohio	Ohio Department of Transportation (ODOT)			Westbound US 30 rest area at mile marker 9 in Van Wert County. Reopened March 2025 after renovation.	US 30 Westbound, Mile Marker 9, Van Wert County, OH		Van Wert			40.8653	-84.5938	86GQVC84+4F	ADA Accessible; Lodge; Picnic Area; Restrooms	STORYBOOK_TRAIL_CONFIRM_NEEDED: storybook trail unconfirmed at WB facility. Create VNW-T-004/VNW-S-005 if confirmed. GPS not acquired.				2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Convoy Edgewood Park	Park			Active	Tully-Convoy Park District	Tully-Convoy Park District			Community park managed by the Tully-Convoy Park District. Features four baseball/softball diamonds, basketball courts, playground, community building, pavilion, and a scenic pond.	643 N Main St, Convoy, OH 45832		Van Wert	Convoy		40.923304	-84.707431	86GQW7FV+82	Ball Diamond; Basketball Court; Community Center; Pavilion; Playground; Pond	Managed by Tully-Convoy Park District (statutory district), not Village of Convoy. Confirmed Tier 3. PO Box 302, Convoy OH. Phone: 419-749-4060.				2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Smiley Park	Park			Active	City of Van Wert	City of Van Wert			City park spanning 29.4 acres along Leeson Avenue. Features multiple athletic facilities, fishing pond, and hosts the Children's Garden & Butterfly House.	1451 Leeson Ave, Van Wert, OH 45891	29.4	Van Wert	Van Wert		40.866141	-84.606653	86GQV98V+F8	Ball Diamond; Basketball Court; Fishing Area; Pavilion; Picnic Area; Playground; Pond; Tennis Court	Parent of VNW-S-006 (Children's Garden & Butterfly House). Phone: 419-238-9121.	https://vanwert.org/parks-department/smiley-park/	https://visitvanwert.com/things-to-do/outdoor-adventure/		2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Children's Garden and Butterfly House	Curated Biological Site	Butterfly House		Active	City of Van Wert	City of Van Wert			Enclosed butterfly house and children's garden located within Smiley Park. Features interpretive pollinator displays and a gazebo.	1409 Leeson Ave, Van Wert, OH 45891		Van Wert	Van Wert		40.866153	-84.60511	86GQV98V+FX	Butterfly or Pollinator Garden; Gazebo; Interpretive Garden	Child site of VNW-S-005 (Smiley Park).	https://visitvanwert.com/things-to-do/outdoor-adventure/		OH-VNW-S-005	2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Van Wert Reservoir Recreation Area	Park	Waterfront Park		Active	City of Van Wert	City of Van Wert			Waterfront recreation area encompassing the City of Van Wert's two municipal water supply reservoirs. Features a 3.1-mile paved health trail loop, fishing access, boat launch, bird watching areas, and sledding hill. Includes child sites Reservoir 1 and Reservoir 2.	S Washington St, Van Wert, OH 45891		Van Wert	Van Wert		40.859117	-84.584631	86GQVC58+J4	ADA Accessible; Bird Viewing Area; Fishing Area; Parking Lot; Sledding Hill	Parent of VNW-S-008 (Reservoir 1), VNW-S-009 (Reservoir 2), VNW-T-002 (Health Trail), VNW-AP-001 (Boat Launch). Trail and AP excluded from features per §6.1.	https://vanwert.org/parks-department/reservoir-recreation-area/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Van Wert Reservoir 1	Water Site	Reservoir		Active	City of Van Wert	City of Van Wert	ODNR Division of Wildlife		City of Van Wert municipal water supply reservoir. 61 acres of water surface with 1.2 miles of shoreline. ODNR manages fish stocking. Used for public fishing and non-motorized recreation.	S Washington St, Van Wert, OH 45891	61.0	Van Wert	Van Wert		40.847197	-84.57695	86GQRCWF+V6	Fishing Area	Child site of VNW-S-007. GPS_VERIFY_NEEDED: GPS centroid not yet confirmed. Acreage confirmed via ODNR lake survey 2014.			OH-VNW-S-007	2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Van Wert Reservoir 2	Water Site	Reservoir		Active	City of Van Wert	City of Van Wert	ODNR Division of Wildlife		City of Van Wert municipal water supply reservoir. 101 acres of water surface with 2.1 miles of shoreline. Includes ADA-accessible fishing areas and boat ramp access (permit required).	S Washington St, Van Wert, OH 45891	101.0	Van Wert	Van Wert		40.840922	-84.574103	86GQRCRG+99	ADA Accessible; Boat Ramp; Fishing Area	Child site of VNW-S-007. GPS confirmed 40.8409N, 84.5741W (Ohio Hometown Locator). Acreage confirmed via ODNR lake survey 2014.			OH-VNW-S-007	2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Franklin Park	Park			Active	City of Van Wert	City of Van Wert	Van Wert County Foundation		City park funded in part by Van Wert County Foundation. Features pavilion, picnic areas, playground, and spray park.	305 Frothingham St, Van Wert, OH 45891		Van Wert	Van Wert		40.865423	-84.57833	86GQVC8C+5M	Pavilion; Picnic Area; Playground; Spray Park	VWCF co-funded; operated by City of Van Wert. Phone: 419-238-9121.	https://vanwert.org/parks-department/franklin-park/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Jubilee Park	Park			Active	City of Van Wert	City of Van Wert			City neighborhood park. Features ball diamonds, pavilion, and playground.	137 Gleason Ave, Van Wert, OH 45891		Van Wert	Van Wert		40.878664	-84.581328	86GQVCH9+FF	Ball Diamond; Pavilion; Playground	Phone: 419-238-9121.	https://vanwert.org/parks-department/jubilee-park/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Memorial Park	Memorial	Veterans Memorial		Active	American Legion Post #178	City of Van Wert	American Legion Post #178		Veterans memorial park owned and maintained by American Legion Post #178. Features veteran monuments, garden displays, and open grassy areas.	611 W Main St, Van Wert, OH 45891		Van Wert	Van Wert		40.870964	-84.590288	86GQVCC5+9V	Garden; Monument; Parking Lot	Owned/maintained by American Legion Post #178; listed in City of Van Wert parks inventory.	https://vanwert.org/parks-department/memorial-park/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Fountain Park	Park	Civic Park		Active	City of Van Wert	City of Van Wert	Van Wert Evergreen Garden Club		Downtown civic park rentable for events. Features Band Pavilion hosting Summer Music Series (Friday evenings June–August), gazebo with seasonal flower baskets maintained by Van Wert Evergreen Garden Club, concession stand, and restrooms.	210 W Main St, Van Wert, OH 45891		Van Wert	Van Wert		40.869694	-84.584566	86GQVC98+V5	Bandstand; Gazebo; Restrooms	Rentable venue. Corner of W Main St & S Jefferson St downtown Van Wert. Restrooms seasonal (open during scheduled activities only).	https://vanwert.org/parks-department/fountain-park/			2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
Rotary Athletic Complex	Recreation Facility	Sports Complex		Active	City of Van Wert	City of Van Wert			Multi-sport athletic complex featuring baseball/softball diamonds and soccer fields.	9085 John Brown Rd, Van Wert, OH 45891		Van Wert	Van Wert		40.872564	-84.610238	86GQV9FQ+2W	Ball Diamond; Soccer Pitch	Also listed as Rotary Athletic Park in some sources.		https://visitvanwert.com/things-to-do/outdoor-adventure/		2026-04-19T14:44:01Z	2026-04-19T14:44:01Z
