name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Fort Meigs State Memorial	Historic Site	Battlefield	State Memorial	Active	State of Ohio	Ohio History Connection			Reconstructed War of 1812 fort and National Historic Landmark on the Maumee River. 65-acre site with museum, visitor center, and educational programs.	29100 West River Road, Perrysburg, OH 43551	65.0	Wood			41.572	-83.6625	86HRH8CQ+R2	Interpretive Sign	Baseline seeds 'Fort Meigs' and 'Fort Meigs State Memorial' resolved to this entity — same site. National Historic Landmark. Baseline seed confirmed. GPS from address geocode — verify precision.	https://fortmeigs.org	https://www.ohiohistory.org/visit/museum-and-site-locator/fort-meigs/		2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 1	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access. Exact location via ODNR map.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Location not disclosed publicly. Baseline seed. GPS needed — Wood County Wildlife Area 1 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 2	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Baseline seed. GPS needed — Wood County Wildlife Area 2 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 4	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access. No WCA 3 exists in Wood County.			Wood						Wildlife Observation Area; Hunting Area	No WCA 3 in Wood County. Baseline seed. GPS needed — Wood County Wildlife Area 4 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 5	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access. New controlled hunting designation for 2025.			Wood						Wildlife Observation Area; Hunting Area	New for 2025 controlled hunting per ODNR records. Baseline seed. GPS needed — Wood County Wildlife Area 5 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 6	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Baseline seed. GPS needed — Wood County Wildlife Area 6 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 7	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Baseline seed. GPS needed — Wood County Wildlife Area 7 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 8	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Baseline seed. GPS needed — Wood County Wildlife Area 8 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 9	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Baseline seed. GPS needed — Wood County Wildlife Area 9 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Wood County Wildlife Area 10	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area managed for wildlife habitat and public hunting access. Map available online.			Wood						Wildlife Observation Area; Hunting Area	ODNR DOW numbered wildlife area. Map available on ODNR site. Baseline seed. GPS needed — Wood County Wildlife Area 10 location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Bairdstown Wildlife Production Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Wildlife production area managed for wildlife habitat. Roadside viewing only — no public hunting access.			Wood						Wildlife Observation Area	NEW DISCOVERY. Roadside-viewing-only wildlife production area. Not a hunting area. Near Bairdstown community. GPS needed — Bairdstown Wildlife Production Area location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Dry Creek Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Small ODNR wildlife area near US-24 corridor. Approximately 2.34 acres.	Near US-24 and Township Road 6C, Wood County, OH	2.34	Wood						Hunting Area	Approximately 2.34 acres per ODNR records. Very small parcel. Baseline seed. GPS needed — Dry Creek Wildlife Area location unconfirmed.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
Maumee River Weir Rapids Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			ODNR wildlife area along Maumee River providing fishing and wildlife viewing access at the weir rapids.	13827 S River Road, Grand Rapids, OH 43522		Wood			41.402	-83.876	86HRC42F+QH	Watercraft Access; Wildlife Observation Area	Addressed at 13827 S River Rd, Grand Rapids. Maumee River at weir rapids. Distinct from WCPD Otsego Park nearby. Baseline seed. GPS from address geocode — verify precision.	https://wildohio.gov			2026-04-14T23:19:53Z	2026-04-14T23:19:53Z
