Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL
Dull Woods,Park District Conservation Area,Wooded natural tract managed for conservation,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8199 Cole St, Brookville, OH 45309",8,Brookville,Montgomery,"39.8478,-84.4118","86F4+Q4 Brookville, Ohio",,,,,,,,https://www.metroparks.org/places-to-go/dull-woods/
Gateway Park,Municipal Park,Picnic tables and Veterans & First Responders Memorial,Active,City of Brookville,City of Brookville,,"Upper Lewisburg Salem Rd & Arlington Rd, Brookville, OH",,Brookville,Montgomery,"39.8395,-84.424","86C2+V2 Brookville, Ohio",,,,,,Picnic Shelter,Small memorial-focused park,https://www.brookvilleohio.com/256/Parks
Golden Gate Park,Municipal Park,"Community park with playground, fields, courts, and shelters",Active,City of Brookville,City of Brookville,,"545 Upper Lewisburg Salem Rd, Brookville, OH 45309",,Brookville,Montgomery,"39.8409,-84.4206","86C3+X6 Brookville, Ohio",,,,,,Playground; Tennis Court; Picnic Shelter,Primary community park,https://www.brookvilleohio.com/256/Parks
Powell Park,Municipal Park,Gazebo surrounded by flowers,Active,City of Brookville,City of Brookville,,"Mulberry St, Brookville, OH",,Brookville,Montgomery,"39.8369,-84.4147","86C4+H4 Brookville, Ohio",,,,,,,Small ornamental park; gazebo,https://www.brookvilleohio.com/256/Parks
Ward Park,Municipal Park,Small basketball court and playground,Active,City of Brookville,City of Brookville,,"217 S Wolf Creek St, Brookville, OH 45309",,Brookville,Montgomery,"39.8358,-84.414","86C4+F7 Brookville, Ohio",,,,,,Basketball Court; Playground,Neighborhood park with basic amenities,https://www.brookvilleohio.com/256/Parks
Westbrook Park,Municipal Park,"Picnic tables, playground, and soccer fields",Active,City of Brookville,City of Brookville,,"Westbrook Rd, Brookville, OH 45309",,Brookville,Montgomery,"39.846,-84.427","86F2+M8 Brookville, Ohio",,,,,,Playground; Soccer Pitch,Community park with open play areas and soccer facilities,https://www.brookvilleohio.com/256/Parks
Art Van Atta Park,County Park,"County?managed park with pond, paths, shelters, playground, and greenspace",Active,Montgomery County,Montgomery County,,"3180 Benchwood Rd, Dayton, OH 45414",45,Butler Township,Montgomery,"39.8539,-84.1917","86JH+8F Dayton, Ohio",,,,,,Playground; Picnic Shelter,Paths; pond; greenspace,https://www.mcohio.org/Facilities/Facility/Details/Art-Van-Atta-Park-2
Taylorsville Dam Recreation Area,Army Corps of Engineers Property,Recreation area with river access and open fields; earthen flood-control dam (1921),Active,,U.S. Army Corps of Engineers; Miami Conservancy District,,"Near Taylorsville Rd, Vandalia, OH 45377",,Butler Township,Montgomery,"39.874444,-84.1619444","86QW+5C Vandalia, Ohio",,,,,,River Access,Part of Miami Conservancy District flood control system,https://www.mcdwater.org/flood-protection/taylorsville-dam
Cook Park,Municipal Park,"Small neighborhood park with slide, swing set, bars, basketball court, and shelter",Active,Village of Carlisle,Village of Carlisle,,"Janet Ave, Carlisle, OH 45005",,Carlisle,Montgomery,"39.5829,-84.3217","8G2Q+6H Carlisle, Ohio",,,,,,Playground; Basketball Court; Picnic Shelter,,https://www.carlisleoh.gov/community/parks_recreation/index.php
Lions Park (Jill Park),Municipal Park,Playground equipment and baseball field; green?space park,Active,Village of Carlisle,Village of Carlisle,,"1000 Jill Ln, Carlisle, OH 45005",,Carlisle,Montgomery,"39.5807,-84.3238","8G2P+3C Carlisle, Ohio",,,,,,Playground; Baseball Diamond,,https://www.carlisleoh.gov/community/parks_recreation/index.php
