Five Oaks Park,Municipal Park,Baseball/softball diamond; electricity; picnic tables; playground; restrooms; spray park; water availability,Active,City of Dayton,City of Dayton,,"300 5 Oaks Ave., Dayton, OH 45405",,Dayton,Montgomery,"39.779,-84.216","85FW+X2 Dayton, Ohio",,,,,,Baseball Diamond; Playground; Restroom; Spray Park,Picnic tables; electricity; water availability,https://www.daytonohio.gov/facilities/facility/details/Five-Oaks-Park-Shelter-22,
Frederick Pike / Shoup Mill Conservation Tract,Park District Conservation Area,Riparian forest and floodplain habitat near Frederick Pike and Shoup Mill Rd; important for water quality and wildlife movement,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Gettysburg Avenue Green,Municipal Green Space,No listed amenities; potential redevelopment green space,Active,City of Dayton,City of Dayton,,"N. Gettysburg Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://www.wdtn.com/news/dayton-repurposes-old-gas-station-sites-for-new-developments/,
Great Miami River Access (MetroParks),Fishing Access,River access point managed by Five Rivers MetroParks along the Great Miami River corridor. Provides shoreline access within a regional greenway system.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,,,Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,River Access,,https://www.metroparks.org/,
Great Miami River Corridor (Dayton Segment),Greenway,Linear riverfront greenway forming part of the Great Miami River Trail system. Provides continuous corridor access along the Great Miami River through Dayton.,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,,,Trail System,Great Miami River Trail,Linear,Access Point,,Multi Use Trail,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Great Miami River Floodplain Tract,Park District Conservation Area,Floodplain forest and riparian habitat managed for ecological protection along the Great Miami River. Part of MetroParks' conservation holdings.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,Prairie Restoration Area; Wildlife Viewing Area,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Greater Dayton Recreation Center,Recreation Facility,"Indoor recreation facility with gymnasium, fitness amenities, and community programming. Serves as a major municipal recreation hub.",Active,City of Dayton,City of Dayton,,"2021 W. Third St., Dayton, OH 45417",,Dayton,Montgomery,"39.7561,-84.2255",,,,,,,Community Center; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Greater-Dayton-Recreation-Center-23,
Hickorydale Park,Municipal Park,Neighborhood park with wooded areas and open green space. Provides local passive recreation opportunities.,Active,City of Dayton,City of Dayton,,"3000 Shiloh Springs Rd., Dayton, OH 45406",,Dayton,Montgomery,"39.8093,-84.2865","86C2+5X Dayton, Ohio",,,,,,Walking Paths,,https://www.mypacer.com/parks/165639/hickorydale-park-dayton,
Highland Park,Municipal Park,Community park offering open green space and basic recreational amenities. Serves surrounding residential neighborhoods.,Active,City of Dayton,City of Dayton,,"2000 Revere Ave., Dayton, OH 45406",,Dayton,Montgomery,"39.781,-84.2185","86F7+Q7 Dayton, Ohio",,,,,,Playground; Basketball Court,,https://www.mypacer.com/parks/165640/highland-park-dayton,
Highview Hills Park,Municipal Park,"Neighborhood park with playground, courts, and picnic amenities. Provides local outdoor recreation opportunities.",Active,City of Dayton,City of Dayton,,"3610 Palmerston Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7249,-84.2495","86C4+6V Dayton, Ohio",,,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Highview-Hills-Park-Shelter-24,
Huffman MetroPark,Park District Park,"Large MetroPark along the Mad River corridor featuring meadows, lake, dam, and multi?use trails. A major regional recreation and conservation site.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"4090 Lower Valley Pike, Dayton, OH 45424",316,Dayton,Montgomery,"39.8408,-84.0715","86QV+JH Dayton, Ohio",,,,,,Lake Access; Multi Use Trail; Nature Trail; River Access,,https://www.metroparks.org/places-to-go/huffman/,
Huffman MetroPark - Dam Access Area,Fishing Access,Access area adjacent to Huffman Dam providing shoreline access and open space. Managed cooperatively by MetroParks and the Miami Conservancy District.,Active,Miami Conservancy District,Five Rivers MetroParks; Miami Conservancy District,,"4090 Lower Valley Pike, Dayton, OH 45424",,Dayton,Montgomery,"39.8408,-84.0715","86QV+JH Dayton, Ohio",Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,River Access,,https://www.metroparks.org/places-to-go/huffman/,
Huffman Prairie Flying Field,National Historic Landmark,Historic prairie where the Wright brothers developed the first practical airplane. A nationally significant aviation landscape.,Active,U.S. Air Force,National Park Service; U.S. Air Force,,"Wright?Patterson AFB, Dayton, OH 45433",84,Dayton,Greene,"39.826,-84.049","86RW+6X Dayton, Ohio",,,,,,Historic Marker; Prairie Restoration Area,Listed as a National Historic Landmark.,https://www.nps.gov/thingstodo/exploring-huffman-prairie.htm,https://www.nps.gov/thingstodo/exploring-huffman-prairie.htm
Huffman Prairie Interpretive Area,Federal Park,"Interpretive site overlooking Huffman Prairie with exhibits, signage, and trails. Supports public understanding of early aviation history.",Active,National Park Service,National Park Service,,"2380 Memorial Rd., Dayton, OH 45424",,Dayton,Greene,"39.8423,-84.071","86QV+M9 Dayton, Ohio",,,,,,Interpretive Center; Nature Trail,,https://www.nps.gov/places/hpic.htm,
Huffman Prairie State Natural Landmark,National Natural Landmark,"Tallgrass prairie remnant within Wright?Patterson AFB, co?managed for ecological conservation and historical significance.",Active,Wright?Patterson Air Force Base,National Park Service; Five Rivers MetroParks,,"Wright?Patterson AFB, Dayton, OH 45433",,Dayton,Greene,"39.826,-84.049","86RW+6X Dayton, Ohio",,,,,,Prairie Restoration Area,Designated a National Natural Landmark.,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Island MetroPark,Park District Park,"River island park featuring trails, open spaces, and event areas. A central recreation site within the Dayton river corridor.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"101 E. Helena St., Dayton, OH 45404",43,Dayton,Montgomery,"39.7816,-84.1874","86GJ+R4 Dayton, Ohio",Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,Multi Use Trail; Pavilion,Boathouse,https://www.metroparks.org/,
Island MetroPark Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Island MetroPark managed for ecological protection and landscape continuity.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Helena St., Dayton, OH",,Dayton,Montgomery,"39.7816,-84.1874","86GJ+R4 Dayton, Ohio",,,,,,Wildlife Viewing Area,,,
Jane Newcom Park,Municipal Park,"Community park with sports facilities, playground, and picnic amenities. Serves surrounding residential neighborhoods.",Active,City of Dayton,City of Dayton,,"1198 Tudor Rd., Dayton, OH 45419",4.5,Dayton,Montgomery,"39.7165,-84.159","86HG+2W Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Restroom; Tennis Court,,https://www.daytonohio.gov/facilities/facility/details/janenewcomparkshelter-24,
Jim Nichols Tennis Complex,Municipal Park,Outdoor municipal tennis complex with clay and hard courts; used for league play and youth programming.,Active,City of Dayton,City of Dayton,,"2424 Ridge Ave., Dayton, OH 45414",,Dayton,Montgomery,"39.788,-84.188","86GJ+X3 Dayton, Ohio",,,,,Tennis Court; Restroom,,https://www.destinationdayton.org/listing/jim-nichols-tennis-center/2457/,,
Keowee Street Stormwater Green,Controversial,Stormwater green infrastructure site with drainage features and vegetated basins.,Active,City of Dayton,,,"Keowee St., Dayton, OH",,Dayton,Montgomery,,,,,,,,Rain Garden,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Kettering Field,Municipal Park,"Athletic complex with multiple fields, courts, and improved lighting; staffed municipal recreation facility.",Active,City of Dayton,City of Dayton,,"444 N. Bend Blvd., Dayton, OH 45404",,Dayton,Montgomery,"39.779,-84.178","86F7+Q7 Dayton, Ohio",,,,,Baseball Diamond; Soccer Pitch; Pickleball Court; Tennis Court; Restroom,,https://www.daytonohio.gov/CivicAlerts.aspx?AID=760,,
Linden Community Green,Municipal Park,Small municipal green space serving the Linden neighborhood.,Active,City of Dayton,City of Dayton,,"Linden neighborhood, Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Linden Heights Bikeway Access,Municipal Park,Neighborhood connector providing access to local bikeway infrastructure.,Active,City of Dayton,City of Dayton,,"Linden Heights, Dayton, OH",,Dayton,Montgomery,,,,Bikeway Access Point,,Access Segment,Access Point,,,,https://www.miamivalleytrails.org
Liscum Drive Green,Municipal Park,Small municipal green space along Liscum Drive.,Active,City of Dayton,City of Dayton,,"Liscum Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Lohrey Park,Municipal Park,"Municipal park with playground, open green space, and walking paths.",Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.725,-84.124","86C4+6V Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.mypacer.com/parks/165641/lohrey-park-dayton,,
Lohrey Recreation Center,Municipal Park,"Indoor recreation facility with gymnasium, pool, fitness center, and multipurpose rooms.",Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.725,-84.124","86C4+6V Dayton, Ohio",,,,,Swimming Pool; Community Center; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Lohrey-Recreation-Center-25,,
Loma Linda Park,Municipal Park,"Neighborhood park with playground, open green space, and walking paths.",Active,City of Dayton,City of Dayton,,"3500 Valerie Arms Dr., Dayton, OH 45405",,Dayton,Montgomery,"39.802,-84.238","86C2+5X Dayton, Ohio",,,,,Playground; Restroom,,https://www.mypacer.com/parks/165642/loma-linda-park-dayton,,
MacIntosh Park,Municipal Park,"Municipal park with sports courts, picnic areas, restrooms, and playground facilities.",Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.764,-84.204","86F6+4C Dayton, Ohio",,,,,Basketball Court; Picnic Shelter; Restroom; Playground,,https://www.daytonohio.gov/Facilities/Facility/Details/MacIntosh-Park-17,,
Mad River Bikeway Access (MetroParks),Trail Access Point,Access point to the Mad River Trail within Eastwood MetroPark.,Active,Five Rivers MetroParks,,,"Near Eastwood MetroPark, Dayton, OH",,Dayton,Montgomery,"39.7790,-84.1220",,Bikeway Access Point,Mad River Bikeway,Access Segment,Access Point,,,Access point contained within Eastwood MetroPark,https://www.miamivalleytrails.org/trails/mad-river-trail,
Mad River Conservancy Corridor,Water Authority Land,Federal flood?control corridor along the Mad River maintained by the Miami Conservancy District.,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,Flood Control Area,,https://mcdwater.org,,
Mad River North Connector,Controversial,Trail corridor linking Eastwood and Huffman areas; alignment under review.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Harshman Rd., Dayton, OH",,Dayton,Montgomery,"39.7790,-84.1220",,,Connector Trail,Mad River Bikeway,Connector,Connector,,,,https://www.miamivalleytrails.org
Mallory Park,Municipal Park,"Municipal park with playground, picnic facilities, restrooms, and basketball court.",Active,City of Dayton,City of Dayton,,"Germantown St. at Burwood Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.741,-84.245","86C3+QW Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Mallory-Park-Shelter-18,,
McCabe Park,Municipal Park,"Municipal park with playground, restrooms, picnic tables, and basketball court.",Active,City of Dayton,City of Dayton,,"3200 Home Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.741,-84.245","86C3+QW Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/McCabe-Park-Shelter-19,,
McIntosh Park,Municipal Park,"Municipal park with spray park, playground, courts, picnic shelter, and open green space used for community events.",Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.764,-84.204","86F6+4C Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonlocal.com/directory/parks/mcintosh-park/,,
Miami Conservancy District Flood?Control Lands - Mad River,Water Authority Land,Flood?control corridor along the Mad River maintained by the Miami Conservancy District.,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,Flood Control Area,Descriptive name; MCD does not assign formal site names to flood?control lands.,https://mcdwater.org,,
Mud Lick or Jasper Road Covered Bridge,Covered Bridge,Historic covered Warren truss bridge (Bridge ID 35?57?36); privately owned.,Active,Private,Private,,,,Dayton,Montgomery,,,,,,,,Historic Marker,Private property.,,
National Aviation Hall of Fame,Museum,National aviation honors museum located inside the National Museum of the U.S. Air Force.,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",,Dayton,Montgomery,"39.781,-84.11","86F9+Q6 Dayton, Ohio",,,,,Museum,,https://www.nationalaviation.org,,
National Museum of the United States Air Force,Museum,World's largest military aviation museum with extensive exhibits and historic aircraft.,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",1000+,Dayton,Montgomery,"39.781,-84.11","86F9+Q6 Dayton, Ohio",,,,,Museum,Major national museum,https://www.nationalmuseum.af.mil,,
Needmore Conservation Area,Park District Conservation Area,Conservation land along the Stillwater River managed for habitat protection.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,,
Nordale Park,Municipal Park,"Neighborhood park with playground, pavilion, picnic tables, courts, open field, and shaded areas.",Active,City of Dayton,City of Dayton,,"Nordale Ave. at Enterprise Ave., Dayton, OH 45420",7.8,Dayton,Montgomery,"39.741,-84.14","86C5+QW Dayton, Ohio",,,,,Playground; Picnic Shelter; Basketball Court,,https://parkmagnet.com/united-states/ohio/dayton/nordale-park,,
