Northwest Recreation Center,Municipal Park,"Indoor recreation center with pool, gymnasiums, fitness room, multipurpose rooms, and outdoor courts.",Active,City of Dayton,City of Dayton,,"1600 Princeton Dr., Dayton, OH 45406",,Dayton,Montgomery,"39.787,-84.238","86C2+XW Dayton, Ohio",,,,,Swimming Pool; Community Center; Basketball Court,,https://www.daytonohio.gov/422/Recreation,,
Oak and Ivy Park,Municipal Park,"Open lawns, walking paths, pond, and event space within the Wright?Dunbar neighborhood.",Active,City of Dayton,City of Dayton,,"803 Anderson Goodrich Ct., Dayton, OH 45402",,Dayton,Montgomery,"39.757,-84.216","86F5+M7 Dayton, Ohio",,,,,Picnic Shelter; Gardens,,https://www.mapquest.com/us/ohio/oak-ivy-park-753302759,,
ODNR Mad River Fishing Access (Eastwood),Fishing Access,ODNR?recognized fishing access near Eastwood Lake and the Mad River.,Active,Ohio Department of Natural Resources,Ohio Department of Natural Resources,,"Near Harshman Rd., Dayton, OH 45424",185,Dayton,Montgomery,"39.781,-84.108","86F9+Q6 Dayton, Ohio",,,,,Fishing Pond,Located at Eastwood Lake (185 acres) within Eastwood MetroPark,https://ohiodnr.gov,,
Paul Laurence Dunbar House,State Memorial,National Historic Landmark home of poet Paul Laurence Dunbar; historic house museum.,Active,Ohio History Connection,,,"219 E. 3rd St., Dayton, OH",,Dayton,Montgomery,"39.757,-84.234","85FQ+M7 Dayton, Ohio",,,,,Historic Site,Part of Dayton Aviation Heritage NHP,https://www.nps.gov/places/dunbar-house.htm,,
Pigeye Conservation Area,Park District Conservation Area,"Mature upland and bottomland forest with wetland, wildflowers, and Pigeye Creek.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Meeker Rd. & Westfall Dr., Dayton, OH",111.5,Dayton,Montgomery,"39.825,-84.264","86C2+XH Dayton, Ohio",,,,,Wildlife Viewing Area,Very limited public access; no trails or parking.,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/#pigeye-conservation-area,,
Possum Creek MetroPark,Park District Park,"Farm, prairies, ponds, trails, and nature play areas within a large MetroPark.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,580,Dayton,Montgomery,"39.716935,-84.269138",,,,,,,Farm; Prairie Restoration Area,Farm + prairie,https://www.metroparks.org/places-to-go/possum-creek/,
Princeton Park,Municipal Park,Neighborhood park with open green space.,Active,City of Dayton,City of Dayton,,"Princeton Dr., Dayton, OH 45406",,Dayton,Montgomery,"39.77145,-84.22855",,,,,,,,,,https://liveindayton.org/princeton-heights/
Residence Park,Municipal Park,"Neighborhood park with playground, courts, picnic tables, and restrooms.",Active,City of Dayton,City of Dayton,,"W. Second St. at Elmhurst Rd., Dayton, OH 45417",,Dayton,Montgomery,"39.754,-84.258","86C3+JX Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Residence-Park-Shelter-20,,
River Ridge Conservation Area,Park District Conservation Area,Steep wooded slopes and riparian forest along the Great Miami River.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/
RiverScape Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to RiverScape MetroPark.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Monument Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
