Wenger Village Park,Municipal Park,Neighborhood park.,Active,City of Englewood,City of Englewood,,"Wenger Rd., Englewood, OH",,Englewood,Montgomery,,,,,,,,Playground,,,
YMCA Bikeway,Land Trail,Paved bikeway segment connecting park and YMCA areas.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,Trail System,,Linear,,,Multi-Use Trail,Route and function derived from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds
Lake of the Woods Campground,Private Campground,"Private 250-acre campground with fishing lake, RV sites, tent sites, and recreation amenities.",Private,Private,,,"10891 Jordan Rd., Farmersville, OH 45325",,Farmersville,Montgomery,"39.6795,-84.4397","86C2+Q4 Farmersville, Ohio",,,,,Campground; Fishing Pond,,https://lakeofthewoodscampground.com,,
Friendship Park,Township Park,Small community green at rural crossroads,Active,German Township,,,"Dayton Germantown Pike at Friend Rd., Germantown, OH 45327",,German Township,Montgomery,"39.6885,-84.402",,,,,,,,,,
Holp Road Cemetery,Cemetery,Historic cemetery with mature trees and open space,Active,German Township,German Township,,"8200 Holp Rd., Farmersville, OH 45325",,German Township,Montgomery,"39.679,-84.429",,,,,,,,,,
Camp Charles R. Hook,BSA Camp,Historic BSA camp (closed 1991); now contained within Twin Creek MetroPark; contains oak from Gilwell Park,Closed,Boy Scouts of America (historic),,,"8502 Chamberlain Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.643,-84.369",,,,,,,Contained within Twin Creek MetroPark.,,,
Germantown / Twin Creek Wilderness Tract,Park District Conservation Area,"Large wilderness area with deep ravines, mature forest, and high?quality streams",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,,
Germantown Connector Greenway,Greenway Corridor,Greenway corridor linking Germantown MetroPark and Twin Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
Germantown Covered Bridge,Covered Bridge,Historic 1870 covered bridge over Little Twin Creek (Bridge ID 35?57?01),Active,City of Germantown,City of Germantown,,"West Center St., Germantown, OH 45327",,Germantown,Montgomery,"39.626,-84.369",,,,,,,Historic covered bridge.,,,
Germantown Dam Recreation Area,Army Corps of Engineers Property,USACE/MCD recreation area with river access and natural habitat,Active,U.S. Army Corps of Engineers,U.S. Army Corps of Engineers,,"Conservancy Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.6505,-84.378",,,,,,,Part of Miami Conservancy District flood?control system.,,,
Germantown MetroPark,Park District Park,"Large MetroPark with old-growth forest, ravines, prairies, meadows, and Twin Creek corridor",Active,Five Rivers MetroParks,Five Rivers MetroParks,,7101 Conservancy Rd.; 6206 Boomershine Rd,1655,Germantown,Montgomery,"39.6211,-84.3722",,,,,,Trailhead,Main entrance; multiple trailheads,https://www.metroparks.org/places-to-go/germantown/,,
Kercher Community Park,Municipal Park,"Large community park with baseball, softball, soccer, pee-wee football, shelters, and open space",Active,City of Germantown,City of Germantown,,1700 S Main St.,,Germantown,Montgomery,,,,,,,,,https://germantown.oh.us/parks-recreation/,,
Twin Creek MetroPark,Park District Park,"Large MetroPark with forests, prairies, ravines, Twin Creek corridor; includes former BSA Camp Hook",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8502 Chamberlain Rd., Germantown, OH 45327",1000,Germantown,Montgomery,"39.6120,-84.3700",,,,,,,Includes former Camp Charles R. Hook,https://www.metroparks.org/places-to-go/twin-creek/,,
Upper Twin Conservation Area,Park District Conservation Area,Conservation land in the Twin Creek watershed,Active,,Five Rivers MetroParks,,,390,Germantown,Montgomery,,,,,,,,,,,
Veterans Memorial Park,Municipal Park,"Community park with historic structures, gazebo, playground, courts, and pool",Active,City of Germantown,City of Germantown,,75 N Walnut St.,,Germantown,Montgomery,,,,,,,,,https://germantown.oh.us/parks-recreation/,,
Twin Creek Conservation Tract,Park District Conservation Area,"Forest, prairie, and riparian habitat in the Twin Creek watershed; supports high biodiversity.",Active,,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,,
Twin Valley Trail Corridor (MetroParks),Greenway Corridor,Long?distance trail corridor connecting MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
Twin Valley Trail Spur,Connector Trail / Spur,Spur trail corridor connecting to Twin Valley Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
