Gebhart Church Cemetery,Cemetery,"Historic cemetery with mature trees, wildlife presence, and passive walking access",Active,Miami Township,Miami Township,,"2717 Gebhart Church Rd, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6248,-84.2722",,,,,,,,"Qualifies due to canopy, wildlife, and public access.",
Heritage Village: Gebhart Tavern & Jacob Kercher Cabin,Historic Site,Historic structures preserved as part of Heritage Village,Active,City of Miamisburg,City of Miamisburg,,104 Old Main St.,,Miamisburg,Montgomery,,,,,,,,,Historic structures,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Hillgrove Cemetery,Cemetery,"Historic cemetery with mature canopy, wildlife presence, and passive walking access",Active,Miami Township,Miami Township,,"1002 E Central Ave, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6421,-84.2608",,,,,,,,"Qualifies due to canopy, wildlife, and public access.",
History Center,Museum,Local history museum and cultural site,Active,City of Miamisburg,City of Miamisburg,,35 S. Fifth St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Keelboat Park,Municipal Park,Riverfront park with historical theme and open space,Active,City of Miamisburg,City of Miamisburg,,151 Pearl St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Market Square Building,Recreation Facility,Civic building used for events and programs,Active,City of Miamisburg,City of Miamisburg,,4 N. Main St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Mary Francis Playlot,Municipal Park,Small neighborhood playlot,Active,City of Miamisburg,City of Miamisburg,,1509 Mary Francis Ct.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Meadowlane Park,Municipal Park,Neighborhood park with open space,Active,City of Miamisburg,City of Miamisburg,,2025 Old Central Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Medlar Conservation Area,Park District Park,"Conservation area with forest, meadow, and river corridor habitat",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"3001 Medlar Rd., Miamisburg, OH 45342",450,Miamisburg,Montgomery,,,,,,,,,Part of Great Miami River corridor,https://www.metroparks.org/
Medlar Road River Access,Fishing Access,River access point near Medlar Conservation Area,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Medlar Rd., Miamisburg, OH",,Miamisburg,Montgomery,,,,,,,,,River access,
Meyer Park,Municipal Park,Neighborhood park with open green space,Active,City of Miamisburg,City of Miamisburg,,385 Overland Trail,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
