Houk Stream / Houk Meadows,Municipal Park,"Natural corridor with streamside greenway, meadows, and informal walking routes",Active,City of Oakwood,City of Oakwood,,Along Houk Stream between Shafor Blvd. & Far Hills Ave.,,Oakwood,Montgomery,,,,,,,,,Linear greenway integrated into neighborhood fabric.,
Irving Field,Municipal Park,Baseball field; open green space; informal recreation area,Active,City of Oakwood,City of Oakwood,,210 Irving Ave.,,Oakwood,Montgomery,,,,,,,,,Primarily an athletic field with surrounding green space.,
Irving Field Annex,Municipal Park,Small open field adjacent to Irving Field used for informal recreation,Active,City of Oakwood,City of Oakwood,,Near 210 Irving Ave.,,Oakwood,Montgomery,,,,,,,,,Secondary green space associated with Irving Field.,
Old River Sports Complex,Municipal Park,"Athletic complex with baseball fields, open turf, and recreation facilities",Active,City of Oakwood,City of Oakwood,,225 Old River Trail,,Oakwood,Montgomery,,,,,,,,,Primary sports complex serving youth athletics.,
Orchardly Park,Municipal Park,Playground; splash pad; courts; picnic shelter,Active,City of Oakwood,City of Oakwood,,343 Wonderly Ave.,,Oakwood,Montgomery,,,,,,,,,Neighborhood park with water play and courts.,
Shafor Park,Municipal Park,"Community park with playground, courts, picnic shelter, and open green space",Active,City of Oakwood,City of Oakwood,,181 Patterson Rd.,,Oakwood,Montgomery,,,,,,,,,Primary community park with multiple recreation amenities.,
Smith Gardens,Municipal Park,Formal public garden with landscaped beds and pathways,Active,City of Oakwood,City of Oakwood,,799 Oakwood Ave.,,Oakwood,Montgomery,,,,,,,,,Signature formal garden maintained by the city.,
Englewood Dam Recreation Area,Army Corps of Engineers Property,"Recreation area with trails, river access, and open space",Active,,U.S. Army Corps of Engineers,,"Near U.S. 40, Englewood, OH 45322",,Randolph Township,Montgomery,,,,,,,,,Part of Miami Conservancy District flood control system,
Airway East Green,Controversial,Linear greenspace on the eastern Airway corridor,Proposed,City of Riverside,City of Riverside,,"Airway Rd (East), Riverside, OH",,Riverside,Montgomery,,,,,,,,,Unconfirmed name; real greenspace,https://www.riversideoh.gov
Airway Road Green,Controversial,Linear greenspace along the Airway corridor,Active,City of Riverside,City of Riverside,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
