name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	habitat_type	features	access_notes	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	notes	url_primary	urls	last_verified_date	field_verified	parent_site_id	parent_site_name	created_at	updated_at	ebird_hotspot_id
Lawrence Woods State Nature Preserve	Nature Preserve	State Nature Preserve	State Nature Preserve	Active	State of Ohio	ODNR Division of Natural Areas and Preserves			Largest known mature forest in northwest Ohio; home to numerous rare plant and animal species. Multiple forest community types depending on elevation: oak-hickory on highest/driest sites grading to beech-maple, beech-oak-red maple, and maple-ash-oak swamp communities. Large trees of many species including white, yellow, red, and bur oaks, beech, white ash, shagbark hickory, red maple, sugar maple, and sycamore. Substantial buttonbush swamps inundated for most of the year. Heart-leaf plantain (Plantago cordata), an Ohio endangered species known from only three state sites, occurs here. Excellent for birding and spring wildflowers.	Old-growth/mature upland forest (oak-hickory, beech-maple); buttonbush swamp wetlands; spring wildflower groundlayer	Boardwalk;Hiking Trail	Open 1/2 hour before sunrise to 1/2 hour after sunset. Stay on designated trails. Pets not permitted. No restrooms.	13278 County Road 190, Kenton, OH 43326; approximately 4 miles south of Kenton	1034.93	Hardin			40.683300	-83.609200			https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/lawrence-woods-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/lawrence-woods-state-nature-preserve;https://naturepreserves.ohiodnr.gov/lawrencewoods	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	L324903
Hardin County Veterans Memorial Park	Park	Waterfront Park		Active	Hardin County Veterans Memorial Park District	Board of Park Commissioners, Hardin County Veterans Memorial Park District			26-acre county park district property centered on Boy Scout Lake (4.1 acres). Created July 30, 1946 by order of the Hardin County Probate Court; governed by Board of Park Commissioners appointed by the Probate Judge. District covers Buck, Cessna, Goshen, Lynn, Pleasant, and Washington Townships plus the City of Kenton. Features a 4.1-acre fishing lake (no license required), paved walking path, dog run, children's playground, and three shelter houses. Entirely handicap accessible. First paved walking path segment completed 2009.		ADA Accessible;Basketball Court;Dog Park;Hiking Trail;Parking Lot;Pavilion;Playground		15906 OH-309, Kenton, OH 43326	26	Hardin			40.647000	-83.609500			https://hardinvetspark.org/	https://hardinvetspark.org/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Boy Scout Lake	Water Site	Pond		Active	Hardin County Veterans Memorial Park District	Board of Park Commissioners, Hardin County Veterans Memorial Park District			4.1-acre lake within Hardin County Veterans Memorial Park. Named \"Boy Scout Lake\" from original plans for a boys' camp. Primary fishing feature of the park â no fishing license required. Shelter house located at the north end. Walking path circles the lake.	Pond/lake; park setting	Hiking Trail;Pavilion		Within Hardin County Veterans Memorial Park, 15906 OH-309, Kenton, OH 43326	4.10	Hardin			40.647000	-83.609500			https://hardinvetspark.org/	https://hardinvetspark.org/	2026-06-01	false	OH-HAR-S-004	Hardin County Veterans Memorial Park	2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Silver Creek Center for Environmental Studies	Natural Area			Active	Hardin Soil and Water Conservation District	Hardin Soil and Water Conservation District			25-acre educational and natural area managed by the Hardin SWCD on the north side of State Route 67 approximately 2-3 miles west of Kenton. Features a wooded area with paved handicap-accessible trail leading to a small wetland with bridge access. Mowed walking paths continue beyond the wetland to a shelter house and throughout the property. Self-guided nature trail with markers identifying trees and plants. Scenic woodlands, meadow, and streamlet. Used for environmental education (4-H groups, school programs). Named for Silver Creek which flows through or near the property.	Wooded upland; small wetland; meadow; streamlet	Bridge;Hiking Trail;Pavilion;Restrooms;Wetland	Open to groups and families. Group visits require reservations; contact SWCD at (419) 673-0456. No restrooms. Educational programming available for groups.	12525 State Route 67W, Kenton, OH 43326; on north side of SR-67, 2-3 miles west of Kenton	25	Hardin			40.625433	-83.649567			https://hardincountyohio.gov/swcd-silver-creek-environmental-center/	https://hardincountyohio.gov/swcd-silver-creek-environmental-center/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
McKendree Cemetery	Cemetery	Public Cemetery		Active	Goshen Township trustees, Hardin County	Goshen Township trustees, Hardin County							SE side of CR 265, 1/2 mile north of TR 235 and TR 120, Goshen Township, Hardin County		Hardin			40.663621	-83.452288			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Shanks Cemetery	Cemetery	Public Cemetery		Active	Goshen Township trustees, Hardin County	Goshen Township trustees, Hardin County							CR 215, 300 yards east of Rev Horn Run, Goshen Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Cessna Cemetery	Cemetery	Public Cemetery		Active	Cessna Township trustees, Hardin County	Cessna Township trustees, Hardin County							1/4 mile SE from SR 701 and TR 105, Cessna Township, Hardin County		Hardin			40.718050	-83.658424			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ft. McArthur Cemetery	Cemetery	Public Cemetery		Active	Cessna Township trustees, Hardin County	Cessna Township trustees, Hardin County							South of CR 106 and east of TR 125, Cessna Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Grant Cemetery	Cemetery	Public Cemetery		Active	Pleasant Township trustees, Hardin County	Pleasant Township trustees, Hardin County							North side TR 74, west of SR 53, north of Kenton, Pleasant Township, Hardin County		Hardin			40.724155	-83.560842			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Woodlawn Cemetery	Cemetery	Public Cemetery		Active	Liberty Township trustees, Hardin County	Liberty Township trustees, Hardin County							Corner of CR 60 and west side of SR 235, Liberty Township, Hardin County		Hardin			40.746100	-83.822800			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
