Network ID	Network Name	Network Type	Status	Ownership	Governance	Partner Agencies	Counties	States Included	Member Count	Member Site IDs	Description	Identity Notes	Notes	URL
OH-MC-SN-0001	Metro Parks Serving Franklin County	Multi-Site Recreation Network			Metro Parks Serving Franklin County		Delaware;Fairfield;Franklin;Pickaway		6	OH-MC-S-0007; OH-FR-S-0015; OH-FR-S-0017; OH-FR-S-0021; OH-FR-S-0025; OH-FR-S-0040	The Columbus and Franklin County Metropolitan Park District (officially renamed Metro Parks Serving Franklin County in 2020) manages 20 parks across 7 central Ohio counties. This site network record captures the system-level identity. Member sites: all Tier 3 parks recorded above. The site network spans Delaware, Fairfield, Franklin, Hocking, Licking, Madison, and Pickaway counties — however only Franklin County parks (and multi-county parks with Franklin as primary) are fully documented in this run. Non-Franklin County parks (Slate Run/Pickaway, Chestnut Ridge/Fairfield, Clear Creek/Hocking) are excluded from this county run but will appear in their respective county runs. Member IDs: to be populated at Resolution.			https://www.metroparks.net/
OH-FR-SN-0002	Canal Winchester Parks	Multi-Site Recreation Network	Active	City of Canal Winchester	Canal Winchester Parks & Recreation Department		Franklin		13	OH-FR-S-0977; OH-FR-S-0978; OH-FR-S-0981; OH-FR-S-0982; OH-FR-S-0983; OH-FR-S-0984; OH-FR-S-0985; OH-FR-S-0986; OH-FR-S-0987; OH-FR-S-0988; OH-FR-S-0989; OH-FR-S-0990; OH-FR-S-1044	The Canal Winchester park system is a municipally operated network of parks, recreational facilities, and open spaces managed by the Canal Winchester Parks & Recreation Department. The system includes active recreation facilities, passive greenspaces, and the Canal Lands Bike Path.	City of Canal Winchester 2018 Parks Master Plan identifies this as the Canal Winchester Park System. URL is canonical org website for Canal Winchester Parks & Recreation.		https://www.canalwinchesterohio.gov/285/Parks-Recreation
OH-FR-SN-0003	Columbus Recreation and Parks	Multi-Site Recreation Network	Active	City of Columbus	Columbus Recreation and Parks Department		Franklin		549	OH-FR-S-0010; OH-FR-S-0011; OH-MC-S-0012; OH-FR-S-0014; OH-MC-S-0016; OH-FR-S-0018; OH-FR-S-0024; OH-FR-S-0026; OH-FR-S-0030; OH-FR-S-0034; OH-FR-S-0045; OH-FR-S-0046; OH-FR-S-0048; OH-FR-S-0049; OH-FR-S-0050; OH-FR-S-0052; OH-FR-S-0053; OH-FR-S-0054; OH-FR-S-0055; OH-FR-S-0056; OH-FR-S-0057; OH-FR-S-0058; OH-FR-S-0060; OH-FR-S-0061; OH-FR-S-0062; OH-FR-S-0063; OH-FR-S-0064; OH-FR-S-0065; OH-FR-S-0066; OH-FR-S-0067; OH-FR-S-0068; OH-FR-S-0069; OH-FR-S-0070; OH-FR-S-0071; OH-FR-S-0072; OH-FR-S-0073; OH-FR-S-0074; OH-FR-S-0075; OH-FR-S-0076; OH-FR-S-0077; OH-FR-S-0078; OH-FR-S-0079; OH-FR-S-0080; OH-FR-S-0081; OH-FR-S-0082; OH-FR-S-0083; OH-FR-S-0084; OH-FR-S-0085; OH-FR-S-0086; OH-FR-S-0087; OH-FR-S-0089; OH-FR-S-0090; OH-FR-S-0091; OH-FR-S-0092; OH-FR-S-0093; OH-FR-S-0094; OH-FR-S-0095; OH-FR-S-0096; OH-FR-S-0097; OH-FR-S-0098; OH-FR-S-0100; OH-FR-S-0101; OH-FR-S-0102; OH-FR-S-0103; OH-FR-S-0104; OH-FR-S-0105; OH-FR-S-0106; OH-FR-S-0107; OH-FR-S-0108; OH-FR-S-0109; OH-FR-S-0110; OH-FR-S-0111; OH-FR-S-0113; OH-FR-S-0114; OH-FR-S-0115; OH-FR-S-0116; OH-FR-S-0117; OH-FR-S-0118; OH-FR-S-0119; OH-FR-S-0120; OH-FR-S-0121; OH-FR-S-0122; OH-FR-S-0123; OH-FR-S-0124; OH-FR-S-0125; OH-FR-S-0126; OH-FR-S-0127; OH-FR-S-0128; OH-FR-S-0129; OH-FR-S-0131; OH-FR-S-0132; OH-FR-S-0133; OH-FR-S-0134; OH-FR-S-0135; OH-FR-S-0136; OH-FR-S-0137; OH-FR-S-0138; OH-FR-S-0139; OH-FR-S-0140; OH-FR-S-0141; OH-FR-S-0142; OH-FR-S-0143; OH-FR-S-0144; OH-FR-S-0145; OH-FR-S-0146; OH-FR-S-0147; OH-FR-S-0148; OH-FR-S-0149; OH-FR-S-0150; OH-FR-S-0151; OH-FR-S-0152; OH-FR-S-0153; OH-FR-S-0154; OH-FR-S-0155; OH-FR-S-0156; OH-FR-S-0157; OH-FR-S-0158; OH-FR-S-0159; OH-FR-S-0160; OH-FR-S-0161; OH-FR-S-0162; OH-FR-S-0163; OH-FR-S-0164; OH-FR-S-0165; OH-FR-S-0166; OH-FR-S-0167; OH-FR-S-0170; OH-FR-S-0171; OH-FR-S-0172; OH-FR-S-0174; OH-FR-S-0175; OH-FR-S-0176; OH-FR-S-0177; OH-FR-S-0178; OH-FR-S-0179; OH-FR-S-0180; OH-FR-S-0181; OH-FR-S-0182; OH-FR-S-0183; OH-FR-S-0184; OH-FR-S-0185; OH-FR-S-0186; OH-FR-S-0187; OH-FR-S-0188; OH-FR-S-0189; OH-FR-S-0190; OH-FR-S-0193; OH-FR-S-0194; OH-FR-S-0195; OH-FR-S-0196; OH-FR-S-0197; OH-FR-S-0198; OH-FR-S-0199; OH-FR-S-0200; OH-FR-S-0201; OH-FR-S-0202; OH-FR-S-0203; OH-FR-S-0204; OH-FR-S-0205; OH-FR-S-0206; OH-FR-S-0207; OH-FR-S-0208; OH-FR-S-0209; OH-FR-S-0210; OH-FR-S-0211; OH-FR-S-0212; OH-FR-S-0213; OH-FR-S-0214; OH-FR-S-0217; OH-FR-S-0218; OH-FR-S-0219; OH-FR-S-0220; OH-FR-S-0221; OH-FR-S-0223; OH-FR-S-0224; OH-FR-S-0225; OH-FR-S-0228; OH-FR-S-0230; OH-FR-S-0231; OH-FR-S-0232; OH-FR-S-0233; OH-FR-S-0234; OH-FR-S-0235; OH-FR-S-0236; OH-FR-S-0237; OH-FR-S-0238; OH-FR-S-0239; OH-FR-S-0240; OH-FR-S-0241; OH-FR-S-0242; OH-FR-S-0243; OH-FR-S-0244; OH-FR-S-0246; OH-FR-S-0247; OH-FR-S-0248; OH-FR-S-0249; OH-FR-S-0250; OH-FR-S-0251; OH-FR-S-0252; OH-FR-S-0253; OH-FR-S-0254; OH-FR-S-0255; OH-FR-S-0256; OH-FR-S-0257; OH-FR-S-0258; OH-FR-S-0260; OH-FR-S-0261; OH-FR-S-0262; OH-FR-S-0263; OH-FR-S-0264; OH-FR-S-0265; OH-FR-S-0266; OH-FR-S-0267; OH-FR-S-0268; OH-FR-S-0269; OH-FR-S-0271; OH-FR-S-0272; OH-FR-S-0273; OH-FR-S-0274; OH-FR-S-0275; OH-FR-S-0276; OH-FR-S-0277; OH-FR-S-0279; OH-FR-S-0280; OH-FR-S-0281; OH-FR-S-0282; OH-FR-S-0283; OH-FR-S-0284; OH-FR-S-0286; OH-FR-S-0287; OH-FR-S-0288; OH-FR-S-0289; OH-FR-S-0290; OH-FR-S-0291; OH-FR-S-0292; OH-FR-S-0293; OH-FR-S-0294; OH-FR-S-0295; OH-FR-S-0296; OH-FR-S-0297; OH-FR-S-0299; OH-FR-S-0300; OH-FR-S-0301; OH-FR-S-0302; OH-FR-S-0303; OH-FR-S-0304; OH-FR-S-0305; OH-FR-S-0306; OH-FR-S-0307; OH-FR-S-0308; OH-FR-S-0309; OH-FR-S-0310; OH-FR-S-0311; OH-FR-S-0313; OH-FR-S-0314; OH-FR-S-0315; OH-FR-S-0316; OH-FR-S-0318; OH-FR-S-0319; OH-FR-S-0320; OH-FR-S-0321; OH-FR-S-0322; OH-FR-S-0323; OH-FR-S-0324; OH-FR-S-0325; OH-FR-S-0326; OH-FR-S-0327; OH-FR-S-0328; OH-FR-S-0329; OH-FR-S-0330; OH-FR-S-0331; OH-FR-S-0332; OH-FR-S-0333; OH-FR-S-0334; OH-FR-S-0335; OH-FR-S-0336; OH-FR-S-0337; OH-FR-S-0338; OH-FR-S-0339; OH-FR-S-0340; OH-FR-S-0341; OH-FR-S-0342; OH-FR-S-0343; OH-FR-S-0345; OH-FR-S-0346; OH-FR-S-0347; OH-FR-S-0348; OH-FR-S-0349; OH-FR-S-0350; OH-FR-S-0351; OH-FR-S-0352; OH-FR-S-0353; OH-FR-S-0354; OH-FR-S-0355; OH-FR-S-0356; OH-FR-S-0357; OH-FR-S-0358; OH-FR-S-0359; OH-FR-S-0360; OH-FR-S-0361; OH-FR-S-0362; OH-FR-S-0363; OH-FR-S-0364; OH-FR-S-0365; OH-FR-S-0366; OH-FR-S-0367; OH-FR-S-0368; OH-FR-S-0369; OH-FR-S-0370; OH-FR-S-0371; OH-FR-S-0372; OH-FR-S-0373; OH-FR-S-0374; OH-FR-S-0375; OH-FR-S-0376; OH-FR-S-0377; OH-FR-S-0378; OH-FR-S-0379; OH-FR-S-0380; OH-FR-S-0381; OH-FR-S-0382; OH-FR-S-0383; OH-FR-S-0384; OH-FR-S-0385; OH-FR-S-0386; OH-FR-S-0389; OH-FR-S-0390; OH-FR-S-0391; OH-FR-S-0393; OH-FR-S-0394; OH-FR-S-0395; OH-FR-S-0396; OH-FR-S-0397; OH-FR-S-0398; OH-FR-S-0399; OH-FR-S-0400; OH-FR-S-0401; OH-FR-S-0402; OH-FR-S-0403; OH-FR-S-0404; OH-FR-S-0405; OH-FR-S-0406; OH-FR-S-0407; OH-FR-S-0409; OH-FR-S-0412; OH-FR-S-0413; OH-FR-S-0414; OH-FR-S-0415; OH-FR-S-0416; OH-FR-S-0417; OH-FR-S-0418; OH-FR-S-0419; OH-FR-S-0420; OH-FR-S-0421; OH-FR-S-0422; OH-FR-S-0423; OH-FR-S-0424; OH-FR-S-0425; OH-FR-S-0426; OH-FR-S-0427; OH-FR-S-0428; OH-FR-S-0429; OH-FR-S-0430; OH-FR-S-0431; OH-FR-S-0432; OH-FR-S-0433; OH-FR-S-0434; OH-FR-S-0435; OH-FR-S-0436; OH-FR-S-0437; OH-FR-S-0438; OH-FR-S-0439; OH-FR-S-0441; OH-FR-S-0442; OH-FR-S-0443; OH-FR-S-0444; OH-FR-S-0445; OH-FR-S-0446; OH-FR-S-0447; OH-FR-S-0448; OH-FR-S-0449; OH-FR-S-0450; OH-FR-S-0454; OH-FR-S-0470; OH-FR-S-0471; OH-FR-S-0481; OH-FR-S-0482; OH-FR-S-0483; OH-FR-S-0487; OH-FR-S-0503; OH-FR-S-0505; OH-FR-S-0509; OH-FR-S-0510; OH-FR-S-0516; OH-FR-S-0526; OH-FR-S-0527; OH-FR-S-0531; OH-FR-S-0532; OH-FR-S-0535; OH-FR-S-0536; OH-FR-S-0543; OH-FR-S-0546; OH-UNI-S-0547; OH-FR-S-0550; OH-FR-S-0552; OH-FR-S-0561; OH-FR-S-0563; OH-FR-S-0567; OH-FR-S-0595; OH-FR-S-0602; OH-FR-S-0608; OH-FR-S-0609; OH-FR-S-0646; OH-FR-S-0647; OH-FR-S-0648; OH-FR-S-0649; OH-FR-S-0650; OH-FR-S-0651; OH-FR-S-0652; OH-FR-S-0653; OH-FR-S-0654; OH-FR-S-0655; OH-FR-S-0656; OH-FR-S-0657; OH-FR-S-0658; OH-FR-S-0659; OH-FR-S-0660; OH-FR-S-0661; OH-FR-S-0662; OH-FR-S-0663; OH-FR-S-0664; OH-FR-S-0665; OH-FR-S-0666; OH-FR-S-0668; OH-FR-S-0669; OH-FR-S-0670; OH-FR-S-0671; OH-FR-S-0672; OH-FR-S-0673; OH-FR-S-0674; OH-FR-S-0675; OH-FR-S-0676; OH-FR-S-0677; OH-FR-S-0679; OH-FR-S-0680; OH-FR-S-0681; OH-FR-S-0682; OH-FR-S-0683; OH-FR-S-0684; OH-FR-S-0685; OH-FR-S-0686; OH-FR-S-0687; OH-FR-S-0688; OH-FR-S-0689; OH-FR-S-0690; OH-FR-S-0691; OH-FR-S-0692; OH-FR-S-0693; OH-FR-S-0694; OH-FR-S-0695; OH-FR-S-0696; OH-FR-S-0697; OH-FR-S-0698; OH-FR-S-0699; OH-FR-S-0700; OH-FR-S-0701; OH-FR-S-0702; OH-FR-S-0703; OH-FR-S-0704; OH-FR-S-0705; OH-FR-S-0706; OH-FR-S-0707; OH-FR-S-0708; OH-FR-S-0709; OH-FR-S-0710; OH-FR-S-0711; OH-FR-S-0712; OH-FR-S-0713; OH-FR-S-0714; OH-FR-S-0715; OH-FR-S-0716; OH-FR-S-0717; OH-FR-S-0718; OH-FR-S-0719; OH-FR-S-0720; OH-FR-S-0721; OH-FR-S-0722; OH-FR-S-0723; OH-FR-S-0724; OH-FR-S-0725; OH-FR-S-0726; OH-FR-S-0727; OH-FR-S-0728; OH-FR-S-0729; OH-FR-S-0730; OH-FR-S-0731; OH-FR-S-0732; OH-FR-S-0733; OH-FR-S-0734; OH-FR-S-0735; OH-FR-S-0736; OH-FR-S-0737; OH-FR-S-0738; OH-FR-S-0739; OH-FR-S-0740; OH-FR-S-0741; OH-FR-S-0742; OH-FR-S-0743; OH-FR-S-0744; OH-FR-S-0745; OH-FR-S-0746; OH-FR-S-0748; OH-FR-S-0749; OH-FR-S-0750; OH-FR-S-0751; OH-FR-S-0752; OH-FR-S-0753; OH-FR-S-0754; OH-FR-S-0755; OH-FR-S-0756; OH-FR-S-0757; OH-FR-S-0758; OH-FR-S-0759; OH-FR-S-0760; OH-FR-S-0761; OH-FR-S-0762; OH-FR-S-0763; OH-FR-S-0764; OH-FR-S-0765; OH-FR-S-0773; OH-FR-S-0774; OH-FR-S-0776; OH-FR-S-0778; OH-FR-S-0779; OH-FR-S-0798; OH-FR-S-0805; OH-FR-S-0810; OH-FR-S-0817; OH-FR-S-0825; OH-FR-S-0828; OH-FR-S-0831; OH-FR-S-0846; OH-FR-S-0847; OH-FR-S-0853; OH-FR-S-0971; OH-FR-S-0979; OH-FR-S-0991; OH-FR-S-1008; OH-FR-S-1040	Columbus Recreation and Parks Department manages 488 parks, open spaces, conservation areas, and recreation facilities across Columbus and Franklin County, operating one of the largest urban parks systems in Ohio with over 14,000 acres of parkland.	"The official system is branded as ""Columbus Recreation and Parks"" (columbusrecparks.com). Formerly ""Columbus Recreation and Parks Department."" The system includes neighborhood parks, regional parks, nature preserves, conservation areas, recreation centers, golf courses, aquatic facilities, and linear trail corridors."	Member count of 488 reflects Franklin County sites in this run; additional Columbus park holdings may exist in other counties. Metro Parks Serving Franklin County is a separate county authority operating within the same geographic area.	https://columbusrecparks.com/
OH-FR-SN-0004	Dublin Parks	Multi-Site Recreation Network	Active	City of Dublin	City of Dublin, Recreation Services Department		Franklin		100	OH-FR-S-0020; OH-FR-S-0216; OH-FR-S-0245; OH-FR-S-0298; OH-FR-S-0452; FR-S-0453; OH-FR-S-0462; OH-FR-S-0463; OH-FR-S-0464; OH-FR-S-0465; OH-FR-S-0467; OH-FR-S-0468; OH-FR-S-0469; OH-FR-S-0472; OH-FR-S-0473; OH-FR-S-0474; OH-FR-S-0475; OH-FR-S-0476; OH-FR-S-0477; OH-FR-S-0478; OH-FR-S-0479; OH-FR-S-0480; OH-FR-S-0484; OH-FR-S-0485; OH-FR-S-0486; OH-FR-S-0488; OH-FR-S-0489; OH-FR-S-0490; OH-FR-S-0491; OH-FR-S-0492; OH-FR-S-0493; OH-FR-S-0494; OH-FR-S-0495; OH-FR-S-0496; OH-FR-S-0497; OH-FR-S-0498; OH-FR-S-0499; OH-FR-S-0500; OH-FR-S-0501; OH-FR-S-0502; OH-FR-S-0504; OH-FR-S-0506; OH-FR-S-0507; OH-FR-S-0508; OH-FR-S-0511; OH-FR-S-0512; OH-FR-S-0513; OH-FR-S-0514; OH-FR-S-0515; OH-FR-S-0517; OH-FR-S-0518; OH-FR-S-0519; OH-FR-S-0520; OH-FR-S-0521; OH-FR-S-0522; OH-FR-S-0523; OH-FR-S-0524; OH-FR-S-0525; OH-FR-S-0528; OH-FR-S-0529; OH-FR-S-0530; OH-FR-S-0533; OH-FR-S-0534; OH-FR-S-0537; OH-FR-S-0539; OH-FR-S-0540; OH-FR-S-0541; OH-FR-S-0542; OH-FR-S-0548; OH-FR-S-0549; OH-FR-S-0551; OH-FR-S-0554; OH-FR-S-0555; OH-FR-S-0556; OH-FR-S-0558; OH-FR-S-0559; OH-FR-S-0560; OH-FR-S-0562; OH-FR-S-0564; OH-FR-S-0565; OH-FR-S-0566; OH-FR-S-0568; OH-FR-S-0569; OH-FR-S-0570; OH-FR-S-0571; OH-FR-S-0572; OH-FR-S-0573; OH-FR-S-0574; OH-FR-S-0575; OH-FR-S-0576; OH-FR-S-0577; OH-FR-S-0578; OH-FR-S-0579; OH-FR-S-0580; OH-FR-S-0581; OH-FR-S-0582; OH-FR-S-0583; OH-FR-S-0584; OH-FR-S-0585; OH-FR-S-0586	The City of Dublin Recreation Services Department manages 119 parks, open spaces, nature preserves, and greenways across Dublin, Ohio, comprising one of the most extensive municipal park systems in central Ohio relative to city size.	"Officially branded as ""Dublin Parks"" on the city website (dublinohiousa.gov). The system emphasizes ecological management, with many open spaces actively managed for prairie, wetland, forest, and wildlife habitat."	Member count of 119 reflects Franklin County Dublin sites in this run. Some Dublin parks may extend into Union County. GIS data source: City of Dublin Parks FeatureServer (ArcGIS).	https://dublinohiousa.gov/recreation-services/parks/
OH-FR-SN-0005	Gahanna Parks	Multi-Site Recreation Network	Active	City of Gahanna	City of Gahanna Parks & Recreation		Franklin		65	OH-FR-S-0047; OH-FR-S-0051; OH-FR-S-0538; OH-FR-S-0553; OH-FR-S-0587; OH-FR-S-0588; OH-FR-S-0589; OH-FR-S-0590; OH-FR-S-0591; OH-FR-S-0592; OH-FR-S-0593; OH-FR-S-0594; OH-FR-S-0596; OH-FR-S-0597; OH-FR-S-0598; OH-FR-S-0599; OH-FR-S-0600; OH-FR-S-0601; OH-FR-S-0603; OH-FR-S-0604; OH-FR-S-0605; OH-FR-S-0606; OH-FR-S-0610; OH-FR-S-0611; OH-FR-S-0612; OH-FR-S-0613; OH-FR-S-0614; OH-FR-S-0615; OH-FR-S-0616; OH-FR-S-0617; OH-FR-S-0618; OH-FR-S-0619; OH-FR-S-0620; OH-FR-S-0621; OH-FR-S-0622; OH-FR-S-0623; OH-FR-S-0624; OH-FR-S-0625; OH-FR-S-0626; OH-FR-S-0627; OH-FR-S-0628; OH-FR-S-0629; OH-FR-S-0630; OH-FR-S-0631; OH-FR-S-0632; OH-FR-S-0633; OH-FR-S-0634; OH-FR-S-0635; OH-FR-S-0636; OH-FR-S-0637; OH-FR-S-0638; OH-FR-S-0639; OH-FR-S-0640; OH-FR-S-0641; OH-FR-S-0642; OH-FR-S-0643; OH-FR-S-0644; OH-FR-S-0645; OH-FR-S-1026; OH-FR-S-1027; OH-FR-S-1028; OH-FR-S-1029; OH-FR-S-1030; OH-FR-S-1031; OH-FR-S-1032	The City of Gahanna Parks & Recreation manages 67 parks, open spaces, recreation facilities, nature preserves, and stormwater green spaces across Gahanna in Franklin County. The system includes active recreation parks, neighborhood parks, wooded reserves, riparian corridors, community gardens, aquatic facilities, and the Big Walnut Trail connecting the southern park network.	"Officially branded as ""Gahanna Parks"" on the city website (gahanna.gov). The system includes City of Gahanna-managed sites as well as Gahanna Woods State Nature Preserve (ODNR-owned, Gahanna-managed). Member count of 67 reflects Franklin County Gahanna sites in this run."	Member count of 67 reflects Franklin County Gahanna sites in this run. GIS facility data source: City of Gahanna CivicEngage facility system (gahanna.gov/Facilities).	https://www.gahanna.gov/252/Parks-Recreation
OH-FR-SN-0006	Grove City Parks	Multi-Site Recreation Network	Active	City of Grove City	City of Grove City Parks & Recreation		Franklin		39	OH-FR-S-0222; OH-FR-S-0440; OH-FR-S-0458; OH-FR-S-0459; OH-FR-S-0849; OH-FR-S-0850; OH-FR-S-0851; OH-FR-S-0852; OH-FR-S-0855; OH-FR-S-0857; OH-FR-S-0859; OH-FR-S-0860; OH-FR-S-0861; OH-FR-S-0864; OH-FR-S-0865; OH-FR-S-0866; OH-FR-S-0867; OH-FR-S-0868; OH-FR-S-0869; OH-FR-S-0870; OH-FR-S-0871; OH-FR-S-0872; OH-FR-S-0873; OH-FR-S-0874; OH-FR-S-0875; OH-FR-S-0876; OH-FR-S-0877; OH-FR-S-0878; OH-FR-S-0879; OH-FR-S-0880; OH-FR-S-0881; OH-FR-S-0882; OH-FR-S-0883; OH-FR-S-0884; OH-FR-S-0885; OH-FR-S-0886; OH-FR-S-0887; OH-FR-S-0888; OH-FR-S-0889	The City of Grove City Parks & Recreation manages 41 parks, open spaces, recreation facilities, and conservation areas across Grove City in Franklin County, comprising 518 acres of parkland. The system includes community parks, neighborhood parks, passive open spaces, aquatic facilities, athletic complexes, and 38.3 miles of paved multi-use paths.	"Officially branded as ""Grove City Parks"" on the city website (grovecityohio.gov). Includes The Big Splash Family Aquatics Center, Gardens at Gantz, Breck Community Park dog park, Grove City Skate Park, and two four-season pavilion rentals."	Member count of 41 reflects Franklin County Grove City sites in this run. Windsor Park (major community park per city website) present in GIS but not in run DB; flagged for review. GIS source: arcgisweb.grovecityohio.gov Web_GIS_Services_New/ParksRecreation/MapServer.	https://www.grovecityohio.gov/379/Parks-Recreation
OH-FR-SN-0007	Groveport Parks	Multi-Site Recreation Network	Active	City of Groveport	City of Groveport Parks & Recreation		Franklin		11	OH-FR-S-0013; OH-FR-S-0031; OH-FR-S-0890; OH-FR-S-0891; OH-FR-S-0893; OH-FR-S-0894; OH-FR-S-0895; OH-FR-S-0896; OH-FR-S-0897; OH-FR-S-0898; OH-FR-S-0899	The City of Groveport Parks & Recreation manages 10 parks and green spaces across Groveport in Franklin County. The system includes Groveport Park (82 acres), Heritage Park (historic log house, community garden, fishing pond), Cruiser Park (52-acre athletic complex with wetland), and several neighborhood parks, together comprising the most park land per capita in Franklin County.	System described as having the most park land per capita in Franklin County per city website. Source: groveport.org/255/Park-Locations-Features.	Member count of 10 reflects Franklin County Groveport sites in this run.	https://www.groveport.org/254/Parks
OH-FR-SN-0008	Hilliard Recreation and Parks	Multi-Site Recreation Network	Active	City of Hilliard	City of Hilliard Recreation and Parks Department		Franklin		31	OH-FR-S-0797; OH-FR-S-0821; OH-FR-S-0822; OH-FR-S-0823; OH-FR-S-0824; OH-FR-S-0825; OH-FR-S-0826; OH-FR-S-0827; OH-FR-S-0828; OH-FR-S-0829; OH-FR-S-0830; OH-FR-S-0831; OH-FR-S-0832; OH-FR-S-0833; OH-FR-S-0834; OH-FR-S-0835; OH-FR-S-0836; OH-FR-S-0837; OH-FR-S-0838; OH-FR-S-0839; OH-FR-S-0840; OH-FR-S-0841; OH-FR-S-0842; OH-FR-S-0843; OH-FR-S-0844; OH-FR-S-0845; OH-FR-S-0846; OH-FR-S-0847; OH-FR-S-0848; OH-FR-S-1033; OH-FR-S-1036	The City of Hilliard Recreation and Parks Department manages 30 parks, open spaces, aquatic facilities, and recreational areas across Hilliard and adjacent areas in Franklin County. The system includes active parks, neighborhood parks, wooded natural areas, athletic complexes, aquatic centers, and the Heritage Trail corridor. Roger A. Reynolds Municipal Park serves as the premier facility with 130 acres including Hilliard Family Aquatic Center. The department also operates The Well, a wellness campus opened in 2024.	"Officially branded as ""Hilliard Recreation and Parks"" on the city website (recandparks.hilliardohio.gov). The department was previously accessible via hilliardohio.gov; the recreation department now operates its own subdomain. Member count of 30 reflects Franklin County Hilliard-governed sites in this run, including sites with municipality=Columbus that are managed by Hilliard Recreation and Parks."	Member count of 30 reflects Franklin County Hilliard-governed sites in this run. First Responders Park (FR-S-0797) included in member IDs. Crosscreek Park (FR-S-0845) may be distinct from Cross Creek Park (FR-S-0825, Columbus municipality). Heritage Trail Dog Park (FR-S-0831) is a joint project with Columbus and Franklin County Metro Parks. Source: recandparks.hilliardohio.gov/parks.	https://recandparks.hilliardohio.gov/parks
OH-FR-SN-0009	New Albany Parks	Multi-Site Recreation Network	Active	City of New Albany	City of New Albany		Franklin		25	OH-FR-S-0001; OH-FR-S-0019; OH-FR-S-0023; OH-FR-S-0192; OH-FR-S-0285; OH-FR-S-0929; OH-FR-S-0930; OH-FR-S-0931; OH-FR-S-0932; OH-FR-S-0933; OH-FR-S-0934; OH-FR-S-0935; OH-FR-S-0936; OH-FR-S-0937; OH-FR-S-0939; OH-FR-S-0940; OH-FR-S-0941; OH-FR-S-0942; OH-FR-S-0943; OH-FR-S-0944; OH-FR-S-0945; OH-FR-S-0946; OH-FR-S-0947; OH-FR-S-0948; OH-FR-S-0949	The City of New Albany manages a network of parks and passive open spaces across its territory in Franklin County, encompassing more than 2,000 acres of green space and 83+ miles of leisure trails. Active parks include Bevelhymer Park (145 acres, 32 athletic fields), Taylor Farm Park (~100 acres, community garden, walking trails), Rose Run Park, Swickard Woods Arboretum, and numerous neighborhood open spaces. Three parks (Bevelhymer, Thompson, Wexner) are managed by New Albany Parks & Recreation, a separate entity from the City of New Albany.	Parks information sourced from newalbanyohio.org/parks-trails/. New Albany Parks & Recreation is a distinct entity from the City of New Albany government; three major parks are operated by the Parks & Recreation district. This network record covers City-maintained sites only. Rocky Fork Metro Park (within New Albany) is documented separately under Metro Parks Serving Franklin County (FR-SN-0001).	Member count of 15 reflects City of New Albany municipality sites in this run. Ealy House & William Resch Park, Ratchford Fens Park, Taylor Farm Park, Thompson Park, and Wexner Park appear on the city website but are not in this run's DB (may be in adjacent municipality records or deferred). Swickard Woods Park (FR-S-0934) corresponds to the Swickard Woods Arboretum on the city website. Source: newalbanyohio.org/parks-trails/.	https://newalbanyohio.org/parks-trails/
OH-FR-SN-0010	Obetz Parks and Recreation	Multi-Site Recreation Network	Active	City of Obetz	City of Obetz Parks & Recreation		Franklin		12	OH-FR-S-0033; OH-FR-S-0994; OH-FR-S-0995; OH-FR-S-0996; OH-FR-S-0997; OH-FR-S-0998; OH-FR-S-0999; OH-FR-S-1000; OH-FR-S-1001; OH-FR-S-1002; OH-FR-S-1003; OH-FR-S-1004	The City of Obetz Parks & Recreation manages 9 parks and recreational facilities in Obetz, Franklin County. The system includes Memorial Park (80 acres, the largest in the city), Braehead Nature Preserve (39 acres along Big Walnut Creek), Dixon Quarry (6-acre fishing lake with archery range), Area 51 Disc Golf (18-hole, 31 acres), Bridlewood Park (dog park), Junction Park with splash pad/ice rink, and D. Greg Scott Park adjacent to the community center.	"Officially branded as ""Obetz Parks & Recreation"" at obetz.gov/parks-recreation/. The City of Obetz also operates the Obetz Athletic Club and Obetz Community Center (not natural areas). Fortress Obetz (FR-S-0997) is a large entertainment/event venue complex within Memorial Park grounds."	Member count of 9 reflects City of Obetz municipality sites in this run. D. Greg Scott Park, McFadyen Park, Veterans Park, and Junction Park appear on the city website but are not separately recorded in the run DB. The Obetz Splash Pad (FR-S-0999) is co-located with Junction Park. Source: obetz.gov/parks-recreation/.	https://obetz.gov/parks-recreation/
