Trail Name	Alternate Names	Trail Use Type	Trail Surface Type	Trail Origin Type	Total Length (Miles)	Counties	Governance	Partner Agencies	Status	Difficulty	Accessibility	Description	Trail History	Identity Notes	Notes	URL	Maps	Trail ID
Olentangy River Water Trail		Water	Water		8.94	Franklin	Ohio Department of Natural Resources (state water trail designation 2013); Columbus Recreation and Parks Department (active management)	Friends of the Lower Olentangy Watershed (FLOW)				The Olentangy Water Trail runs through the heart of Columbus, from the Broad Meadows pedestrian bridge downstream to the confluence with the Scioto River. Class I-II. Provides access to several Columbus parks and flows through historic neighborhoods and The Ohio State University campus.		Designated ODNR state protected water trail in 2013. 8.94-mile paddle route (Class I-II). Runs through Columbus from Broad Meadows pedestrian bridge to confluence with Scioto River. Active management by Columbus Recreation and Parks Department. TIER UNCERTAIN: ODNR designates as state water trail, but active management is Tier 6 (Columbus). May resolve to Tier 6. Overlaps geographically with portion of Olentangy River State Scenic River (Site 6) — these are separate entities. Discovery module flag: add rule for state water trail tier assignment.		https://columbusrecparks.com/facilities/trails/olentangy-river-water-trail/		OH-FR-T-0001
Camp Chase Trail		Multi-Use	Paved	Rail Trail	15.2	Franklin;Madison	Columbus Recreation and Parks Department (Columbus segments); Metro Parks Serving Franklin County (Battelle Darby Creek Metro Park section); City of Hilliard (western segments)	Friends of the Camp Chase Trail (FMCPT); Rails to Trails Conservancy		Easy	Paved multi-use (hiking, biking, skating); 0.33-mile limestone crusher connector through Battelle Darby Creek Metro Park is unpaved	The Camp Chase Trail is a rail trail that stretches from Madison County to the Scioto Trail.		15.2-mile paved multi-use rail trail: 3 miles in Madison County, 12.2 miles in Franklin County. Runs from Lilly Chapel (Roberts Pass Trail junction) in Madison County to Columbus Hilltop neighborhood, connecting to Scioto Greenway Trail. Midpoint is at Battelle Darby Creek Metro Park (where it crosses the Big and Little Darby Creek confluence). Follows former Camp Chase Railroad corridor. OTET SEGMENT: Serves as the Southwest Columbus segment of the 326-mile Ohio to Erie Trail — relationship with OTET noted in coordination. OTET is a separate held multi-county entity. MULTI-GOVERNANCE: Metro Parks manages the Battelle Darby Creek section; Columbus Recreation and Parks manages Columbus-area sections. Tier assignment: Tier 3 for discovery purposes (Metro Parks is primary natural areas manager); will review at normalization.		https://columbusrecparks.com/facilities/trails/greenways/camp-chase-trail/		OH-MC-T-0003
Darby Creek Greenway Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved multi-use			IDENTITY NOTE — GAP: The Darby Creek Greenway Trail currently exists as two disconnected sections within Metro Parks: (1) Battelle Darby Creek Metro Park section, 8.3 miles; (2) Prairie Oaks Metro Park section, 4.7 miles. The two sections do not currently connect — a gap corridor is planned for future development to extend the total to 20+ miles along the Big Darby Creek corridor. Record as single Trail entity with Gap status for the unconnected corridor, consistent with project protocol for planned trail extensions. Notes should document the two built sections and the planned gap. Both sections within Franklin County.		https://www.metroparks.net/parks-and-trails/greenway-trails/		OH-FR-T-0003
Heritage Trail		Bridle	Mixed	Rail Trail	6.1	Franklin;Madison	Metro Parks Serving Franklin County (3.6-mile northern section); Columbus Recreation and Parks Department (additional sections); City of Hilliard			Easy	Paved multi-use (hiking, biking, pets on leash); 1.5-mile section near end is packed dirt/crushed stone; parallel 3.6-mile sandy bridle trail for equestrian use	The Heritage Trail is a rail trail that stretches from Old Hilliard to Plain City, connecting to surrounding subdivisions.		Rails-to-trails corridor following former Columbus, Piqua, and Indiana Railroad (first train 1853). Total trail: 6.1 miles from Old Hilliard (Main Street) to Plain City. Metro Parks manages the 3.6-mile northern section from Heritage Trail Park north to Cemetery Pike. Heritage Trail Park Metro Park (Site 6, B292) is the primary Metro Parks land parcel along this corridor. MULTI-GOVERNANCE: Metro Parks manages northern section; Columbus Recreation and Parks manages additional segments; City of Hilliard involved. Tier 3 assignment for Metro Parks section. Connects to Homestead Metro Park (0.75-mile paved connector from Homestead).		https://www.metroparks.net/parks-and-trails/heritage-trail-park/		OH-MC-T-0004
Blacklick Creek Greenway Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County (primary manager of most corridor); Columbus Recreation and Parks (short section north of Blacklick Woods Metro Park)	Rails to Trails Conservancy		Easy	Primarily paved multi-use (hiking, biking, ADA accessible); short dirt section through Portman Park south of Refugee Road that can be muddy			Paved multi-use greenway trail, approximately 16 miles, connecting JFK Park in Reynoldsburg to the Alum Creek Greenway Trail at Three Creeks Metro Park in Groveport. Parallels Blacklick Creek for most of its route. Passes through Pickerington Ponds Metro Park, Blacklick Woods Metro Park, and Three Creeks Metro Park. Metro Parks manages all sections except a short section north of Blacklick Woods Metro Park (managed by Columbus Recreation and Parks). All within Franklin County. OTET CONNECTION: Trail connects into OTET network at Three Creeks. This trail supersedes the Blacklick Creek Greenway Trail reference in Pickerington Ponds Tier 3 notes (which listed it as 19 miles — mileage conflict; 16 miles is the better-sourced figure). Connects to Alum Creek Greenway Trail at Three Creeks (Tier 6 entity).		https://www.metroparks.net/parks-and-trails/greenway-trails/		OH-FR-T-0005
Scioto Greenway Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County (manages approximately 11 miles); Columbus Recreation and Parks (remaining sections)			Easy	Paved multi-use (hiking, biking, inline skating); ADA accessible			Paved multi-use greenway trail approximately 12 miles along the Scioto River through Columbus. Metro Parks manages approximately 11 miles (Worthington Hills to I-270 north, Antrim Park to Lane Avenue, and King Avenue to Confluence Park). Columbus Recreation and Parks manages remaining sections. Runs through Scioto Audubon Metro Park and Scioto Grove Metro Park. Connects north to Olentangy Trail (14 miles to Worthington). Part of OTET network. Tier 3 assignment for primary Metro Parks management share.		https://www.metroparks.net/parks-and-trails/greenway-trails/		OH-FR-T-0006
Alum Creek Greenway Trail		Multi-Use	Paved			Franklin	Columbus Recreation and Parks Department (primary); Metro Parks Serving Franklin County (Three Creeks Metro Park section)			Easy	Paved multi-use (hiking, biking, ADA accessible); asphalt or concrete surface			Paved multi-use greenway trail, approximately 22-24.5 miles, running along Alum Creek from Westerville south to Three Creeks Metro Park in Groveport. Bisects 14 city parks along route. TIER ASSIGNMENT NOTE: Primary manager is Columbus Recreation and Parks (City of Columbus). Metro Parks manages only the section within Three Creeks Metro Park. Tier 3 notation for Metro Parks connection; canonical tier assignment is Tier 6 (Columbus). Flagged for Tier 6 discovery session to record as primary Tier 6 entity. OTET SEGMENT: Alum Creek Trail is part of the Ohio to Erie Trail statewide system. Connects to Blacklick Creek Greenway at Three Creeks Metro Park.		https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/		OH-FR-T-0007
Ancient Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Hiking; natural surface			1.7-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0008
Cobshell Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Hiking; natural surface			0.8-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0009
Dyer Mill Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Hiking; natural surface			3.0-mile trail at Battelle Darby Creek Metro Park. One of the longer named hiking trails in the park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0010
