name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Van Buren State Park	Park		State Park	Active	State	ODNR Division of Parks & Watercraft	Friends of Van Buren State Park		Originally inhabited by the Shawnee, the area surrounding Van Buren State Park is rich in woods and agricultural lands. The park's 296 acres offer a calm, peaceful retreat with camping, fishing, hiking, horseback riding, and picnicking opportunities that can be enjoyed year-round.	North of Findlay, Van Buren Township, Hancock County, Ohio	296.0	Hancock	Allen	Allen	41.132684	-83.623907	86HR49MG+3C	Hiking Trail;Bridle Trail;Pavilion;Picnic Area;Volleyball Court;Disc Golf Course;Playground;Sledding Hill;Horseshoe Pitch;Archery Range;Dog Park;Camping;Hunting Area;Fishing Area		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Van Buren State Park Campground	Campground	RV Campground		Active	State	ODNR Division of Parks & Watercraft			Van Buren State Park Campground is a peaceful, quiet loop. It offers 61 sites with 50-amp electricity and water -- several perfect for tent camping. Pets are permitted on all sites. Many sites are partially shaded.	Within Van Buren State Park, Van Buren Township, Hancock County		Hancock			41.132684	-83.623907		Camping		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 1	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock1.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 3	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock3.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 4	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock4.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 5	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock5.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 6	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock6.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Hancock County Wildlife Area 7	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock						Hunting Area		https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/Hancock7.pdf			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 9 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 25 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 32 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 41 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 43 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 45 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Wildlife Production Area 46 Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State	ODNR Division of Wildlife				Hancock County, Ohio		Hancock								https://gis.ohiodnr.gov/arcgis/rest/services/OIT_Services/ODNR_ODNR_Lands_External3/MapServer/1/query?where=cnty_fips='063'			2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
