name	alternate_names	use_type	surface_type	origin_type	length_mi	counties	governance	partner_agencies	status	difficulty	accessibility	description	trail_history	identity_notes	notes	url_primary	maps	created_at	updated_at
Van Buren State Park Hiking Trails		Hiking		Purpose-Built		Hancock	ODNR Division of Parks & Watercraft		Active			System of 9 named hiking loops within Van Buren State Park. Hikers are also permitted on the mountain biking and bridle trails.		Named loops: Green Trail (1 mi), Blue Trail (2 mi), Orange Trail (2 mi), Haiku Trail (0.2 mi), Sensory Trail (0.1 mi), Pink Trail (4 mi), Red Trail (2 mi), White Trail (1 mi), Yellow Trail (2 mi). Trailhead at south side parking lot. These named loops likely qualify as Trail Segments; resolve in normalization. Van Buren State Park Map (downloadable) available — may contain segment geometry. Map rev. 10/2025 shows corrected loop lengths: Pink=2.6mi, White=1.5mi, Orange=1.0mi. Purple Trail (0.3mi Easy) also documented on map — previously missing. Campground Connector (0.1mi Mod), Day Use Connector (0.1mi Easy), Cable Line Road Trail also shown. Sensory Trail (0.2mi) appears on map body.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Van Buren State Park Mountain Bike Trails		Mountain Bike		Purpose-Built	3.0	Hancock	ODNR Division of Parks & Watercraft		Active			Three miles of mostly single-track mountain bike trails meander through the south shore woods providing both novice and intermediate riders with scenic views of Van Buren woodlands while crossing the boardwalks over ravines and offering some challenging features.		Named loops: Green Trail (1 mi), Blue Trail (2 mi). Hikers also permitted. Trailhead at South Shore Picnic Area parking lot.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Van Buren State Park Bridle Trails		Bridle	Natural Surface	Purpose-Built	8.1	Hancock	ODNR Division of Parks & Watercraft		Active					"Named loops: Red Trail (2 mi), Pink Trail (4 mi), White Trail (1 mi), Yellow Trail (2 mi). Trailhead at day-use bridle area. Baseline listed ""Van Buren Bridle Trail"" — confirmed. Overnight Bridle Camp not confirmed on current page; verify via ODNR reservation system. Length/difficulty from official ODNR park map rev. 10/2025 — supersedes ODNR web page text."		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/van-buren-state-park		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Heritage Trail		Multi-Use	Crushed Stone	Purpose-Built	20.22	Hancock	Hancock Park District		Active					HPD website lists 16 numbered segments totaling 20.22 miles. Trail passes through Litzenberg Memorial Woods, Indian Green-Worden CA, Liberty Landing, Blanchard River Greenway, Great Karg Well, Riverwalk, Eastpoint Area, Riverbend Recreation Area, and connecting road/trail corridors. Stage 16 Trail Segment records separately.		https://hancockparks.com/trails/heritage-trail/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Blanchard River Water Trail		Water	Water	Purpose-Built	37.6	Hancock	Hancock Park District		Active					ODNR-designated water trail, HPD-managed (per §4.6 management tier governs — T3 entity, not T2). Begins at Blanchard River Nature Preserve (22006 CR 17, Forest — COUNTY_VERIFY: may be Hardin County), ends at Blanchard Landing (SR 235 S of US 224 W, Findlay — Hancock). If start is in Hardin County, CROSS_COUNTY_CANDIDATE for Hancock + Hardin. Access points: Blanchard River NP (start), Jackson Landing, Riverbend Recreation Area (primitive campground), Waterfalls Area (portage), Great Karg Well (portage), Liberty Landing (9.3mi float start), Blanchard Landing (end). Downstream of Blanchard Landing continues to Putnam County (not part of designated BRWT).		https://hancockparks.com/trails/blanchard-river-water-trail/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Blanchard River Greenway Trail		Multi-Use	Paved	Greenway Corridor		Hancock	Hancock Park District		Active					Urban greenway linking parks and downtown Findlay. Route: Bright Road (eastern terminus at Eastpoint Area) to Fox Street (western terminus at River Landings), with connection to Broad Avenue and Township Road 89. Passes through seven River Parks: Eastpoint Area, Waterfalls Area, Riverside Park Waterfront (T6 — City of Findlay), Centennial Park, Great Karg Well Historical Site, River Landings, and HPD Administrative Offices. Riverside Park Waterfront is no longer HPD-managed (agreement ended Jan 1 2026) — will be T6 entity.		https://hancockparks.com/trails/blanchard-river-greenway-trail/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Riverwalk		Multi-Use	Paved	Greenway Corridor		Hancock	Hancock Park District		Active					Owned by City of Findlay, managed by HPD (since 1987) — T3 per §4.6. Route: Anchor Park to Cory Street along south side of Blanchard River. Part of Heritage Trail route (segment 7 passes through Riverwalk). Original development won 1989 OPRA Outstanding Facility Award. Redevelopment planned (aging infrastructure noted on page).		https://hancockparks.com/trails/riverwalk/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Highline Trail		Hiking	Natural Surface	Purpose-Built		Hancock	Hancock Park District		Active					Named trail at Aeraland Recreation Area (1141 TR 243, Fostoria). Listed in Features section of HPD park page. No length or surface data available from page. COUNTY_VERIFY: Aeraland address is Fostoria (see LOCAL-004 — Fostoria straddles Hancock/Seneca county line).		https://hancockparks.com/parks/arealand-recreation-area/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Upland Trail		Hiking	Natural Surface	Purpose-Built		Hancock	Hancock Park District		Active					Named trail at Aeraland Recreation Area (1141 TR 243, Fostoria). Listed in Features section of HPD park page alongside Highline Trail. No length or surface data available from page. COUNTY_VERIFY: Aeraland address is Fostoria (see LOCAL-004).		https://hancockparks.com/parks/arealand-recreation-area/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Ladybug Loop Trail		Hiking	Natural Surface	Purpose-Built	0.3	Hancock	Hancock Park District		Active					Named loop trail at Blue Rock Nature Preserve (Edgar Ave & Bank St, Findlay). Length 0.3 miles per park page. Loop trail — trail segments likely not warranted (single short loop, no named sections).		https://hancockparks.com/parks/blue-rock-nature-preserve/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
