name	ap_type	status	parent_entity_type	parent_entity_id	county	township	municipality	address	gps_lat	gps_lon	plus_code	features	identity_notes	notes	url_primary	created_at	updated_at
Cedar Point NWR Fishing and Paddling Access	Watercraft Access Point	Active	Site	OH-LUC-S-001	Lucas	Jerusalem	Jerusalem	Yondota Road off State Route 2, three miles east of Oregon, Ohio / nine miles east of I-280	41.685901	-83.319691	86HRMMPJ+94	Fishing Area;Parking Lot;Wildlife Observation Area	Open May 1 - August 31 during daylight hours. Parent site: Cedar Point National Wildlife Refuge. Mailing address for HQ is Ottawa NWR, 14000 West State Route 2, Oak Harbor, OH 43449-9485.		https://www.fws.gov/refuge/cedar-point/visit-us	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Maumee Bay State Park Main Access and Marina	Boat Launch	Active	Site	OH-LUC-S-003	Lucas		Oregon	1400 State Park Road, Oregon, OH 43616	41.681408	-83.376536	86HRMJJF+H9	Boat Ramp;Marina;Beach;Restrooms;Parking Lot	Phone: (419) 836-7758.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Metzger Marsh Boat Ramp and Channel	Boat Ramp	Active	Site	OH-LUC-S-007	Lucas	Jerusalem	Jerusalem	Metzger Marsh Wildlife Area, 20 miles east of Toledo off State Route 2; Lucas County, Ohio	41.642865	-83.240018	86HRJQV5+4X	Boat Ramp;Parking Lot			https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/metzger-marsh-wildlife-area	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Metzger Marsh Fishing Pier	Fishing Access	Active	Site	OH-LUC-S-007	Lucas	Jerusalem	Jerusalem	End of access road, Metzger Marsh Wildlife Area; Lake Erie shoreline; Lucas County, Ohio	41.642865	-83.240018	86HRJQV5+4X	Fishing Area			https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/metzger-marsh-wildlife-area	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Magee Marsh Turtle Creek Fishing Access	Fishing Access	Active	Site	OH-MC-S-010	Lucas	Jerusalem	Jerusalem	Magee Marsh Wildlife Area; Lake Erie shoreline; Ottawa/Lucas County	41.626809	-83.183527	86HRJRG8+PH	Boat Ramp;Fishing Area;Parking Lot	GIS_VERIFY_COUNTY: associated with Magee Marsh WA (Lucas & Ottawa). AP location likely in Ottawa County.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/magee-marsh-wildlife-area	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Kimble's Landing	Vehicle Entrance	Active	Site	OH-MC-S-027	Lucas	Providence	Providence	SR-295 at Providence Metropark, Wood County	41.419448	-83.856371	86HRC49V+QF	Watercraft Access	Named access point; parent park Providence Metropark is GIS_VERIFY_COUNTY (likely Wood County). AP county inherits from parent.		https://metroparkstoledo.com/explore-your-parks/providence/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Farnsworth Kayak Concession	Watercraft Access Point	Active	Site	OH-LUC-S-018	Lucas	Waterville	Waterville	Farnsworth Metropark, Maumee River, Lucas County	41.480093	-83.74522	86HRF7J3+2W	Watercraft Access	Named access point with phone number; kayak concession on Maumee River.		https://metroparkstoledo.com/explore-your-parks/farnsworth/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Glass City Marina	Boat Launch	Active	Site	OH-LUC-S-019	Lucas		Toledo	Glass City Metropark, Maumee River, Toledo, Lucas County	41.654254	-83.517843	86HRMF3J+PV	Marina	Named marina at Glass City Metropark.		https://metroparkstoledo.com/explore-your-parks/glass-city/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Glass City Kayak Cove	Watercraft Access Point	Active	Site	OH-LUC-S-019	Lucas		Toledo	Glass City Metropark, Maumee River, Toledo, Lucas County	41.654254	-83.517843	86HRMF3J+PV	Watercraft Access	Named kayak cove; distinct from Glass City Marina at the same park.		https://metroparkstoledo.com/explore-your-parks/glass-city/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Middlegrounds Kayak Cove	Watercraft Access Point	Active	Site	OH-LUC-S-023	Lucas		Toledo	Middlegrounds Metropark, Maumee River, Toledo, Lucas County	41.638683	-83.535481	86HRJFQ7+FR	Watercraft Access	Named kayak cove with BYOB (bring your own boat) note.		https://metroparkstoledo.com/explore-your-parks/middlegrounds/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Wiregrass Lake Accessible Kayak Launch	Watercraft Access Point	Active	Site	OH-LUC-S-034	Lucas	Spencer	Spencer	Wiregrass Lake Metropark, Lucas County	41.639004	-83.791277	86HRJ6Q5+JF	Watercraft Access;ADA Accessible	Explicitly named as accessible kayak launch with rollers — distinct accessibility feature documented.		https://metroparkstoledo.com/explore-your-parks/wiregrass-lake/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Fort Miamis Kayak Access	Watercraft Access Point	Active	Site	OH-LUC-S-017	Lucas			End of Corey Street, Fallen Timbers Battlefield & Fort Miamis Metropark, Maumee, Lucas County				Watercraft Access	Location described as 'kayak access at end of Corey Street (Fort Miamis)' in features_raw of parent park.		https://metroparkstoledo.com/explore-your-parks/fallen-timbers-battlefield-fort-miamis/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Bend View Maumee River Water Trail Access	Watercraft Access Point	Active	Site	OH-LUC-S-013	Lucas	Waterville	Waterville	Bend View Metropark, Maumee River, Lucas County	41.453202	-83.784864	86HRF638+73	Watercraft Access	Water trail access documented on park page.		https://metroparkstoledo.com/explore-your-parks/bend-view/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Blue Creek Quarry Pond Kayak Access	Watercraft Access Point	Active	Site	OH-LUC-S-014	Lucas	Waterville	Waterville	Blue Creek Metropark, Lucas County	41.504399	-83.796125	86HRG633+QG	Watercraft Access	Kayak access on quarry pond documented on park page.		https://metroparkstoledo.com/explore-your-parks/blue-creek/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Cannonball Prairie Pond Kayak Access	Watercraft Access Point	Active	Site	OH-LUC-S-016	Lucas			Cannonball Prairie Metropark, Lucas County				Watercraft Access	Kayak access on pond documented on park page.		https://metroparkstoledo.com/explore-your-parks/cannonball-prairie/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Beach Ridge Area Trailhead	Trailhead	Active	Site	OH-MC-S-025	Lucas			Oak Openings Beach Ridge Area, Lucas County				Parking Lot	Primary trailhead for this park unit.		https://metroparkstoledo.com/explore-your-parks/oak-openings-beach-ridge-area/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Springbrook Trailhead	Trailhead	Active	Site	OH-MC-S-024	Lucas	Swanton	Swanton	Springbrook Road entrance, Oak Openings Preserve Metropark, Lucas County	41.555985	-83.855383	86HRH44V+9R	Restrooms;Parking Lot	Named trailhead at Oak Openings Preserve, one of multiple access points for this large park.		https://metroparkstoledo.com/explore-your-parks/oak-openings-preserve/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Buttonbush Trailhead	Trailhead	Active	Site	OH-MC-S-024	Lucas	Swanton	Swanton	Buttonbush entrance, Oak Openings Preserve Metropark, Lucas County	41.555985	-83.855383	86HRH44V+9R	Parking Lot	Named trailhead at Oak Openings Preserve, distinct from Springbrook trailhead.		https://metroparkstoledo.com/explore-your-parks/oak-openings-preserve/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Kitty Todd Nature Preserve Main Trailhead and Parking	Trailhead	Active	Site	OH-LUC-S-228	Lucas	Spencer	Spencer	10420 Old State Line Road, Holland OH	41.6288	-83.7963	86HRJ6H3+GF	Pavilion;Restrooms;Parking Lot;Visitor Center	GPS from GIS centroid of Kitty Todd Nature Preserve (Main) smaller parcel (~5 ac, status=Open) at lat=41.6288, lon=-83.7963 — likely the office/parking parcel.		https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/kitty-todd-nature-preserve/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Kitty Todd Salamander Flats Trailhead	Trailhead	Active	Site	OH-LUC-S-228	Lucas	Harding	Harding	Kitty Todd Nature Preserve, Holland OH (separate parking area from main entrance)	41.6176	-83.8027	86HRJ59W+2W	Restrooms;Parking Lot	Separate trailhead/parking from main preserve entrance (10420 Old State Line Rd). Exact address not provided on TNC page. GPS pending acquisition pass.		https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/kitty-todd-nature-preserve/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Kitty Todd Sandhill Crane Trailhead	Trailhead	Active	Site	OH-LUC-S-228	Lucas	Harding	Harding	Kitty Todd Nature Preserve, Holland OH (separate parking area)	41.6176	-83.8027	86HRJ59W+2W	Restrooms;Parking Lot	Separate trailhead/parking from main preserve entrance. Exact address not provided on TNC page. GPS pending acquisition pass.		https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/kitty-todd-nature-preserve/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
