name	alternate_names	use_type	surface_type	origin_type	length_mi	counties	governance	partner_agencies	status	difficulty	accessibility	description	trail_history	identity_notes	notes	url_primary	maps	created_at	updated_at
Paved Bike Trail		Bicycling	Paved	Purpose-Built		Lucas	ODNR Division of Parks & Watercraft		Active			Paved bike trail at Maumee Bay State Park connecting to the City of Oregon Bike Trail.		Trail name as listed on ODNR property page.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Interpretive Boardwalk		Hiking	Boardwalk	Purpose-Built	2	Lucas	ODNR Division of Parks & Watercraft		Active		ADA accessible	Interpretive boardwalk at Maumee Bay State Park; 2 miles; ADA accessible.				https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Mouse Trail		Hiking	Natural Surface	Purpose-Built	2.5	Lucas	ODNR Division of Parks & Watercraft		Active			Mouse Trail at Maumee Bay State Park; 2.5 miles.				https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Multi-use Trail		Hiking	Natural Surface	Purpose-Built		Lucas	ODNR Division of Parks & Watercraft		Active			Multi-use trail at Maumee Bay State Park.		No length provided on source page.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Storybook Trail		Hiking	Natural Surface	Purpose-Built	0.3	Lucas	ODNR Division of Parks & Watercraft		Active			Storybook Trail at Maumee Bay State Park; 0.3 miles.				https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Irwin Prairie Boardwalk		Hiking	Boardwalk	Purpose-Built	1.25	Lucas	ODNR Division of Natural Areas & Preserves		Active		ADA accessible	"ADA-accessible boardwalk loop at Irwin Prairie State Nature Preserve; 1.25-mile loop traversing the sedge meadow, wet prairie, and wetland habitats."		"Trail name not given on source page; described as ""ADA boardwalk 1.25-mile loop."" Name ""Irwin Prairie Boardwalk"" assigned as working name for staging."		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/irwin-prairie-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/irwin-prairie-state-nature-preserve	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Campbell SNP Trail System		Hiking	Natural Surface	Purpose-Built	2.3	Lucas	ODNR Division of Natural Areas & Preserves		Active			"2.3 miles of designated hiking trails at Campbell State Nature Preserve through sedge meadow, swamp forest, sand dunes, sand barrens, mesic sand prairie and oak opening habitats."		"ODNR page lists ""2.3 miles of hiking trails"" without naming individual trails. Staged as trail system record pending named trail discovery."		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/campbell-state-nature-preserve	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/campbell-state-nature-preserve	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Magee Marsh Boardwalk		Hiking	Boardwalk	Purpose-Built		Lucas;Ottawa	ODNR Division of Wildlife		Active		accessible	Accessible boardwalk meanders through a beach ridge forested area at Magee Marsh Wildlife Area providing world-class bird-watching opportunities for migrating warblers and other songbirds. Open year-round from sunrise to sunset with restricted hours Oct-mid December during controlled waterfowl hunt.		GIS_VERIFY_COUNTY: associated with Magee Marsh WA which spans Lucas & Ottawa counties. Boardwalk location likely in Ottawa County but staged here due to multi-county property.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/magee-marsh-wildlife-area	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/magee-marsh-wildlife-area;https://ohiodnr.gov/static/documents/wildlife/wildlife-area-maps/mageemarshwildlifearea_trailmap.pdf	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Towpath Trail		Multi-Use	Crushed Stone	Canal Towpath		Lucas;Wood	Metropolitan Park District of the Toledo Area	Buckeye Trail Association	Active	Moderate	Accessible (note: some slopes exceed ADA recommendations)	"The Towpath Trail, which is part of the Buckeye Trail (marked with blue blazes), follows the remains of the Miami and Erie Canal along the old towpath where mules towed flat-bottomed boats. Trees along the trail are typical of floodplains and include cottonwood, sycamore, buckeye, basswood and walnut. Numerous red bud trees put on quite a show of pink blossoms in early May."		Part of Buckeye Trail (blue blazes). Follows remains of Miami and Erie Canal. 8.3 mi one-way total: Farnsworth to Bend View Overlook 2.2 mi; Bend View Overlook to Providence Trailhead 6.1 mi; Towpath Trailhead to Farnsworth Indianola Shelterhouse 0.5 mi. Color: Brown. Surface: native-material/crushed-stone. Bikes allowed. Shared Use. Parks: Providence + Farnsworth + Bend View. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source.		https://metroparkstoledo.com/trails/towpath-trail/	https://metroparkstoledo.com/trails/towpath-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Wabash Cannonball Trail		Multi-Use	Mixed	Rail Trail		Fulton;Henry;Lucas;Williams	Metropolitan Park District of the Toledo Area	Lucas County Commissioners; Lucas County Planning Commission; ODOT; Rails-to-Trails Conservancy	Active	Moderate	Accessible (paved portions only)	"Northwest Ohio's premier rails-to-trails project is also one of the longest in the state, stretching 64 miles through four counties and Oak Openings, Ohio's most unique natural area. The trail follows two former rail lines forming a North Fork and South Fork, which converge at Jerome Road in Maumee, near the Fallen Timbers Battlefield."		"64 miles total. North Fork: 46 mi (approx 15 mi paved), Maumee to Montpelier OH. South Fork: 17 mi (approx 10 mi paved), Maumee to Liberty Center OH. Color: Purple. Surface: hard-surface (paved portions). Bikes allowed. Multi-county: Lucas, Fulton, Williams, Henry. Connected to Fallen Timbers Battlefield and Side Cut Metropark via bike-pedestrian bridge over US-24. Tom Duvendack Mile dedicated west of Fulton-Lucas Rd."		https://metroparkstoledo.com/trails/wabash-cannonball-trail/	https://metroparkstoledo.com/trails/wabash-cannonball-trail/;https://metroparkstoledo.com/qrmaps/WabashCannonball.pdf	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
