name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Cascade Wayside Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife			Woodlands along the Auglaize River in Putnam County.	Cloverdale, OH 45827 (near SR 114 and SR 694)	36.0	Putnam	Greensburg	Greensburg Township	41.018	-84.205	86HQ2Q9W+62	Fishing Area; Hunting Area	Acreage: ODNR website 36 ac (used); SORP25 REST shows 62.78 ac across same 3 parcels — discrepancy likely reflects 2023–2025 acquisitions. SORP25 parcel IDs: 370601200000, 370601300000, 370601400000.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/cascade-wayside-wildlife-area			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Putnam County Wildlife Production Area 1	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife				SR 694, Putnam County, OH	69.14	Putnam	Union	Union Township	41.0	-84.205	86HQ2Q2W+22	Hunting Area	ODNR walk-in wildlife production area; no public amenity page. Acreage from SORP25 REST (69.14 ac); SORP2023 CSV shows 40.57 ac primary parcel — discrepancy flagged.	https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/wildlife/wildlife-management/wildlife-areas/putnam-county-wildlife-production-area-1			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Putnam County Wildlife Production Area 2	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife				RD 19-K, Putnam County, OH	71.26	Putnam	Jackson	Jackson Township	41.0	-84.275	86HQ2P2F+2X	Hunting Area	ODNR walk-in wildlife production area; no public amenity page. Acreage from SORP25 REST (71.26 ac); SORP2023 CSV shows ~51.07 ac across multiple parcels — discrepancy flagged.	https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/wildlife/wildlife-management/wildlife-areas/putnam-county-wildlife-production-area-2			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Putnam County Wildlife Production Area 3	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife				RD K-22, Putnam County, OH	71.49	Putnam	Jackson	Jackson Township	40.975	-84.23	86GQXQF9+XX	Hunting Area	ODNR walk-in wildlife production area; no public amenity page. Acreage from SORP25 REST (71.49 ac); SORP2023 CSV shows ~41.14 ac primary parcel — discrepancy flagged.	https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/wildlife/wildlife-management/wildlife-areas/putnam-county-wildlife-production-area-3			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Ottoville Quarry Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	Ohio Department of Natural Resources, Division of Wildlife	Ohio Division of Fish Hatchery (OwnerAll per SORP25)		Former quarry site managed as a state wildlife area.	RD 25-P, Putnam County, OH (near Ottoville)	12.75	Putnam	Monterey	Monterey Township	40.94	-84.342	86GQWMQ5+X6	Hunting Area	Acreage from SORP25 REST (12.75 ac); SORP2023 CSV shows 7.73 ac primary parcel — discrepancy flagged. SORP25 OwnerAll: STATE OF OHIO | FISH HATCHERY. Parcel ID: 250600900000.	https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/wildlife/wildlife-management/wildlife-areas/ottoville-quarry-wildlife-area			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Arrowhead Park	Park	Greenspace		Active	City of Ottawa	City of Ottawa				615 W Main St, Ottawa, OH 45875		Putnam	Ottawa	Ottawa	41.0182257	-84.0553962	86HQ2W9V+7R	Fishing Area; Hiking Trail; Nature Play Area; Picnic Area; Watercraft Access	Blanchard River adjacent. Co-located with Putnam Paddle Co commercial outfitter at 615 W Main St — distinct entity. Natural Play Area and canoe launch added 2023. governance_raw='Village of Ottawa' — corrected to 'City of Ottawa' (Ottawa is an incorporated city).	https://go-ottawa.com/outdoor-recreation	https://www.ottawaohio.us/2217/Recreation-On-The-Blanchard		2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
The Ottawa Reservoir	Water Site	Reservoir		Active	City of Ottawa	City of Ottawa				1972 S Agner St, Ottawa, OH 45875		Putnam	Ottawa	Ottawa	41.0115931	-84.0226281	86HQ2X6G+JW	Fishing Area; Hiking Trail; Picnic Area; Watercraft Access; Wetland	PUT-F-09 RESOLVED: Google Maps shows 'Water Works Park' (address entity) and 'Ottawa reservoir walking path' (Hiking area, 4.0★) at same location. Putnam County Library lists as 'Waterworks Park' (1972 S Agner St). Primary name: 'The Ottawa Reservoir' (per go-ottawa.com). DISTINCT from Ottawa Waterworks Park at 1035 E 3rd St. governance_raw='Village of Ottawa' — corrected to 'City of Ottawa'.	https://go-ottawa.com/outdoor-recreation			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
The Diversion Channel	Natural Area	Wetland	Protected Wetland	Active	City of Ottawa	City of Ottawa			Protected wetland with a nature trail around its perimeter, accessed off OG Road.	OG Road, Ottawa, OH		Putnam	Ottawa	Ottawa	41.052	-84.048	86HQ3X22+QQ	Hiking Trail; Wetland	GPS not available from any source — no Google Maps place card, no authoritative coordinates. GPS pending acquisition pass. governance_raw='Village of Ottawa' — corrected to 'City of Ottawa'.	https://go-ottawa.com/outdoor-recreation	https://www.go-ottawa.com/s/Diversion-Channel.pdf		2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Hall Avenue Park	Park	Neighborhood Park		Active	Village of Columbus Grove	Village of Columbus Grove			10.3-acre park with greenery, walking pathways, and ball diamonds in Columbus Grove.	208 Hall Ave, Columbus Grove, OH	10.3	Putnam	Columbus Grove	Pleasant	40.9153979	-84.0547706	86GQWW8W+53	Ball Diamond	GPS from Google Maps map verification pass (IMP-031). Description adapted from promotional source text (IMP-052 opener stripped).				2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
Continental Pond	Water Site	Pond		Active	Village of Continental	Village of Continental			Village water storage pond with approximately 19 million gallons of capacity, serving as a public fishing site.	South Main St, Continental, OH	18.0	Putnam	Continental	Riley	40.984	-83.993	86GRX2M4+JR	Fishing Area	Name normalized: source uses 'CONTINENTAL POND' (all caps) — normalized to 'Continental Pond'. GPS not available — no Google Maps place card. GPS pending acquisition pass.	https://villageofcontinental.com/parks-recreation			2026-05-09T13:54:12Z	2026-05-09T13:54:12Z
