name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Spiegel Grove State Park / Rutherford B. Hayes State Memorial	Historic Site	Historic Landmark	National Historic Landmark;National Register of Historic Places (NRHP);State Memorial;State Park	Active	State of Ohio	Ohio History Connection / Rutherford B. Hayes Presidential Library and Museums	Ohio Department of Natural Resources (state park designation)		The site of the nations first presidential library includes the 31-room Victorian mansion of the 19th U.S. president, a two-story museum, and the burial site of President Hayes and First Lady Lucy Webb Hayes, all within Spiegel Grove estate. Originally built c. 1860; expanded 1880 and 1889 to over 30 rooms and 10,000 sq ft. Wooded grounds with arboretum; deeded to State of Ohio by Col. Webb C. Hayes after presidents death in 1893.	Corner of Hayes Avenue and Buckland Avenue, Fremont, OH 43420		Sandusky	Fremont		41.341917	-83.130833	86HR8VR9+QM	Arboretum;Fire Ring;Fishing Area;Hiking Trail;Historic Marker;Historic Structure;Museum Building;Pavilion;Picnic Area;Playground;Pond	Dual designation: Ohio State Park (ODNR) and Ohio State Memorial (OHC). Managed by Hayes Presidential Center, Inc. under OHC ownership. National Historic Landmark (1964); NRHP (1966). Admission charged. No named trail confirmed from authoritative sources; secondary source cites approx. 1 mile paved trails; GaiaGPS shows zero named trails. Trail presence to be verified during GPS pass.	https://www.ohiohistory.org/visit/browse-historical-sites/hayes-presidential-library-museums/	https://www.rbhayes.org/estate/spiegel-grove/		2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Pickerel Creek Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			The majority of the acreage has been restored to wetlands with the remainder in woods, brush, and native grassland. Division of Wildlife acquired Pickerel Creek Wildlife Area in 1987. Managed as a public hunting, fishing, trapping, and wildlife observation area with emphasis on waterfowl and other wetland wildlife. Pickerel Creek flows through the western half of the area, forming a high quality freshwater estuarine habitat. One of the best shorebird areas in the state during migration. About 7 miles east of Fremont; about 8 miles north and west of Castalia.	3451 Co Rd 256, Vickery, OH 43464; between south shore of Sandusky Bay and U.S. Route 6, Townsend and Riley townships, Sandusky County		Sandusky	Townsend	Townsend	41.4161632	-82.9443582	86HVC384+F7	Marsh;Observation Deck;Parking Lot;Restrooms	Acreage discrepancy: ODNR official 3,200 ac; OOS cites 2,814 ac; use 3,200 per ODNR. Access to Sandusky Bay limited to boating down Pickerel Creek from US Route 6. Controlled waterfowl hunting; trapping rights by special drawing. Dike network and Old Vickery Road are informal trail-type features; no named trails in ODNR materials. No ODNR scenic river designation for Pickerel Creek.	https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/pickerel-creek-wildlife-area			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Ron Abraham Forest	Natural Area	Upland Forest		Active	State of Ohio	Ohio State University			OSU-owned forest property in Sandusky County, 130.8 acres. No authoritative web presence found; property known from baseline documentation only.		130.8	Sandusky	Ballville	Ballville	41.261108	-83.076188	86HR7W6F+CG		PUBLIC_UNIVERSITY_T2 - Ohio State University is a public university; natural areas are Tier 2 per sub-procedure 4.7. Acreage 130.8 ac per baseline. No OSU official web page found; not on OSU SENR or OSU Extension Sandusky County site. Public access status unknown. NEEDS_VERIFICATION - may not meet Tier 2 inclusion if no public access or formal designation. Recommend inquiry: extension.osu.edu/sandusky-county-office				2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Aldrich Pond Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			State wildlife area in Sandusky County. 39.93 acres. No information on ODNR website per baseline notation.		39.93	Sandusky	Washington	Washington	41.4490345	-83.252608	86HRCPXW+JX		NEEDS_VERIFICATION - no ODNR web page found; known only from baseline. Acreage 39.93 ac per baseline. May be a small ODNR tract without a public-facing page. Verify via ODNR Hunting Area Maps PDF or county auditor parcel records.				2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Sandusky County Wildlife Areas (ODNR numbered tracts)	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			Baseline lists up to 7 numbered ODNR Public Hunting Areas in Sandusky County (Sandusky County Wildlife Area 1 through 7). Individual names, locations, and acreages unknown. May be small ODNR-leased or owned tracts without public-facing pages.			Sandusky						Hunting Area	NEEDS_VERIFICATION - baseline lists Sandusky County Wildlife Area 1 through 7; no individual ODNR pages found. These may be wildlife agreement areas or small leased tracts. Verify via ODNR Hunting Area Maps PDF (Sandusky County entries). Each confirmed tract will need its own record at resolution. Staging as a placeholder group record pending authoritative enumeration.	https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/wildlife/documents-publications/hunting-area-maps			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Blue Heron Reserve	Conservation Area			Active	State of Ohio	Sandusky County Park District	The Nature Conservancy (donated); federal Land and Water Conservation Fund (grant)		The site is a birder's paradise with habitat supporting migrating warblers, waterfowl, and bald eagles.	2134 County Road 260, Vickery, OH 43464		Sandusky	Townsend	Townsend	41.380112	-82.937676	86HV93J6+2W	Bird Viewing Area;Marsh	Part of Lake Erie Birding Trail. No named trails listed. Birding/wildlife observation primary use.	https://www.lovemyparks.com/parks/blue-heron-reserve			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Christy Farm Nature Preserve	Nature Preserve	County Nature Preserve		Active	State of Ohio	Sandusky County Park District			Named after the Christy Family, who established the Christy Knife Company in 1891 in Fremont, Ohio, this 151-acre property consists of woodlands and wetland areas.	2020 Old Oak Harbor Road, Fremont, OH 43420	151	Sandusky	Sandusky	Sandusky	41.365849	-83.136703	86HR9V87+88	Cabin Rentals;Hiking Trail	Walking paths along Muskellunge Creek present; no named trails. Youth cabin rentals available.	https://www.lovemyparks.com/parks/christy-farm-nature-preserve			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Creek Bend Farm	Conservation Area			Active	State of Ohio	Sandusky County Park District			Located along the banks of Muddy Creek, Creek Bend Farm is home to the Wilson Nature Center and the Homestead House. Visitors can experience this 310-acre property on over two miles of trails travelling through riparian, field, and woodland habitats as well as active farm land.	720 South Main Street, Lindsey, OH 43442	310	Sandusky	Washington	Washington	41.410524	-83.221298	86HRCQ6H+6F	Bird Viewing Area;Nature Center;Spring;Stream Segment	"Wilson Nature Center is identity-bearing internal feature; may warrant child Site. 2+ miles of trails present; no individual trail names stated on SCPD website. Note: baseline listed as ""has nature center."""	https://www.lovemyparks.com/parks/creek-bend-farm	https://www.lovemyparks.com/parks/creek-bend-park/wilson-nature-center;https://www.lovemyparks.com/parks/creek-bend-park/homestead-house		2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Decoy Marsh	Conservation Area			Active	State of Ohio	Sandusky County Park District			Previously a private hunt club, this 67-acre property consists of wetlands and diked marsh areas. Bordered by privately owned conservation lands and Green Creek this area is an important part of the Lake Erie marshes and is an excellent area for spring birding.	2700 County Road 259, Fremont, OH 43420	67	Sandusky	Fremont		41.349385	-83.154789	86HR8RXW+Q3	Bird Viewing Area;Marsh;Spring	"Program use only; opens during May for spring migration only. Not generally open to public. URL on SCPD site contains typo ""decoy-march"" (correct: ""decoy-marsh"")."	https://www.lovemyparks.com/parks/decoy-march			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
Don W. Miller Memorial Park	Park		State Scenic River	Active	State of Ohio	Sandusky County Park District	Black Swamp Conservancy (donated)		Located on the Sandusky River adjacent to the Blue Banks. The portion of river holds state scenic designation. Donated by Black Swamp Conservancy. Renamed in 2023 to honor Don W. Miller (founder of Miller Pipeline and Miller Cable Company). Renovations funded by donations totaling $500,000+.	1329 Tiffin Street, Fremont, OH 43420		Sandusky	Ballville	Ballville	41.331177	-83.123317	86HR8VJG+FM	Bird Viewing Area;Fishing Area;Hiking Trail	Formerly known as River Cliff Park. Renamed April 27, 2023. Located on Sandusky State Scenic River. Hiking trails present; no individual trail names stated. Also serves as SCPD administrative HQ. This is a different park than Wolf Creek Park.	https://www.lovemyparks.com/parks/don-w-miller-memorial-park			2026-05-22T19:46:18Z	2026-05-22T19:46:18Z
