site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-MC-S-0001	Wayne National Forest - Ironton Unit	Natural Area			Active	United States federal government	USDA Forest Service, Wayne National Forest, Ironton Ranger District			Ohio's only national forest; the Ironton Unit is the southernmost of three units. Over two-thirds of unit acreage falls in Lawrence County, where the primary developed recreation areas are located (Lake Vesuvius Recreation Area, Hanging Rock OHV Trail System). The Scioto County portion consists of dispersed non-contiguous federal parcels used for dispersed hiking, hunting, and wildlife habitat.	Ironton Ranger District; ranger station at Pedro, Ohio; Scioto County parcels are dispersed across the county	107090.0	Gallia;Jackson;Lawrence;Scioto			38.609158	-82.648099	86CVJ952+MQ	Fishing Area;Bridle Trail;Mountain Bike Trail;Hunting Area;Camping;Wildlife Observation Area	Multi-county entity; Scioto County is one of four counties in the Ironton Unit. The unit is a non-contiguous 'checkerboard' pattern of federal ownership mixed with private land. No specific named recreation sites confirmed within Scioto County parcels from web research; Lake Vesuvius (143 ac lake, campgrounds, beach, 25+ mi hiking, 46-mi horse trails) and Hanging Rock OHV (26 mi) are in Lawrence County; Symmes Creek trail system is in Gallia County. WNF website blocked during discovery — Scioto County trail inventory incomplete, flagged for verification. OHV trail system present (Hanging Rock OHV in Lawrence County; Scioto County OHV inventory unconfirmed). Dispersed camping permitted on National Forest lands.		https://www.fs.usda.gov/r09/wayne;https://www.fs.usda.gov/r09/wayne/recreation/ironton-ranger-district-ironton-area-0	
OH-SC-S-0002	Alum Rock										Scioto County, Ohio		Scioto							GNIS feature type: Pillar (natural rock formation or prominent rock outcrop). Federally recognized geographic name. GPS coordinates not confirmed through available web sources during discovery — GNIS database and USGS topo viewer blocked. Land ownership and management entity unknown; may be on private land, state forest, or national forest. Flagged for GPS acquisition and ownership verification.			
OH-SC-S-0003	High Rock				Active					Natural rock pillar at approximately 781 feet elevation.	USGS Greenup topographic quad, Scioto County, Ohio; near Ohio River		Scioto		Green	38.588413	-82.797389	86CVH6Q3+92		GNIS feature type: Pillar (natural rock formation). Federally recognized geographic name. GPS 38.5884126 N, -82.7973891 W from hometownlocator.com citing GNIS; elevation ~781 ft (238 m); on USGS Greenup topographic quad. Location is near Ohio River — Greenup quad covers both Ohio and Kentucky sides of river; Ohio county attribution per GNIS record. Land ownership and management entity unknown. GNIS feature ID: 1076045 (per hometownlocator URL).		https://ohio.hometownlocator.com/maps/feature-map,ftc,1,fid,1076045,n,high rock.cfm;https://www.mountainzone.com/mountains/ohio/scioto-oh/pillar/high-rock-30/	
OH-MC-S-0002	Shawnee State Forest	Natural Area			Active	State of Ohio	Ohio Department of Natural Resources, Division of Forestry	Shawnee Bridle Club (trail maintenance partnership)		Ohio's largest state forest, in the Appalachian foothills near the Ohio River. Nicknamed 'The Little Smokies' for its rugged terrain and fog-filled hollows. Contains approximately 8,000 acres of designated wilderness — the largest contiguous wilderness in Ohio. Managed for timber, recreation, and wildlife habitat. Contains the Shawnee Backpack Trail (40+ mi, includes Buckeye Trail and North Country Trail segments), 60+ miles of bridle trails, mountain bike trails, and numerous day hiking trails.	13291 US-52, West Portsmouth, Ohio 45663; Scioto and Adams counties; western Appalachian foothills	63747.0	Adams;Scioto		Nile	38.703268	-83.088892	86CRPW36+8C	Bridle Trail;Mountain Bike Trail;Fishing Area;Camping;Wildlife Observation Area;Wilderness Area	Largest state forest in Ohio. Entity encompasses Shawnee State Forest management unit; Shawnee State Park (SC-S-0005 pending) is a separate 1,095-acre ODNR Parks unit adjacent to and surrounded by the Forest, administered by a different ODNR division. Child historic sites: CCC Memorial to Company 1545 (Ohio Historic Site #50, SC-S-0009 pending) and Copperhead Fire Tower (Ohio Historic Site #6, SC-S-0010 pending). Wilderness: approximately 8,000-acre designated wilderness area is the largest contiguous wilderness in Ohio. Horsemen's camp: 20-site facility near Bear Lake on State Forest Service Road 6. Mountain bike trails confirmed to exist at Shawnee State Forest (Trailforks page for 'Shawnee State Forest, West Portsmouth Mountain Biking Trails') but specific named trails not confirmed from web search — flagged PENDING VERIFICATION. GPS is headquarters reference point (38.7032684, -83.0888916) at 13291 US-52, West Portsmouth, OH 45663 — forest spans two counties; no meaningful centroid exists. GPS confirmed via Google Maps. Primary county: Scioto (county of record for forest headquarters and majority of use). Scioto County Shawnee Bridge to Bridge Route: 36-mile shared-roadway bicycle route from Otway Covered Bridge to Mackletree Bridge passing through portions of the forest — assess for Trail entity at Tier 8 or note. Hiking Trails present (see trail_parents). Horseback riding and dispersed camping permitted throughout the forest. Horsemen's campground: 20-site facility near Bear Lake.		https://forestry.ohiodnr.gov/shawnee;https://www.backpackohio.com/trails/shawnee-state-forest-backpack-trail/;https://www.sohiotrails.org/trails/shawnee-backpacking-trail/;https://www.trailforks.com/region/shawnee-state-forest-36317/	
OH-SC-S-0005	Shawnee State Park	Park			Active	State of Ohio	Ohio Department of Natural Resources, Division of Parks and Watercraft			Nestled within Shawnee State Forest.	4404 OH-125, West Portsmouth, Ohio 45663; surrounded by Shawnee State Forest	1095.0	Scioto		Nile	38.739795	-83.203587	86CRPQQW+WH	Hiking Trail;Lodge;Marina;Camping;Fishing Area;Boat Ramp;Disc Golf Course;Mini Golf;Lake	GPS confirmed via Google Maps (38.7397953, -83.2035869); address: 4404 OH-125, West Portsmouth, OH 45663. Acreage discrepancy: baseline records 1,163 ac; AllTrails and park literature show 1,095 ac; both figures preserved. Shawnee State Park is distinct from Shawnee State Forest (SC-S-0004) and is administered by ODNR Division of Parks and Watercraft (not Division of Forestry). The Shawnee Backpack Trail (SC-T-0001) traverses both units. Day hiking trails within the park boundary (Lampblack, Park Loop, Knighton, Lookout, Campground Loop) are separate Trail entities (SC-T-0002 through SC-T-0006). Golf course closed 2019; area repurposed for Black Bear Disc Golf Course. Campground opened 2023 — new facility not in pre-2023 documentation. Shawnee Lodge: 50 rooms. Marina: 72 docks on Ohio River. Two lakes: Roosevelt Lake and Turkey Creek Lake (68 ac total). Campground opened 2023.		https://parks.ohiodnr.gov/shawnee;https://dam.assets.ohio.gov/image/upload/ohiodnr.gov/documents/parks/parkmaps/shawneeparkmap.pdf	
OH-SC-S-0006	Gladys Riley Golden-star State Nature Preserve	Nature Preserve			Active	Arc of Appalachia (fee ownership of larger 230-acre parcel)	Ohio Department of Natural Resources, Division of Natural Areas and Preserves (state nature preserve designation); Arc of Appalachia (on-the-ground management)	Arc of Appalachia	State-private partnership: ODNR designates and oversees SNP; Arc of Appalachia owns land and manages preserve	Protects golden star lily (Erythronium rostellatum), an Ohio Threatened species — one of the finest examples of this rare wildflower community in the state. The ODNR state nature preserve designation covers 186 acres within the larger 230-acre Arc of Appalachia preserve. Features a floodplain trail and an oak-hickory hillside trail.	Tick Ridge-Koenig Hill Rd, Otway, Ohio 45657; Scioto County, Ohio	186.0	Scioto		Brush Creek	38.85062	-83.201882	86CRVQ2X+66	Hiking Trail	GPS confirmed via Google Maps (38.8506197, -83.2018817); access via Tick Ridge-Koenig Hill Rd, Otway, OH 45657. Dual-record entity: this record represents the ODNR state nature preserve designation (186 acres). The Arc of Appalachia owns the full 230-acre parcel, recorded separately as 'Gladys Riley Golden Star Lily Preserve' at Tier 8. The 44-acre difference reflects a 2015 Arc of Appalachia acquisition of 118 adjacent acres; the ODNR SNP boundary was set at 186 ac prior to that expansion and has not been revised to encompass the full Arc parcel. These are not duplicate records: ODNR manages the conservation designation; Arc manages the land. Acreage discrepancy documented per pre-discovery analysis. Two trails confirmed: floodplain trail (lower) and oak-hickory hillside trail (upper). Permit required — contact ODNR DNAP. Rare plant species: golden star lily (Ohio Threatened). Spring wildflowers documented.		https://naturepreserves.ohiodnr.gov/gladysriley;https://arcofappalachia.org/gladys-riley-golden-star-lily-preserve/	
OH-SC-S-0007	Raven Rock State Nature Preserve	Nature Preserve			Active	State of Ohio	Ohio Department of Natural Resources, Division of Natural Areas and Preserves			Dramatic Mississippian sandstone landscape featuring three natural arches (largest span approximately 10 feet) and an overlook approximately 500 feet above the valley floor — identified as the tallest known natural overlook in Ohio. A 1.25-mile one-way hiking trail provides access. Home to the potentially threatened blackjack oak (Quercus marilandica) and the state endangered small-flowered scorpion weed (Phacelia dubia). Dedicated as a state nature preserve in 1996.	Scioto County, Ohio	95.0	Scioto		Washington	38.71866	-83.054733	86CRPW9W+F4	Hiking Trail;Natural Arch;Overlook (natural);Rock Outcrop	GPS confirmed via Google Maps (38.7186598, -83.0547332). Acres corrected to 95 from ODNR sources (permit access page lists 95; ODNR Natural Arches page cites 1996 dedication at 95 ac; prior secondary source had 98). Dedicated 1996 (not 1993 as noted in some secondary sources). Mississippian sandstone bedrock. Three natural arches; largest ~10-ft span. 500-ft overlook — tallest known in Ohio. Rare species confirmed from ODNR page: blackjack oak (Quercus marilandica, potentially threatened) and small-flowered scorpion weed (Phacelia dubia, state endangered). Natural features: Unique Geology, Wildflowers, Woods. 1 named hiking trail per ODNR page. Permit required — contact ODNR DNAP. ODNR URL updated to new format (ohiodnr.gov/go-and-do/...). ODNR also maintains a page for 'Raven Rock Arch' — assess whether separate child Site entity or feature page for same preserve before creating child record. Rare plant species: blackjack oak (potentially threatened) and small-flowered scorpion weed (state endangered). Three natural sandstone arches; 500-ft overlook — tallest known in Ohio.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/raven-rock-state-nature-preserve	
OH-SC-S-0008	Scioto Brush Creek State Nature Preserve	Nature Preserve			Active	State of Ohio	Ohio Department of Natural Resources, Division of Natural Areas and Preserves			Protects exceptional aquatic biodiversity and riparian habitat on Scioto Brush Creek. The creek supports over 70 fish species including longnose gar and rosyside dace. Features mature trees, spring wildflowers, and rare species. The broader Scioto Brush Creek was designated Ohio's 17th State Scenic River in November 2025.	Tatman-Coe Rd, McDermott, Ohio 45652; within the Scioto Brush Creek watershed, Scioto County	30.0	Scioto		Union	38.841431	-83.09496	86CRRWR4+H2		GPS confirmed via Google Maps (38.8414307, -83.0949596); access via Tatman-Coe Rd, McDermott, OH 45652. ODNR preserve page blocked during discovery; acreage (30 ac) and permit-only status confirmed from secondary sources. New facilities reference per ODNR news post — details unavailable due to page block; may include parking, signage, or trail infrastructure. Scioto Brush Creek State Nature Preserve (this record) is distinct from Scioto Brush Creek State Scenic River (SC-S-0012 pending): the SNP is a 30-acre land parcel; the Scenic River is a 25.1-mile water corridor designation, both managed by ODNR DNAP. Permit required for access. Ecological character: aquatic biodiversity, rare species, spring wildflowers, mature trees. Nature study use documented.		https://naturepreserves.ohiodnr.gov/sciotobrushcreek;https://naturepreserves.ohiodnr.gov/natural-areas-preserves-home/post/new-facilities-at-scioto-brush-creek-state-nature-preserve	
OH-SC-S-0009	CCC Memorial to Company 1545	Historic Site				State of Ohio	Ohio Department of Natural Resources, Division of Forestry (within Shawnee State Forest)			Ohio Historic Site #50. Commemorates CCC Company 1545, which performed conservation and forest development work in Shawnee State Forest during the New Deal era of the 1930s.	Within Shawnee State Forest, Scioto County, Ohio		Scioto						Monument;Interpretive Exhibit	ODNR Historic Site #50. Parent entity: Shawnee State Forest (SC-S-0004 pending). Child site of the forest; no independent public access point — accessed via Shawnee State Forest road system. CCC Company 1545 performed Depression-era conservation work at Shawnee; the memorial commemorates their contribution. Exact location within the forest not confirmed from web research — GPS flagged for acquisition. No dedicated ODNR web page found during discovery.			
OH-SC-S-0010	Copperhead Fire Tower	Historic Site			Active	State of Ohio	Ohio Department of Natural Resources, Division of Forestry (within Shawnee State Forest)			Ohio Historic Site #6. Ohio's first fire lookout tower, a 60-foot steel structure constructed in 1924 at an elevation exceeding 1,200 feet. Affords a 360-degree panoramic view of Shawnee State Forest and the Ohio River valley. Restored and open for climbing at visitors' own risk. Listed on the National Historic Lookout Register.	Copperhead Hill, State Forest Service Road 6, West Portsmouth, Ohio 45663; within Shawnee State Forest		Scioto		Union	38.772609	-83.171484	86CRQRFH+2C	Fire Tower;Scenic View	GPS confirmed via Google Maps (38.7726088, -83.1714841); West Portsmouth, OH 45663 (within Shawnee State Forest on State Forest Service Road 6). ODNR Historic Site #6. Parent entity: Shawnee State Forest (SC-S-0004 pending). First fire tower in Ohio (1924); 60-foot steel construction. Copperhead Hill elevation >1,200 ft. National Historic Lookout Register confirmed. Tower restored and re-opened; visitors may climb at own risk. The named AllTrails trail 'Copperhead Firetower and Bear Lake' (SC-T-0009) provides access to this site from a trailhead within the forest. Tower was restored and re-opened; visitors may climb at own risk.		https://www.alltrails.com/trail/us/ohio/copperhead-firetower-and-bear-lake	
