Access Point ID	Name	AP Type	Status	Parent Entity Type	Parent Entity ID	County	Township	Municipality	Address	GPS Lat	GPS Lon	Plus Code	Features	Identity Notes	Notes	URL
OH-WA-AP-0001	Shreve Lake Boat Launch	Boat Launch	Open	Site	OH-WA-S-0003	Wayne		Shreve	Township Rd 316, near Brown Rd, Shreve, Ohio	40.68314	-82.04612	8MGV55J4+HX	Boat ramp; vehicle/trailer parking; ODNR-managed			https://ohiodnr.gov/go-and-do/hunt-fish/wildlife-areas/shreve-lake-wildlife-area
OH-WA-AP-0002	Shreve Lake Fishing Pier	Fishing Access	Open	Site	OH-WA-S-0003	Wayne		Shreve	Township Rd 316, SE corner of Shreve Lake, Ohio	40.68314	-82.04612	8MGV55J4+HX	Fishing pier; ODNR-managed			https://ohiodnr.gov/go-and-do/hunt-fish/wildlife-areas/shreve-lake-wildlife-area
OH-WA-AP-0003	Killbuck Marsh — Carrie Lane Parking Area	Parking Area	Open	Site	WA-S-0045	Wayne			End of Carrie Lane, Wayne County	40.671349	-81.966247	8MGVV5J5+RR	Primitive pull-off; unpaved; hunting/wildlife access		GPS-APPROXIMATE — primitive pull-off not Maps-indexed; area coordinate used.	https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/hunt-fish/wildlife-areas/killbuck-marsh
OH-WA-AP-0004	Killbuck Marsh — Wright Marsh Parking Area	Parking Area	Open	Site	WA-S-0045	Wayne			OH-226 / Shreve Rd, Wayne County	40.671349	-81.966247	8MGVV5J5+RR	Primitive pull-off; OH-226 roadside; hunting/wildlife access		GPS-APPROXIMATE — primitive pull-off not Maps-indexed; area coordinate used.	https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/hunt-fish/wildlife-areas/killbuck-marsh
OH-WA-AP-0005	Barnes Preserve Main Entrance — Romich Pavilion Parking	Trailhead/Parking	Open	Site	OH-WA-S-0004	Wayne		Wooster	3396 Sylvan Rd, Wooster, Ohio	40.781233	-81.89694	8MGWQ4J3+F6	Paved parking lot; pavilion; trailhead kiosk			https://www.waynecountyparkdistrict.org/barnes-preserve
OH-WA-AP-0006	Chippewa Township Nature Preserve — Galehouse Road Entrance	Trailhead/Parking	Open	Site	OH-WA-S-0006	Wayne	Chippewa Township	Doylestown	17500 Galehouse Road, Doylestown, Ohio 44230	40.6624	-81.7025	8MGVXR8H+22	Parking; trailhead; pavilion reservation through township office		GPS-APPROXIMATE — address geocode.	http://www.chippewatwp.com
OH-WA-AP-0007	Wooster Memorial Park — Silver Road Main Entrance	Trailhead/Parking	Open	Site	OH-WA-S-0007	Wayne		Wooster	5197 Silver Road, Wooster, Ohio	40.813192	-82.027884	8MGVRX9G+VF	Primary parking lot; trailhead kiosk; vault toilet			https://www.woosteroh.com/parks/wooster-memorial-park
OH-WA-AP-0008	Wooster Memorial Park — Kenwood Acres ADA Entrance	Trailhead/Parking	Open	Site	OH-WA-S-0007	Wayne		Wooster	Kenwood Acres area, Wooster, Ohio	40.811392	-82.020704	8MGVRX9G+26	ADA-accessible parking; 1-mile ADA trail access; opened 2018			https://www.woosteroh.com/parks/wooster-memorial-park
OH-WA-AP-0009	Robert Brooker Nature Preserve — Heartland Trail Trailhead	Trailhead/Parking	Open	Site	OH-WA-S-0039	Wayne		Marshallville	Euclid St, Marshallville, Ohio	40.90068	-81.727749	8MGWV5J5+GC	Trailhead; bike rack; interpretive sign and map; Heartland Trail connection			https://waynecountytrails.org/existing-trails/
OH-WA-AP-0010	County Line Trail — Rittman Trailhead	Trailhead/Parking	Open	Trail	OH-WA-T-0009	Wayne		Rittman	Ohio St (near The Depot restaurant), Rittman, Ohio	40.971878	-81.776918	8MGWX694+55	Paved parking lot; trail kiosk; near The Depot restaurant			https://waynecountytrails.org/existing-trails/
