site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-WA-S-0001	Brown's Lake Bog State Nature Preserve	Nature Preserve	Bog	State Nature Preserve	Open	Ohio Department of Natural Resources (ODNR) — Division of Natural Areas and Preserves	Ohio DNAP			Designated State Nature Preserve protecting a glacial bog ecosystem with rare sphagnum moss, pitcher plants, sundews, and bog rosemary surrounding Brown's Lake.	Brown Rd, approximately 2 miles west of Shreve, Wayne County, Ohio		Wayne			40.682973	-82.067569	8MGV54GH+JJ	Glacial bog; sphagnum moss; pitcher plants (Sarracenia purpurea); sundews; bog rosemary; rare orchids; Brown's Lake; viewing platform; permit required for access	Access by permit only — contact Ohio DNAP. Wayne County portion only.	https://ohiodnap.gov/site/browns-lake-bog		
OH-WA-S-0002	Johnson Woods State Nature Preserve	Nature Preserve	Old-Growth Forest	State Nature Preserve	Open	Ohio Department of Natural Resources (ODNR) — Division of Natural Areas and Preserves	Ohio DNAP			One of the largest remaining old-growth forests in Ohio, featuring ancient white and red oaks up to 500 years old in a glacially flattened landscape.	13240 Fox Lake Rd, Marshallville, Wayne County, Ohio 44644		Wayne	Marshallville		40.888626	-81.744192	8MGWX5M4+GG	Old-growth forest; white oak; red oak; trees 300-500 years old; 1-mile boardwalk trail; interpretive signage; no pets; no bikes; dawn to dusk	One of the finest old-growth forest remnants in the Midwest.	https://ohiodnap.gov/site/johnson-woods		
OH-WA-S-0003	Shreve Lake Wildlife Area	Wildlife Area	Lake/Wetland		Open	Ohio Department of Natural Resources (ODNR) — Division of Wildlife	Ohio Division of Wildlife			State wildlife area centered on Shreve Lake, managed primarily for waterfowl hunting and fishing, with boat launch and fishing pier access.	Critchfield Rd and Brown Rd, near Shreve, Wayne County, Ohio		Wayne	Shreve		40.682994	-82.044038	8MGV55J4+MX	Shreve Lake; waterfowl hunting; fishing; boat launch; fishing pier; open to public hunting and fishing per ODNR regulations	Hunting seasons apply. Check ODNR for current regulations.	https://ohiodnr.gov/go-and-do/hunt-fish/wildlife-areas/shreve-lake-wildlife-area		
OH-WA-S-0004	Barnes Preserve	Nature Preserve	Woodland/Wetland		Open	Wayne County Park District	Wayne County Park District		Wayne County Park District, 3376 Shreve Rd (Sylvan Rd), Wooster	76-acre preserve featuring mixed woodland and wetland habitats along Killbuck Creek, with two named trail loops and Koehler's Pond.	3396 Sylvan Rd, Wooster, Wayne County, Ohio	76.0	Wayne	Wooster		40.781233	-81.89694	8MGWQ4J3+F6	76 acres; mixed woodland; wetland; Killbuck Creek; Koehler's Pond; two trail loops; interpretive signage; parking; open dawn to dusk		https://www.waynecountyparkdistrict.org/barnes-preserve		
OH-WA-S-0005	Koehler's Pond	Natural Feature	Pond/Wetland		Open	Wayne County Park District	Wayne County Park District (child site within Barnes Preserve)			Named wetland pond within Barnes Preserve, accessible via Casey's Trails, with an accessible observation deck overlooking the pond and its wildlife.	Within Barnes Preserve, 3396 Sylvan Rd, Wooster, Ohio		Wayne	Wooster		40.781233	-81.89694	8MGWQ4J3+F6	Wetland pond; accessible observation deck; turtles; frogs; aquatic life; wildlife hydration source	Flag N-001: routed as Site (named natural feature destination, not access point).	https://www.waynecountyparkdistrict.org/barnes-preserve		OH-WA-S-0004
OH-WA-S-0006	Chippewa Township Nature Preserve	Nature Preserve	Woodland/Riparian		Open	Chippewa Township	Chippewa Township	Chippewa-Rogues Hollow Historical Society	Darlene Smith, Chippewa Township office, 330-658-2112	24-25 acre township-owned nature preserve in the Rogues Hollow area, featuring Silver Creek riparian corridor, woodland trails, pavilion, and the Chidester Mill historical museum.	17500 Galehouse Road, Doylestown, Wayne County, Ohio 44230	24.5	Wayne	Doylestown	Chippewa Township	40.6624	-81.7025	8MGVXR8H+22	24-25 acres; Silver Creek; riparian corridor; woodland trails; pavilion; picnic area; Chidester Mill replica museum; ~200-year-old sycamore; pond/mill race site; dawn to dusk	Also referenced as 'Chippewa Rogues Hollow Nature Preserve and Historical Park'. GPS approximate — address geocode, no Maps pin.	http://www.chippewatwp.com		
OH-WA-S-0007	Wooster Memorial Park	Park	Natural/Woodland Park		Open	City of Wooster	City of Wooster (Public Properties Maintenance Division)	Friends of Wooster Memorial Park	City of Wooster Parks Dept, 1151 Mechanicsburg Rd, 330-263-5275	422-acre city natural area featuring primitive woodland, steep ravines, and 11.6 miles of named foot trails. City-designated permanent natural area. Also known as Spangler Park.	5197 Silver Road, Wooster, Ohio; intersection of Silver Road and North Jefferson Road	422.0	Wayne	Wooster		40.811007	-82.023044	8MGVRX8G+CF	422 acres; primitive woodland; steep ravines; Rathburn Run; 11.6 miles foot trails; Spangler Trail 1.5mi; Outer Trail; Old Field Trail 0.5mi; Education Trail 0.9mi; Trillium Trail; Strock Trail 0.4mi; Kenwood Trail 0.8mi; Hartman Trail 0.2mi; Sassafras Trail 0.6mi; ADA-accessible Kenwood Acres section (1 mile); vault toilet; pavilions; spring wildflowers; foot traffic only	Foot traffic only — no bikes, horses, motorized vehicles.	https://www.woosteroh.com/parks/wooster-memorial-park	https://www.friendsofwmp.com/;https://www.woosteroh.com/sites/default/files/WMP-Trail-Map-2-22-2016.pdf	
OH-WA-S-0008	Oak Hill Park	Park	Natural/Woodland Park		Open	City of Wooster	City of Wooster			100-acre park with paved accessible trail, prairie restoration area, and woodland habitat.	Wooster, Ohio	100.0	Wayne	Wooster		40.836059	-81.955606	8MGWQ8CF+JP	100 acres; paved trail 1.7mi; prairie restoration; woodland; 2 van-accessible parking spaces; ADA accessible		https://www.woosteroh.com/parks		
OH-WA-S-0009	Freedlander Park	Park	Community Park		Open	City of Wooster	City of Wooster			Large multi-use park with disc golf, swimming pool, the historic Chalet, and recreation facilities.	Wooster, Ohio		Wayne	Wooster		40.838412	-81.935627	8MGWQ9G4+VQ	Disc golf; swimming pool; Chalet; multi-use recreation		https://www.woosteroh.com/parks		
OH-WA-S-0010	Christmas Run Park	Park	Community Park		Open	City of Wooster	City of Wooster			Wooster park with swimming pool, playground, 7 pavilions, and hiking trails.	Wooster, Ohio		Wayne	Wooster		40.806486	-81.9467	8MGWP8HH+VF	Pool; playground; 7 pavilions (reservable); hiking trails		https://www.woosteroh.com/parks		
OH-WA-S-0011	Grosjean Park	Park	Natural/Riparian Park		Open	City of Wooster	City of Wooster			Rustic park along Apple Creek with trout stocking, accessible education trail, and riparian habitat.	Wooster, Ohio		Wayne	Wooster		40.792605	-81.928697	8MGWP6QH+MV	Rustic; Apple Creek; trout-stocked; accessible education trail; riparian habitat		https://www.woosteroh.com/parks		
OH-WA-S-0012	Walton Woods Park	Park	Natural/Woodland Park		Open	City of Wooster	City of Wooster			Rustic woodland park. Potential wildflower sanctuary — needs field verification.	Wooster, Ohio		Wayne	Wooster		40.810102	-81.962528	8MGWP8HG+44	Rustic woodland; potential wildflower sanctuary		https://www.woosteroh.com/parks		
OH-WA-S-0013	Diller Park	Park	Natural/Woodland Park		Open	City of Wooster	City of Wooster			Rustic Wooster park.	Wooster, Ohio		Wayne	Wooster		40.814196	-81.938734	8MGWQ84H+M2	Rustic		https://www.woosteroh.com/parks		
