site_id	site_name	site_type	managing_entity	address	city	state	zip	county	acreage	description	operating_hours	contact_phone	contact_email	website	public_access	fee_required	accessibility_features	activities	amenities	natural_features	
WC-STATE-001	Wood County Wildlife Area 1	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-002	Wood County Wildlife Area 2	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-004	Wood County Wildlife Area 4	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-005	Wood County Wildlife Area 5	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access. New for 2025 controlled hunting	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-006	Wood County Wildlife Area 6	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-007	Wood County Wildlife Area 7	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-008	Wood County Wildlife Area 8	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-009	Wood County Wildlife Area 9	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-010	Wood County Wildlife Area 10	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Small unmarked hunting area managed for wildlife habitat and hunting access. Map available online	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-011	Bairdstown Wildlife Production Area	State Wildlife Area	ODNR Division of Wildlife			OH		Wood County		Wildlife production area managed for wildlife habitat and hunting access	Dawn to dusk	614-265-6300		wildohio.gov	Yes	No		"Hunting, Wildlife Viewing"			"Wetlands, Woodlands"
WC-STATE-012	Mary Jane Thurston State Park	State Park	ODNR Division of Parks & Watercraft	24698 State Route 65	Grand Rapids	OH	43522	Wood County (Wood and Henry)	105	"Maumee River access with camping, trails, Miami and Erie Canal remnants, and disc golf"	7am to dark daily	419-832-7662		parks.ohiodnr.gov	Yes	No	"Accessible campsites, trails"	"Camping, Hiking, Disc Golf, Fishing, Boating"	"39 campsites (16 tent, 23 electric), Day lodge (50 capacity), Boat launch, Marina"	"Maumee River, Canal remnants, 6 miles trails"	
WC-STATE-013	Fort Meigs State Memorial	Historic Site	Ohio History Connection	29100 West River Road	Perrysburg	OH	43551	Wood County	65	"Reconstructed War of 1812 fort, National Historic Landmark with museum and educational programs"	"Wed-Sat 9:30am-5pm, Sun 12-5pm (Apr-Nov)"	419-874-4121		fortmeigs.org	Yes	"Yes ($12 adults, $10 seniors, $7 students)"	Accessible facilities	"Historic Tours, Educational Programs, Reenactments"	"Museum, Visitor Center, Reconstructed Fort (10 acres)"	"Maumee River, Historic battlefield"	
WC-COUNTY-001	Adam Phillips Pond	County Park	Wood County Park District	13660 County Home Road	Bowling Green	OH	43402	Wood County		"Fishing pond created from I-75 construction borrow pit, stocked for anglers"	March-October annually	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible fishing	Fishing	"Parking, Stocked pond"	Pond	
