Unit_Nm,EsmtHldr,d_Own_Name,d_Mang_Name,GAP_Sts,d_GAP_Sts,GIS_Acres,Pub_Access,d_Pub_Access,Des_Tp,d_Des_Tp,NCED_UID,Duration
Farm Service Agency Interest Of Oh,FWS,Private,U.S. Fish and Wildlife Service,"2",2 - managed for biodiversity - disturbance events suppressed,5,XA,Closed,CONE,Conservation Easement,,
Farm Service Agency Interest Of Oh,FWS,Private,U.S. Fish and Wildlife Service,"2",2 - managed for biodiversity - disturbance events suppressed,0,XA,Closed,CONE,Conservation Easement,,
Farm Service Agency Interest Of Oh,FWS,Private,U.S. Fish and Wildlife Service,"2",2 - managed for biodiversity - disturbance events suppressed,1,XA,Closed,CONE,Conservation Easement,,
Farm Service Agency Interest Of Oh,FWS,Private,U.S. Fish and Wildlife Service,"2",2 - managed for biodiversity - disturbance events suppressed,14,XA,Closed,CONE,Conservation Easement,,
Farm Service Agency Interest Of Oh,FWS,Private,U.S. Fish and Wildlife Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Allen, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,117,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Allen, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,71,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,224,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Auglaize, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,236,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Brown, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,143,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,202,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,219,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,304,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,153,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,175,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,240,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,289,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,551,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,153,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,91,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,99,XA,Closed,AGRE,Agricultural Easement,,UNK
