OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
1,Fairfield,0420388440,39045-0420388440,,,,,,TRANSPORTATION,0.154725746945255,
2,Fairfield,0460121600,39045-0460121600,,,,,,NATURAL RESOURCES,0.0774834404421094,
3,Guernsey,000000000000,39059-000000000000,,,,,,MWCD,0.3937269049887,
4,Guernsey,080002058000,39059-080002058000,,,,,,NATURAL RESOURCES,49.5101205730629,
5,Guernsey,080002085000,39059-080002085000,,,,,,NATURAL RESOURCES,29.9503941112571,
6,Guernsey,110003216001,39059-110003216001,,,,,,ROW,0.186437273310957,
7,Guernsey,130000403000,39059-130000403000,,,,,,NATURAL RESOURCES,78.9496925722245,
8,Guernsey,130000420000,39059-130000420000,,,,,,NATURAL RESOURCES,15.067256829483,
9,Guernsey,140000019000,39059-140000019000,,,,,,NATURAL RESOURCES,84.2919670467452,
10,Guernsey,180000957000,39059-180000957000,,,,,,TRANSPORTATION,0.323999004337921,
11,Guernsey,180001118000,39059-180001118000,,,,,,NATURAL RESOURCES,0.0022956117554615,
12,Guernsey,180001136000,39059-180001136000,,,,,,ROW,0.00229560071019578,
13,Guernsey,180001151000,39059-180001151000,,,,,,NATURAL RESOURCES,11.8799517682641,
14,Guernsey,310000362000,39059-310000362000,,,,,,MWCD,0.00229574742348082,
15,Guernsey,310001119000,39059-310001119000,,,,,,MWCD,0.309987384048571,
16,Guernsey,310001137000,39059-310001137000,,,,,,MWCD,0.307210570865246,
17,Guernsey,310001154000,39059-310001154000,,,,,,MWCD,0.316347368304906,
18,Guernsey,310001170000,39059-310001170000,,,,,,MWCD,0.321257333774495,
19,Guernsey,310001300000,39059-310001300000,,,,,,MWCD,0.395670332856623,
20,Guernsey,310002409000,39059-310002409000,,,,,,MWCD,0.227909202096887,
21,Guernsey,420000861000,39059-420000861000,,,,,,ROW,14.7039026888313,
22,Guernsey,440000745000,39059-440000745000,,,,,,NATURAL RESOURCES,157.13028515639,
23,Guernsey,060002457000,39059-060002457000,,,,,,MENTAL HEALTH,0.111702646227485,
24,Guernsey,110000214001,39059-110000214001,,,,,,ROW,0.0669053063877809,
25,Guernsey,110000273002,39059-110000273002,,,,,,TRANSPORTATION,0.196538783663051,
26,Guernsey,180001173000,39059-180001173000,,,,,,TRANSPORTATION,2.14756684906727,
27,Guernsey,180001189000,39059-180001189000,,,,,,NATURAL RESOURCES,14.269111875397,
28,Guernsey,180001206000,39059-180001206000,,,,,,NATURAL RESOURCES,4.93207825331922,
29,Guernsey,200001304000,39059-200001304000,,,,,,MWCD,41.7023507482574,
30,Guernsey,420000274000,39059-420000274000,,,,,,MWCD,45.5434676930549,
31,Guernsey,130000077000,39059-130000077000,,,,,,NATURAL RESOURCES,0.00229559176013191,
32,Guernsey,130000139000,39059-130000139000,,,,,,NATURAL RESOURCES,41.0962119016133,
33,Guernsey,130000153000,39059-130000153000,,,,,,NATURAL RESOURCES,41.0243591877384,
34,Guernsey,130000171000,39059-130000171000,,,,,,NATURAL RESOURCES,96.9240664938094,
35,Guernsey,130000187000,39059-130000187000,,,,,,NATURAL RESOURCES,13.2894325879408,
36,Guernsey,130000202000,39059-130000202000,,,,,,NATURAL RESOURCES,72.2465260561117,
37,Guernsey,180000278000,39059-180000278000,,,,,,TRANSPORTATION,0.240857601263616,
38,Guernsey,180000406000,39059-180000406000,,,,,,ROW,0.823975915645745,
39,Guernsey,180001319000,39059-180001319000,,,,,,TRANSPORTATION,1.09768875558682,
40,Guernsey,310002709000,39059-310002709000,,,,,,MWCD,312.144449325408,
41,Guernsey,310002733000,39059-310002733000,,,,,,MWCD,13.4390120606593,
42,Guernsey,310002790000,39059-310002790000,,,,,,MWCD,0.285951551349069,
43,Guernsey,420000969000,39059-420000969000,,,,,,ROW,37.768727951483,
44,Guernsey,440002004000,39059-440002004000,,,,,,ROW,39.0517007187814,
45,Guernsey,999999999999,39059-999999999999,,,,,,TRANSPORTATION,5.05841353584113,
46,Guernsey,020003838000,39059-020003838000,,,,,,DEVELOPMENTAL DISABILITIES,0.0932996528152479,
47,Guernsey,020003838012,39059-020003838012,,,,,,DEVELOPMENTAL DISABILITIES,1.10544810275437,
48,Guernsey,020003838016,39059-020003838016,,,,,,DEVELOPMENTAL DISABILITIES,4.50997904788622,
49,Guernsey,060001851000,39059-060001851000,,,,,,MENTAL HEALTH,0.126722316149501,
50,Guernsey,110002726001,39059-110002726001,,,,,,TRANSPORTATION,0.0485218416993589,
51,Guernsey,110002921001,39059-110002921001,,,,,,ROW,0.584624650713716,
52,Guernsey,130000230000,39059-130000230000,,,,,,NATURAL RESOURCES,5.00512500996024,
53,Guernsey,130000269000,39059-130000269000,,,,,,NATURAL RESOURCES,100.755138575261,
54,Guernsey,130000248000,39059-130000248000,,,,,,NATURAL RESOURCES,7.07110582616742,
55,Guernsey,130000264000,39059-130000264000,,,,,,NATURAL RESOURCES,102.395583800315,
56,Guernsey,130000303000,39059-130000303000,,,,,,NATURAL RESOURCES,1.93823516437386,
57,Guernsey,130000321000,39059-130000321000,,,,,,NATURAL RESOURCES,0.329966937447373,
58,Guernsey,130000337000,39059-130000337000,,,,,,NATURAL RESOURCES,40.7303008943071,
59,Guernsey,130000352000,39059-130000352000,,,,,,NATURAL RESOURCES,2.00009197732273,
60,Guernsey,130000369000,39059-130000369000,,,,,,NATURAL RESOURCES,81.4454030608909,
61,Guernsey,130000385000,39059-130000385000,,,,,,NATURAL RESOURCES,164.806949087818,
62,Guernsey,170000096004,39059-170000096004,,,,,,ROW,0.00508849679801881,
63,Guernsey,220001055000,39059-220001055000,,,,,,NATURAL RESOURCES,41.5104594938115,
64,Guernsey,270000406000,39059-270000406000,,,,,,NATURAL RESOURCES,31.4925796804335,
65,Guernsey,310001078000,39059-310001078000,,,,,,MWCD,0.291461370733971,
66,Guernsey,310001095000,39059-310001095000,,,,,,MWCD,0.372563344595382,
67,Guernsey,310001113000,39059-310001113000,,,,,,MWCD,0.406297467671863,
68,Guernsey,310002897000,39059-310002897000,,,,,,MWCD,0.274265146882985,
69,Highland, ,39071- ,,,,,,NATURAL RESOURCES,199.44821328455,
70,Hocking,020000000001,39073-020000000001,,,,,,NATURAL RESOURCES,0.0997631480857057,
71,Lawrence, ,39087- ,,,,,,ROW,0.0757520037429291,
72,Lawrence, ,39087- ,,,,,,ROW,0.278605333642375,
73,Lawrence, ,39087- ,,,,,,ROW,0.797975050138654,
74,Lawrence, ,39087- ,,,,,,ROW,0.434631424344266,
75,Lawrence, ,39087- ,,,,,,ROW,0.456248755095453,
76,Montgomery,B02 00622 0032,39113-B02 00622 0032,,,,,,TRANSPORTATION,0.0325867452079223,
77,Montgomery,R72 09012 0013,39113-R72 09012 0013,,,,,,TRANSPORTATION,0.0239214273089226,
78,Montgomery,R72 09809 0022,39113-R72 09809 0022,,,,,,TRANSPORTATION,0.0547640769944584,
79,Montgomery,R72 13203 0005,39113-R72 13203 0005,,,,,,TRANSPORTATION,0.00914920193114345,
80,Montgomery,L55 02701 0014,39113-L55 02701 0014,,,,,,NATURAL RESOURCES,2.88534452026039,
