Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Activity Center Park,Park District Park,"All‑access playground, sprayground, shelter, and inclusive play features",Active,Centerville–Washington Park District,Centerville–Washington Park District,,"221 N. Main St., Centerville, OH 45459",22.1,Centerville,Montgomery,"39.638676,-84.159907","9GQ2+4R Centerville, Ohio",None,,None,None,,Baseball Diamond; Playground; Pickleball Court; Restroom; Picnic Shelter; Rain Garden,AED; battery recycling barrel; sprayground; universal changing table,https://cwpd.org/parks/activity-center/,
Art Park,Municipal Park,"Walkable art park with sculptures, greenspace, and Rotary Bridge connection",Active,City of Vandalia,City of Vandalia,,"256 E Alkaline Springs Rd, Vandalia, OH 45377",8,Vandalia,Montgomery,"39.886918,-84.191820","2FQH+Q2 Vandalia, Ohio",None,,None,None,,Sculpture Garden,,https://vandaliaohio.org/Facilities/Facility/Details/Art-Park-1,
Art Van Atta Park,County Park,"County‑managed park with pond, path, and greenspace",Active,Montgomery County,Montgomery County,,"3180 Benchwood Rd, Dayton, OH 45414",37,Butler Township,Montgomery,"39.853870,-84.191650","2F7H+X3 Dayton, Ohi",None,,None,None,,Fishing Pond;Picnic Shelter;Playground,,https://www.mcohio.org/departments/parks/art_van_atta_park.php,
Arthur O. Fisher Park,County Park,Large county-owned park featuring ponds and open natural areas; formerly home of the Montgomery County Fairgrounds.,Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"5661 Dayton-Liberty Road, Dayton, OH 45427",150,Jefferson Township,Montgomery,"39.732980,-84.284820","J9Q5+7H Dayton, Ohio",None,,,None,,Baseball Diamond; Basketball Court; Restroom; Picnic Shelter,"Named for Judge Arthur O. Fisher, a Tuskegee Airman and local civil rights figure.","https://www.daytonlocal.com/directory/profiles/arthur-o-fisher-park/; https://www.google.com/maps?q=39.7330,-84.2848",
Ashbury Farms Park,Municipal Park,Small neighborhood park with benches and greenspace,Active,City of Vandalia,City of Vandalia,,"1701 Ashworth Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.879720,-84.204240","2FJ9+J6 Vandalia, Ohio",None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Ashbury-Farms-Park-2,
Aullwood Audubon Center and Farm,Private Nature Reserve,"National Audubon sanctuary with prairies, forests, wetlands, farm, and extensive trails; includes farm and nature center",Active,National Audubon Society,National Audubon Society,,"1000 Aullwood Rd., Dayton, OH 45414",200,Dayton,Montgomery,"39.867020,-84.290010","86J6+H8 Dayton, Ohio",None,,,,,,Includes Aullwood Farm and Nature Center,https://aullwood.audubon.org,
Aullwood Garden MetroPark,Park District Park,Environmental education gardens; adjacent to Aullwood Audubon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,31,Dayton,Montgomery,"39.868410,-84.287160","86M7+Q4 Dayton, Ohio",None,,,,,,Adjacent to Aullwood Audubon,,
Beachler Park,Municipal Park,Neighborhood park with playground and basic amenities,Active,City of Miamisburg,City of Miamisburg,,412 Ninth St.,,Miamisburg,Montgomery,"39.642650,-84.281980","J9V4+6V Miamisburg, Ohio",None,,None,None,,Playground,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Bear Creek Cemetery,Cemetery,Historic cemetery with mature canopy and passive walking access,Active,Jefferson Township,Jefferson Township,,"1800 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.740520,-84.308900","9X3+4P Dayton, Ohio",None,,None,None,,,"Qualifies due to canopy, wildlife presence, and walkable grounds.",,
Beechwood Springs Park,Park District Park,Neighborhood park with wooded stream corridor,Active,Centerville–Washington Park District,Centerville–Washington Park District,,1141 Quiet Brook Trail,11.455,Centerville,Montgomery,"39.627870,-84.142940","9GPF+Q4 Centerville, Ohio",None,,None,None,,Playground,Acquired via open space transfer in 1987,https://cwpd.org/parks/beechwood-springs/,
